joint_number,joint_length,wall_thickness,dist_upstream_weld,log_distance,elevation,event_type,depth_percent,id_reduction,length,width,burst_mop,clock_position,orientation,comments,inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned,event_type_normalized,is_reference,clock_decimal,original_index
,,0.344,-6.84,1366.12,862.1094,Cluster,12.0,,13.34,14.31,,1:45,Internal,,2007,Cluster_1366.1,True,1366.12,1366.5,CLUSTER,False,1.75,120
,,0.344,-7.39,1366.68,862.1763,Cluster,12.0,,2.83,3.31,,9:25,Internal,,2007,Cluster_1366.7,True,1366.68,1367.0600000000002,CLUSTER,False,9.416666666666666,121
,,0.344,-7.79,1367.08,862.2245,Cluster,11.0,,44.24,12.19,,8:15,Internal,,2007,Cluster_1367.1,True,1367.08,1367.46,CLUSTER,False,8.25,122
,,0.344,-8.89,1368.18,862.3573,Cluster,11.0,,26.45,12.59,,2:10,Internal,,2007,Cluster_1368.2,True,1368.18,1368.5600000000002,CLUSTER,False,2.1666666666666665,123
,,0.344,-11.78,1371.07,862.7063,Cluster,10.0,,14.12,13.51,,8:09,Internal,,2007,Cluster_1371.1,True,1371.07,1371.45,CLUSTER,False,8.15,124
,,0.344,-12.24,1371.53,862.7616,Cluster,13.0,,12.13,11.86,,2:05,Internal,,2007,Cluster_1371.5,True,1371.53,1371.91,CLUSTER,False,2.0833333333333335,125
,,0.344,-13.15,1372.43,862.871,Cluster,10.0,,15.32,11.54,,2:18,Internal,,2007,Cluster_1372.4,True,1372.43,1372.8100000000002,CLUSTER,False,2.3,126
,,0.344,-15.15,1374.44,863.113,Cluster,10.0,,7.01,11.81,,8:16,Internal,,2007,Cluster_1374.4,True,1374.44,1374.8200000000002,CLUSTER,False,8.266666666666667,127
,,0.344,-16.78,1376.07,863.3097,Cluster,11.0,,1.7,1.82,,9:46,Internal,,2007,Cluster_1376.1,True,1376.07,1376.45,CLUSTER,False,9.766666666666667,128
,,0.344,-20.62,1379.91,863.77,Cluster,10.0,,6.49,11.08,,8:27,Internal,,2007,Cluster_1379.9,True,1379.91,1380.2900000000002,CLUSTER,False,8.45,129
,,0.344,-20.79,1380.08,863.7899,Cluster,11.0,,13.16,12.61,,2:04,Internal,,2007,Cluster_1380.1,True,1380.08,1380.46,CLUSTER,False,2.066666666666667,130
,,0.344,-21.68,1380.97,863.8966,Cluster,10.0,,5.74,2.72,,8:22,Internal,,2007,Cluster_1381.0,True,1380.97,1381.35,CLUSTER,False,8.366666666666667,131
,,0.344,-21.96,1381.24,863.9297,Cluster,10.0,,2.18,3.77,,3:04,Internal,,2007,Cluster_1381.2,True,1381.24,1381.62,CLUSTER,False,3.066666666666667,132
,,0.344,-23.32,1382.61,864.0927,Cluster,11.0,,9.08,11.83,,2:04,Internal,,2007,Cluster_1382.6,True,1382.61,1382.99,CLUSTER,False,2.066666666666667,133
,,0.344,-24.35,1383.64,864.2158,Cluster,10.0,,4.88,11.98,,8:21,Internal,,2007,Cluster_1383.6,True,1383.64,1384.0200000000002,CLUSTER,False,8.35,134
,,0.344,-30.6,1389.89,864.9379,Cluster,13.0,,9.49,12.15,,1:56,Internal,,2007,Cluster_1389.9,True,1389.89,1390.2700000000002,CLUSTER,False,1.9333333333333333,135
,,0.344,-35.26,1394.54,865.4626,Cluster,10.0,,7.66,14.01,,1:56,Internal,,2007,Cluster_1394.5,True,1394.54,1394.92,CLUSTER,False,1.9333333333333333,136
,,0.344,-35.43,1394.71,865.4814,Cluster,11.0,,13.49,11.29,,8:29,Internal,,2007,Cluster_1394.7,True,1394.71,1395.09,CLUSTER,False,8.483333333333333,137
,,0.344,-36.63,1395.92,865.6171,Cluster,11.0,,4.52,9.59,,8:36,Internal,,2007,Cluster_1395.9,True,1395.92,1396.3000000000002,CLUSTER,False,8.6,138
,,0.344,-38.81,1398.09,865.8604,Cluster,11.0,,5.52,20.09,,6:48,Internal,,2007,Cluster_1398.1,True,1398.09,1398.47,CLUSTER,False,6.8,139
,,0.344,-39.42,1398.71,865.9294,Cluster,10.0,,8.11,17.45,,8:22,Internal,,2007,Cluster_1398.7,True,1398.71,1399.09,CLUSTER,False,8.366666666666667,140
,,0.344,-39.43,1398.71,865.9296,Cluster,12.0,,6.7,10.33,,2:13,Internal,,2007,Cluster_1398.7,True,1398.71,1399.09,CLUSTER,False,2.216666666666667,141
,,0.344,-39.45,1398.73,865.9318,Cluster,13.0,,7.19,5.91,,5:53,Internal,,2007,Cluster_1398.7,True,1398.73,1399.11,CLUSTER,False,5.883333333333333,142
,,0.344,-0.06,1399.35,866.0009,Cluster,11.0,,5.58,13.26,,1:53,Internal,,2007,Cluster_1399.3,True,1399.35,1399.73,CLUSTER,False,1.8833333333333333,144
,,0.344,-0.53,1399.82,866.0529,Cluster,10.0,,12.95,14.68,,1:48,Internal,,2007,Cluster_1399.8,True,1399.82,1400.2,CLUSTER,False,1.8,145
,,0.344,-4.99,1404.28,866.5504,Cluster,10.0,,1.58,6.47,,2:43,Internal,,2007,Cluster_1404.3,True,1404.28,1404.66,CLUSTER,False,2.716666666666667,146
,,0.344,-5.63,1404.92,866.6216,Cluster,11.0,,3.47,2.81,,8:30,Internal,,2007,Cluster_1404.9,True,1404.92,1405.3000000000002,CLUSTER,False,8.5,147
,,0.344,-5.68,1404.97,866.6281,Cluster,10.0,,6.19,10.12,,8:38,Internal,,2007,Cluster_1405.0,True,1404.97,1405.35,CLUSTER,False,8.633333333333333,148
,,0.344,-6.75,1406.04,866.7475,Cluster,10.0,,5.17,8.04,,9:15,Internal,,2007,Cluster_1406.0,True,1406.04,1406.42,CLUSTER,False,9.25,149
,,0.344,-7.67,1406.96,866.8492,Cluster,10.0,,17.59,13.24,,8:23,Internal,,2007,Cluster_1407.0,True,1406.96,1407.34,CLUSTER,False,8.383333333333333,150
,,0.344,-9.24,1408.53,867.0232,Cluster,10.0,,9.12,11.21,,8:39,Internal,,2007,Cluster_1408.5,True,1408.53,1408.91,CLUSTER,False,8.65,151
,,0.344,-9.86,1409.15,867.0924,Cluster,10.0,,6.43,5.91,,2:10,Internal,,2007,Cluster_1409.2,True,1409.15,1409.5300000000002,CLUSTER,False,2.1666666666666665,152
,,0.344,-13.25,1412.54,867.469,Cluster,11.0,,18.37,11.52,,8:51,Internal,,2007,Cluster_1412.5,True,1412.54,1412.92,CLUSTER,False,8.85,153
,,0.344,-15.8,1415.09,867.7519,Cluster,10.0,,4.85,6.79,,2:10,Internal,,2007,Cluster_1415.1,True,1415.09,1415.47,CLUSTER,False,2.1666666666666665,154
,,0.344,-19.92,1419.21,868.2067,Metal Loss,10.0,,0.67,0.71,,12:22,Internal,,2007,Metal Loss_1419.2,True,1419.21,1419.59,METAL_LOSS,False,12.366666666666667,155
,,0.344,-20.2,1419.48,868.2372,Cluster,12.0,,33.85,14.64,,8:29,Internal,,2007,Cluster_1419.5,True,1419.48,1419.86,CLUSTER,False,8.483333333333333,156
,,0.344,-24.08,1423.37,868.6651,Cluster,10.0,,6.65,6.49,,1:53,Internal,,2007,Cluster_1423.4,True,1423.37,1423.75,CLUSTER,False,1.8833333333333333,157
,,0.344,-25.11,1424.4,868.7783,Cluster,11.0,,37.4,13.43,,8:42,Internal,,2007,Cluster_1424.4,True,1424.4,1424.7800000000002,CLUSTER,False,8.7,158
,,0.344,-26.15,1425.43,868.8925,Cluster,14.0,,12.29,7.46,,2:17,Internal,,2007,Cluster_1425.4,True,1425.43,1425.8100000000002,CLUSTER,False,2.283333333333333,159
,,0.344,-29.65,1428.94,869.2758,Cluster,10.0,,6.01,8.48,,1:54,Internal,,2007,Cluster_1428.9,True,1428.94,1429.3200000000002,CLUSTER,False,1.9,160
,,0.344,-30.2,1429.49,869.3364,Cluster,12.0,,7.54,8.63,,1:49,Internal,,2007,Cluster_1429.5,True,1429.49,1429.87,CLUSTER,False,1.8166666666666667,161
,,0.344,-31.62,1430.91,869.4911,Cluster,10.0,,3.85,6.58,,2:09,Internal,,2007,Cluster_1430.9,True,1430.91,1431.2900000000002,CLUSTER,False,2.15,162
,,0.344,-33.05,1432.34,869.6466,Cluster,10.0,,12.38,12.38,,1:44,Internal,,2007,Cluster_1432.3,True,1432.34,1432.72,CLUSTER,False,1.7333333333333334,163
,,0.344,-34.03,1433.32,869.7533,Metal Loss-Manufacturing Anomaly,12.0,,0.63,0.71,,11:41,,,2007,Metal Loss-Manufacturing Anomaly_1433.3,True,1433.32,1433.7,METAL_LOSS_MFG,False,11.683333333333334,164
,,0.344,-36.25,1435.54,869.9959,Cluster,10.0,,5.23,9.59,,1:56,Internal,,2007,Cluster_1435.5,True,1435.54,1435.92,CLUSTER,False,1.9333333333333333,165
,,0.344,-39.21,1438.5,870.3163,Cluster,10.0,,6.94,7.96,,1:51,Internal,,2007,Cluster_1438.5,True,1438.5,1438.88,CLUSTER,False,1.85,166
,,0.344,-39.46,1438.75,870.3431,Cluster,17.0,,6.48,15.12,,8:03,Internal,,2007,Cluster_1438.8,True,1438.75,1439.13,CLUSTER,False,8.05,167
,,0.344,-0.01,1439.24,870.3961,Cluster,12.0,,5.89,7.73,,9:11,Internal,,2007,Cluster_1439.2,True,1439.24,1439.62,CLUSTER,False,9.183333333333334,169
,,0.344,-0.02,1439.25,870.3977,Cluster,10.0,,4.03,5.74,,2:12,Internal,,2007,Cluster_1439.2,True,1439.25,1439.63,CLUSTER,False,2.2,170
,,0.344,-9.19,1448.43,871.3845,Cluster,10.0,,1.15,3.46,,7:38,Internal,,2007,Cluster_1448.4,True,1448.43,1448.8100000000002,CLUSTER,False,7.633333333333333,171
,,0.344,-22.61,1461.84,872.8023,Cluster,11.0,,8.21,8.67,,9:27,Internal,,2007,Cluster_1461.8,True,1461.84,1462.22,CLUSTER,False,9.45,174
,,0.344,-23.36,1462.59,872.881,Cluster,10.0,,11.21,11.42,,8:49,Internal,,2007,Cluster_1462.6,True,1462.59,1462.97,CLUSTER,False,8.816666666666666,175
,,0.344,-24.14,1463.37,872.9627,Cluster,10.0,,19.98,11.21,,1:04,Internal,,2007,Cluster_1463.4,True,1463.37,1463.75,CLUSTER,False,1.0666666666666667,176
,,0.344,-25.66,1464.89,873.1228,Cluster,10.0,,13.72,11.71,,1:04,Internal,,2007,Cluster_1464.9,True,1464.89,1465.2700000000002,CLUSTER,False,1.0666666666666667,177
,,0.344,-26.78,1466.02,873.2407,Cluster,10.0,,21.9,12.67,,9:03,Internal,,2007,Cluster_1466.0,True,1466.02,1466.4,CLUSTER,False,9.05,178
,,0.344,-34.64,1473.88,874.0644,Cluster,10.0,,5.68,10.33,,1:26,Internal,,2007,Cluster_1473.9,True,1473.88,1474.2600000000002,CLUSTER,False,1.4333333333333333,180
,,0.344,-3.61,1477.89,874.4844,Cluster,11.0,,34.78,13.8,,9:03,Internal,,2007,Cluster_1477.9,True,1477.89,1478.2700000000002,CLUSTER,False,9.05,182
,,0.344,-6.85,1481.13,874.8229,Metal Loss,10.0,,0.59,0.55,,3:23,Internal,,2007,Metal Loss_1481.1,True,1481.13,1481.5100000000002,METAL_LOSS,False,3.3833333333333333,183
,,0.344,-6.97,1481.25,874.8359,Cluster,10.0,,5.84,12.13,,1:04,Internal,,2007,Cluster_1481.2,True,1481.25,1481.63,CLUSTER,False,1.0666666666666667,184
,,0.344,-14.31,1488.59,875.6039,Metal Loss,10.0,,0.51,0.63,,9:19,Internal,,2007,Metal Loss_1488.6,True,1488.59,1488.97,METAL_LOSS,False,9.316666666666666,185
,,0.344,-19.76,1494.04,876.1739,Cluster,11.0,,20.58,12.23,,8:52,Internal,,2007,Cluster_1494.0,True,1494.04,1494.42,CLUSTER,False,8.866666666666667,186
,,0.344,-33.6,1507.88,877.6284,Cluster,10.0,,7.0,7.88,,1:14,Internal,,2007,Cluster_1507.9,True,1507.88,1508.2600000000002,CLUSTER,False,1.2333333333333334,187
,,0.344,-36.69,1510.97,877.9545,Cluster,11.0,,4.04,6.24,,1:46,Internal,,2007,Cluster_1511.0,True,1510.97,1511.35,CLUSTER,False,1.7666666666666666,188
,,0.344,-38.02,1512.3,878.0946,Cluster,10.0,,4.52,6.97,,9:43,Internal,,2007,Cluster_1512.3,True,1512.3,1512.68,CLUSTER,False,9.716666666666667,189
,,0.344,-3.38,1517.65,878.6589,Cluster,10.0,,12.73,8.61,,1:33,Internal,,2007,Cluster_1517.7,True,1517.65,1518.0300000000002,CLUSTER,False,1.55,191
,,0.344,-4.14,1518.41,878.7387,Cluster,10.0,,10.87,6.7,,1:02,Internal,,2007,Cluster_1518.4,True,1518.41,1518.7900000000002,CLUSTER,False,1.0333333333333334,192
,,0.344,-28.16,1542.43,881.2638,Cluster,10.0,,6.01,5.8,,1:47,Internal,,2007,Cluster_1542.4,True,1542.43,1542.8100000000002,CLUSTER,False,1.7833333333333332,193
,,0.344,-39.61,1553.88,882.4519,Cluster,10.0,,4.56,8.27,,10:11,Internal,,2007,Cluster_1553.9,True,1553.88,1554.2600000000002,CLUSTER,False,10.183333333333334,194
,,0.344,-5.75,1560.05,883.08,Metal Loss,11.0,,0.75,0.55,,9:56,Internal,,2007,Metal Loss_1560.0,True,1560.05,1560.43,METAL_LOSS,False,9.933333333333334,196
,,0.344,-9.49,1563.79,883.4539,Cluster,10.0,,10.93,6.66,,10:26,Internal,,2007,Cluster_1563.8,True,1563.79,1564.17,CLUSTER,False,10.433333333333334,197
,,0.344,-17.53,1571.84,884.2396,Cluster,11.0,,4.52,3.33,,10:40,Internal,,2007,Cluster_1571.8,True,1571.84,1572.22,CLUSTER,False,10.666666666666666,198
,,0.344,-21.56,1575.87,884.6258,Cluster,15.0,,7.39,6.91,,10:35,Internal,,2007,Cluster_1575.9,True,1575.87,1576.25,CLUSTER,False,10.583333333333334,199
,,0.344,-27.71,1582.01,885.2172,Cluster,10.0,,3.26,4.34,,10:37,Internal,,2007,Cluster_1582.0,True,1582.01,1582.39,CLUSTER,False,10.616666666666667,200
,,0.344,-29.84,1584.15,885.4233,Cluster,14.0,,3.89,3.14,,10:35,Internal,,2007,Cluster_1584.2,True,1584.15,1584.5300000000002,CLUSTER,False,10.583333333333334,201
,,0.344,-30.3,1584.61,885.4672,Cluster,11.0,,13.44,6.97,,10:37,Internal,,2007,Cluster_1584.6,True,1584.61,1584.99,CLUSTER,False,10.616666666666667,202
,,0.344,-33.22,1587.53,885.749,Cluster,10.0,,4.07,6.97,,10:14,Internal,,2007,Cluster_1587.5,True,1587.53,1587.91,CLUSTER,False,10.233333333333333,203
,,0.344,-39.49,1593.8,886.361,Cluster,10.0,,5.5,16.65,,9:06,Internal,,2007,Cluster_1593.8,True,1593.8,1594.18,CLUSTER,False,9.1,204
,,0.344,-0.7,1595.0,886.478,Cluster,14.0,,5.1,20.55,,8:21,Internal,,2007,Cluster_1595.0,True,1595.0,1595.38,CLUSTER,False,8.35,206
,,0.344,-0.81,1595.1,886.4883,Metal Loss,20.0,,1.18,6.34,1.87,6:57,Internal,,2007,Metal Loss_1595.1,True,1595.1,1595.48,METAL_LOSS,False,6.95,207
,,0.344,-15.69,1609.99,887.9465,Metal Loss,10.0,,0.67,0.59,,12:24,Internal,,2007,Metal Loss_1610.0,True,1609.99,1610.37,METAL_LOSS,False,12.4,208
,,0.344,-34.48,1628.77,889.7887,Cluster,11.0,,0.8,2.12,,10:29,Internal,,2007,Cluster_1628.8,True,1628.77,1629.15,CLUSTER,False,10.483333333333333,209
,,0.344,-40.09,1634.38,890.3414,Cluster,10.0,,5.09,11.1,,9:54,Internal,,2007,Cluster_1634.4,True,1634.38,1634.7600000000002,CLUSTER,False,9.9,210
,,0.344,-0.01,1634.41,890.3443,Cluster,10.0,,6.9,26.12,,12:16,Internal,,2007,Cluster_1634.4,True,1634.41,1634.7900000000002,CLUSTER,False,12.266666666666667,212
,,0.344,-0.91,1635.31,890.4325,Cluster,11.0,,4.88,22.14,,12:19,Internal,,2007,Cluster_1635.3,True,1635.31,1635.69,CLUSTER,False,12.316666666666666,213
,,0.344,-22.33,1696.83,896.1156,Cluster,11.0,,0.92,2.85,,12:20,Internal,,2007,Cluster_1696.8,True,1696.83,1697.21,CLUSTER,False,12.333333333333334,217
,,0.344,-39.58,1714.09,897.5261,Cluster,11.0,,5.06,11.94,,9:52,Internal,,2007,Cluster_1714.1,True,1714.09,1714.47,CLUSTER,False,9.866666666666667,218
,,0.344,-36.06,1790.51,902.3065,Cluster,10.0,,2.77,2.26,,11:07,Internal,,2007,Cluster_1790.5,True,1790.51,1790.89,CLUSTER,False,11.116666666666667,221
,,0.344,-18.3,2118.73,910.1192,Cluster,13.0,,2.03,3.02,,6:09,Internal,,2007,Cluster_2118.7,True,2118.73,2119.11,CLUSTER,False,6.15,235
,,0.344,-22.62,2123.05,910.3039,Metal Loss,12.0,,0.75,0.83,,4:56,Internal,,2007,Metal Loss_2123.1,True,2123.05,2123.4300000000003,METAL_LOSS,False,4.933333333333334,238
,,0.344,-39.88,2140.31,911.1823,Metal Loss,12.0,,0.67,0.71,,4:47,Internal,,2007,Metal Loss_2140.3,True,2140.31,2140.69,METAL_LOSS,False,4.783333333333333,246
,,0.344,-20.62,2161.08,912.529,Metal Loss,17.0,,0.63,0.55,,6:40,Internal,,2007,Metal Loss_2161.1,True,2161.08,2161.46,METAL_LOSS,False,6.666666666666667,254
,,0.344,-38.82,2179.28,913.7847,Metal Loss,10.0,,0.59,0.71,,4:34,Internal,,2007,Metal Loss_2179.3,True,2179.28,2179.6600000000003,METAL_LOSS,False,4.566666666666666,257
,,0.344,-38.99,2179.45,913.7965,Cluster,11.0,,2.76,4.38,,5:04,Internal,,2007,Cluster_2179.4,True,2179.45,2179.83,CLUSTER,False,5.066666666666666,258
,,0.344,-3.76,2184.26,914.1366,Metal Loss,10.0,,0.51,0.71,,12:11,Internal,,2007,Metal Loss_2184.3,True,2184.26,2184.6400000000003,METAL_LOSS,False,12.183333333333334,261
,,0.344,-6.11,2226.67,917.2614,Metal Loss,10.0,,0.59,0.71,,7:10,Internal,,2007,Metal Loss_2226.7,True,2226.67,2227.05,METAL_LOSS,False,7.166666666666667,269
,,0.344,-7.41,2227.98,917.3608,Metal Loss,12.0,,0.63,0.71,,7:20,Internal,,2007,Metal Loss_2228.0,True,2227.98,2228.36,METAL_LOSS,False,7.333333333333333,271
,,0.344,-13.8,2234.36,917.8472,Cluster,11.0,,2.12,0.73,,7:33,Internal,,2007,Cluster_2234.4,True,2234.36,2234.74,CLUSTER,False,7.55,275
,,0.344,-21.28,2241.84,918.4186,Metal Loss,12.0,,0.59,0.71,,5:26,Internal,,2007,Metal Loss_2241.8,True,2241.84,2242.2200000000003,METAL_LOSS,False,5.433333333333334,280
,,0.344,-23.35,2243.92,918.5765,Metal Loss,17.0,,0.71,0.71,,6:21,Internal,,2007,Metal Loss_2243.9,True,2243.92,2244.3,METAL_LOSS,False,6.35,281
,,0.344,-24.32,2244.89,918.6503,Metal Loss,11.0,,0.75,0.63,,6:11,Internal,,2007,Metal Loss_2244.9,True,2244.89,2245.27,METAL_LOSS,False,6.183333333333334,282
,,0.344,-26.45,2247.01,918.811,Metal Loss,17.0,,0.87,0.71,,5:31,Internal,,2007,Metal Loss_2247.0,True,2247.01,2247.3900000000003,METAL_LOSS,False,5.516666666666667,283
,,0.344,-28.72,2249.29,918.9831,Metal Loss,10.0,,0.71,0.71,,6:01,Internal,,2007,Metal Loss_2249.3,True,2249.29,2249.67,METAL_LOSS,False,6.016666666666667,285
,,0.344,-28.93,2249.5,918.9989,Metal Loss,11.0,,0.71,0.71,,6:28,Internal,,2007,Metal Loss_2249.5,True,2249.5,2249.88,METAL_LOSS,False,6.466666666666667,286
,,0.344,-35.19,2255.76,919.4699,Cluster,18.0,,1.94,0.69,,5:25,Internal,,2007,Cluster_2255.8,True,2255.76,2256.1400000000003,CLUSTER,False,5.416666666666667,288
,,0.344,-39.55,2260.11,919.7917,Cluster,15.0,,3.11,3.31,,5:32,Internal,,2007,Cluster_2260.1,True,2260.11,2260.49,CLUSTER,False,5.533333333333333,291
,,0.344,-1.62,2262.01,919.9293,Metal Loss,10.0,,0.67,0.71,,7:07,Internal,,2007,Metal Loss_2262.0,True,2262.01,2262.3900000000003,METAL_LOSS,False,7.116666666666666,294
,,0.344,-2.37,2368.29,926.2914,Cluster,13.0,,5.62,5.97,,5:40,Internal,,2007,Cluster_2368.3,True,2368.29,2368.67,CLUSTER,False,5.666666666666667,312
,,0.344,-32.93,2982.66,971.2751,Metal Loss,10.0,,0.51,0.71,,11:01,Internal,,2007,Metal Loss_2982.7,True,2982.66,2983.04,METAL_LOSS,False,11.016666666666667,330
,,0.344,-1.76,2991.42,971.457,Cluster,12.0,,0.77,1.72,,9:37,Internal,,2007,Cluster_2991.4,True,2991.42,2991.8,CLUSTER,False,9.616666666666667,332
,,0.344,-1.94,2991.61,971.4608,Metal Loss,13.0,,0.55,0.55,,9:42,Internal,,2007,Metal Loss_2991.6,True,2991.61,2991.99,METAL_LOSS,False,9.7,333
,,0.344,-3.94,2993.61,971.5022,Cluster,10.0,,1.58,1.36,,9:30,Internal,,2007,Cluster_2993.6,True,2993.61,2993.99,CLUSTER,False,9.5,334
,,0.344,-4.24,2993.91,971.5085,Cluster,12.0,,1.63,0.67,,2:16,Internal,,2007,Cluster_2993.9,True,2993.91,2994.29,CLUSTER,False,2.2666666666666666,335
,,0.344,-4.83,2994.5,971.5207,Cluster,10.0,,4.84,2.81,,9:17,Internal,,2007,Cluster_2994.5,True,2994.5,2994.88,CLUSTER,False,9.283333333333333,336
,,0.344,-12.41,3002.07,971.677,Metal Loss,10.0,,0.51,0.55,,8:30,Internal,,2007,Metal Loss_3002.1,True,3002.07,3002.4500000000003,METAL_LOSS,False,8.5,337
,,0.344,-12.57,3002.24,971.6804,Metal Loss,11.0,,0.67,0.71,,8:29,Internal,,2007,Metal Loss_3002.2,True,3002.24,3002.62,METAL_LOSS,False,8.483333333333333,338
,,0.344,-28.38,3018.05,971.9395,Metal Loss,10.0,,0.63,0.63,,3:09,Internal,,2007,Metal Loss_3018.1,True,3018.05,3018.4300000000003,METAL_LOSS,False,3.15,339
,,0.344,-30.21,3019.88,971.941,Cluster,10.0,,1.76,1.24,,8:31,Internal,,2007,Cluster_3019.9,True,3019.88,3020.26,CLUSTER,False,8.516666666666667,340
,,0.344,-21.59,3051.05,971.9481,Cluster,10.0,,4.02,0.71,,4:35,Internal,,2007,Cluster_3051.1,True,3051.05,3051.4300000000003,CLUSTER,False,4.583333333333333,342
,,0.344,-25.37,3054.83,971.9454,Cluster,10.0,,3.74,1.05,,4:18,Internal,,2007,Cluster_3054.8,True,3054.83,3055.21,CLUSTER,False,4.3,343
