joint_number,joint_length,wall_thickness,dist_upstream_weld,log_distance,elevation,event_type,depth_percent,id_reduction,length,width,burst_mop,clock_position,orientation,comments,event_type_normalized,is_reference,is_anomaly,clock_decimal,original_index
,,0.344,-21.77,1341.04,859.1039,Cluster,10.0,,27.71,19.52,,12:49,Internal,,CLUSTER,False,True,12.816666666666666,113
,,0.344,-22.93,1342.19,859.2408,metal loss,10.0,,0.59,0.71,,12:24,Internal,,METAL_LOSS,False,True,12.4,114
,,0.344,-29.41,1348.67,860.0116,metal loss,10.0,,0.55,0.71,,12:26,Internal,,METAL_LOSS,False,True,12.433333333333334,115
,,0.344,-30.73,1349.99,860.1694,Cluster,11.0,,1.61,3.9,,1:40,Internal,,CLUSTER,False,True,1.6666666666666665,116
,,0.344,-39.98,1359.24,861.2799,Cluster,13.0,,7.85,12.23,,8:48,Internal,,CLUSTER,False,True,8.8,117
,,0.344,-4.19,1363.47,861.7895,Cluster,10.0,,3.68,17.3,,12:59,Internal,,CLUSTER,False,True,12.983333333333333,119
,,0.344,-6.84,1366.12,862.1094,Cluster,12.0,,13.34,14.31,,1:45,Internal,,CLUSTER,False,True,1.75,120
,,0.344,-7.39,1366.68,862.1763,Cluster,12.0,,2.83,3.31,,9:25,Internal,,CLUSTER,False,True,9.416666666666666,121
,,0.344,-7.79,1367.08,862.2245,Cluster,11.0,,44.24,12.19,,8:15,Internal,,CLUSTER,False,True,8.25,122
,,0.344,-8.89,1368.18,862.3573,Cluster,11.0,,26.45,12.59,,2:10,Internal,,CLUSTER,False,True,2.1666666666666665,123
,,0.344,-11.78,1371.07,862.7063,Cluster,10.0,,14.12,13.51,,8:09,Internal,,CLUSTER,False,True,8.15,124
,,0.344,-12.24,1371.53,862.7616,Cluster,13.0,,12.13,11.86,,2:05,Internal,,CLUSTER,False,True,2.0833333333333335,125
,,0.344,-13.15,1372.43,862.871,Cluster,10.0,,15.32,11.54,,2:18,Internal,,CLUSTER,False,True,2.3,126
,,0.344,-15.15,1374.44,863.113,Cluster,10.0,,7.01,11.81,,8:16,Internal,,CLUSTER,False,True,8.266666666666667,127
,,0.344,-16.78,1376.07,863.3097,Cluster,11.0,,1.7,1.82,,9:46,Internal,,CLUSTER,False,True,9.766666666666667,128
,,0.344,-20.62,1379.91,863.77,Cluster,10.0,,6.49,11.08,,8:27,Internal,,CLUSTER,False,True,8.45,129
,,0.344,-20.79,1380.08,863.7899,Cluster,11.0,,13.16,12.61,,2:04,Internal,,CLUSTER,False,True,2.066666666666667,130
,,0.344,-21.68,1380.97,863.8966,Cluster,10.0,,5.74,2.72,,8:22,Internal,,CLUSTER,False,True,8.366666666666667,131
,,0.344,-21.96,1381.24,863.9297,Cluster,10.0,,2.18,3.77,,3:04,Internal,,CLUSTER,False,True,3.066666666666667,132
,,0.344,-23.32,1382.61,864.0927,Cluster,11.0,,9.08,11.83,,2:04,Internal,,CLUSTER,False,True,2.066666666666667,133
,,0.344,-24.35,1383.64,864.2158,Cluster,10.0,,4.88,11.98,,8:21,Internal,,CLUSTER,False,True,8.35,134
,,0.344,-30.6,1389.89,864.9379,Cluster,13.0,,9.49,12.15,,1:56,Internal,,CLUSTER,False,True,1.9333333333333333,135
,,0.344,-35.26,1394.54,865.4626,Cluster,10.0,,7.66,14.01,,1:56,Internal,,CLUSTER,False,True,1.9333333333333333,136
,,0.344,-35.43,1394.71,865.4814,Cluster,11.0,,13.49,11.29,,8:29,Internal,,CLUSTER,False,True,8.483333333333333,137
,,0.344,-36.63,1395.92,865.6171,Cluster,11.0,,4.52,9.59,,8:36,Internal,,CLUSTER,False,True,8.6,138
,,0.344,-38.81,1398.09,865.8604,Cluster,11.0,,5.52,20.09,,6:48,Internal,,CLUSTER,False,True,6.8,139
,,0.344,-39.42,1398.71,865.9294,Cluster,10.0,,8.11,17.45,,8:22,Internal,,CLUSTER,False,True,8.366666666666667,140
,,0.344,-39.43,1398.71,865.9296,Cluster,12.0,,6.7,10.33,,2:13,Internal,,CLUSTER,False,True,2.216666666666667,141
,,0.344,-39.45,1398.73,865.9318,Cluster,13.0,,7.19,5.91,,5:53,Internal,,CLUSTER,False,True,5.883333333333333,142
,,0.344,-0.06,1399.35,866.0009,Cluster,11.0,,5.58,13.26,,1:53,Internal,,CLUSTER,False,True,1.8833333333333333,144
,,0.344,-0.53,1399.82,866.0529,Cluster,10.0,,12.95,14.68,,1:48,Internal,,CLUSTER,False,True,1.8,145
,,0.344,-4.99,1404.28,866.5504,Cluster,10.0,,1.58,6.47,,2:43,Internal,,CLUSTER,False,True,2.716666666666667,146
,,0.344,-5.63,1404.92,866.6216,Cluster,11.0,,3.47,2.81,,8:30,Internal,,CLUSTER,False,True,8.5,147
,,0.344,-5.68,1404.97,866.6281,Cluster,10.0,,6.19,10.12,,8:38,Internal,,CLUSTER,False,True,8.633333333333333,148
,,0.344,-6.75,1406.04,866.7475,Cluster,10.0,,5.17,8.04,,9:15,Internal,,CLUSTER,False,True,9.25,149
,,0.344,-7.67,1406.96,866.8492,Cluster,10.0,,17.59,13.24,,8:23,Internal,,CLUSTER,False,True,8.383333333333333,150
,,0.344,-9.24,1408.53,867.0232,Cluster,10.0,,9.12,11.21,,8:39,Internal,,CLUSTER,False,True,8.65,151
,,0.344,-9.86,1409.15,867.0924,Cluster,10.0,,6.43,5.91,,2:10,Internal,,CLUSTER,False,True,2.1666666666666665,152
,,0.344,-13.25,1412.54,867.469,Cluster,11.0,,18.37,11.52,,8:51,Internal,,CLUSTER,False,True,8.85,153
,,0.344,-15.8,1415.09,867.7519,Cluster,10.0,,4.85,6.79,,2:10,Internal,,CLUSTER,False,True,2.1666666666666665,154
,,0.344,-19.92,1419.21,868.2067,metal loss,10.0,,0.67,0.71,,12:22,Internal,,METAL_LOSS,False,True,12.366666666666667,155
,,0.344,-20.2,1419.48,868.2372,Cluster,12.0,,33.85,14.64,,8:29,Internal,,CLUSTER,False,True,8.483333333333333,156
,,0.344,-24.08,1423.37,868.6651,Cluster,10.0,,6.65,6.49,,1:53,Internal,,CLUSTER,False,True,1.8833333333333333,157
,,0.344,-25.11,1424.4,868.7783,Cluster,11.0,,37.4,13.43,,8:42,Internal,,CLUSTER,False,True,8.7,158
,,0.344,-26.15,1425.43,868.8925,Cluster,14.0,,12.29,7.46,,2:17,Internal,,CLUSTER,False,True,2.283333333333333,159
,,0.344,-29.65,1428.94,869.2758,Cluster,10.0,,6.01,8.48,,1:54,Internal,,CLUSTER,False,True,1.9,160
,,0.344,-30.2,1429.49,869.3364,Cluster,12.0,,7.54,8.63,,1:49,Internal,,CLUSTER,False,True,1.8166666666666667,161
,,0.344,-31.62,1430.91,869.4911,Cluster,10.0,,3.85,6.58,,2:09,Internal,,CLUSTER,False,True,2.15,162
,,0.344,-33.05,1432.34,869.6466,Cluster,10.0,,12.38,12.38,,1:44,Internal,,CLUSTER,False,True,1.7333333333333334,163
,,0.344,-34.03,1433.32,869.7533,metal loss-manufacturing anomaly,12.0,,0.63,0.71,,11:41,,,METAL_LOSS_MFG,False,True,11.683333333333334,164
,,0.344,-36.25,1435.54,869.9959,Cluster,10.0,,5.23,9.59,,1:56,Internal,,CLUSTER,False,True,1.9333333333333333,165
,,0.344,-39.21,1438.5,870.3163,Cluster,10.0,,6.94,7.96,,1:51,Internal,,CLUSTER,False,True,1.85,166
,,0.344,-39.46,1438.75,870.3431,Cluster,17.0,,6.48,15.12,,8:03,Internal,,CLUSTER,False,True,8.05,167
,,0.344,-0.01,1439.24,870.3961,Cluster,12.0,,5.89,7.73,,9:11,Internal,,CLUSTER,False,True,9.183333333333334,169
,,0.344,-0.02,1439.25,870.3977,Cluster,10.0,,4.03,5.74,,2:12,Internal,,CLUSTER,False,True,2.2,170
,,0.344,-9.19,1448.43,871.3845,Cluster,10.0,,1.15,3.46,,7:38,Internal,,CLUSTER,False,True,7.633333333333333,171
,,0.344,-22.61,1461.84,872.8023,Cluster,11.0,,8.21,8.67,,9:27,Internal,,CLUSTER,False,True,9.45,174
,,0.344,-23.36,1462.59,872.881,Cluster,10.0,,11.21,11.42,,8:49,Internal,,CLUSTER,False,True,8.816666666666666,175
,,0.344,-24.14,1463.37,872.9627,Cluster,10.0,,19.98,11.21,,1:04,Internal,,CLUSTER,False,True,1.0666666666666667,176
,,0.344,-25.66,1464.89,873.1228,Cluster,10.0,,13.72,11.71,,1:04,Internal,,CLUSTER,False,True,1.0666666666666667,177
,,0.344,-26.78,1466.02,873.2407,Cluster,10.0,,21.9,12.67,,9:03,Internal,,CLUSTER,False,True,9.05,178
,,0.344,-34.64,1473.88,874.0644,Cluster,10.0,,5.68,10.33,,1:26,Internal,,CLUSTER,False,True,1.4333333333333333,180
,,0.344,-3.61,1477.89,874.4844,Cluster,11.0,,34.78,13.8,,9:03,Internal,,CLUSTER,False,True,9.05,182
,,0.344,-6.85,1481.13,874.8229,metal loss,10.0,,0.59,0.55,,3:23,Internal,,METAL_LOSS,False,True,3.3833333333333333,183
,,0.344,-6.97,1481.25,874.8359,Cluster,10.0,,5.84,12.13,,1:04,Internal,,CLUSTER,False,True,1.0666666666666667,184
,,0.344,-14.31,1488.59,875.6039,metal loss,10.0,,0.51,0.63,,9:19,Internal,,METAL_LOSS,False,True,9.316666666666666,185
,,0.344,-19.76,1494.04,876.1739,Cluster,11.0,,20.58,12.23,,8:52,Internal,,CLUSTER,False,True,8.866666666666667,186
,,0.344,-33.6,1507.88,877.6284,Cluster,10.0,,7.0,7.88,,1:14,Internal,,CLUSTER,False,True,1.2333333333333334,187
,,0.344,-36.69,1510.97,877.9545,Cluster,11.0,,4.04,6.24,,1:46,Internal,,CLUSTER,False,True,1.7666666666666666,188
,,0.344,-38.02,1512.3,878.0946,Cluster,10.0,,4.52,6.97,,9:43,Internal,,CLUSTER,False,True,9.716666666666667,189
,,0.344,-3.38,1517.65,878.6589,Cluster,10.0,,12.73,8.61,,1:33,Internal,,CLUSTER,False,True,1.55,191
,,0.344,-4.14,1518.41,878.7387,Cluster,10.0,,10.87,6.7,,1:02,Internal,,CLUSTER,False,True,1.0333333333333334,192
,,0.344,-28.16,1542.43,881.2638,Cluster,10.0,,6.01,5.8,,1:47,Internal,,CLUSTER,False,True,1.7833333333333332,193
,,0.344,-39.61,1553.88,882.4519,Cluster,10.0,,4.56,8.27,,10:11,Internal,,CLUSTER,False,True,10.183333333333334,194
,,0.344,-5.75,1560.05,883.08,metal loss,11.0,,0.75,0.55,,9:56,Internal,,METAL_LOSS,False,True,9.933333333333334,196
,,0.344,-9.49,1563.79,883.4539,Cluster,10.0,,10.93,6.66,,10:26,Internal,,CLUSTER,False,True,10.433333333333334,197
,,0.344,-17.53,1571.84,884.2396,Cluster,11.0,,4.52,3.33,,10:40,Internal,,CLUSTER,False,True,10.666666666666666,198
,,0.344,-21.56,1575.87,884.6258,Cluster,15.0,,7.39,6.91,,10:35,Internal,,CLUSTER,False,True,10.583333333333334,199
,,0.344,-27.71,1582.01,885.2172,Cluster,10.0,,3.26,4.34,,10:37,Internal,,CLUSTER,False,True,10.616666666666667,200
,,0.344,-29.84,1584.15,885.4233,Cluster,14.0,,3.89,3.14,,10:35,Internal,,CLUSTER,False,True,10.583333333333334,201
,,0.344,-30.3,1584.61,885.4672,Cluster,11.0,,13.44,6.97,,10:37,Internal,,CLUSTER,False,True,10.616666666666667,202
,,0.344,-33.22,1587.53,885.749,Cluster,10.0,,4.07,6.97,,10:14,Internal,,CLUSTER,False,True,10.233333333333333,203
,,0.344,-39.49,1593.8,886.361,Cluster,10.0,,5.5,16.65,,9:06,Internal,,CLUSTER,False,True,9.1,204
,,0.344,-0.7,1595.0,886.478,Cluster,14.0,,5.1,20.55,,8:21,Internal,,CLUSTER,False,True,8.35,206
,,0.344,-0.81,1595.1,886.4883,metal loss,20.0,,1.18,6.34,1.87,6:57,Internal,,METAL_LOSS,False,True,6.95,207
,,0.344,-15.69,1609.99,887.9465,metal loss,10.0,,0.67,0.59,,12:24,Internal,,METAL_LOSS,False,True,12.4,208
,,0.344,-34.48,1628.77,889.7887,Cluster,11.0,,0.8,2.12,,10:29,Internal,,CLUSTER,False,True,10.483333333333333,209
,,0.344,-40.09,1634.38,890.3414,Cluster,10.0,,5.09,11.1,,9:54,Internal,,CLUSTER,False,True,9.9,210
,,0.344,-0.01,1634.41,890.3443,Cluster,10.0,,6.9,26.12,,12:16,Internal,,CLUSTER,False,True,12.266666666666667,212
,,0.344,-0.91,1635.31,890.4325,Cluster,11.0,,4.88,22.14,,12:19,Internal,,CLUSTER,False,True,12.316666666666666,213
,,0.344,-22.33,1696.83,896.1156,Cluster,11.0,,0.92,2.85,,12:20,Internal,,CLUSTER,False,True,12.333333333333334,217
,,0.344,-39.58,1714.09,897.5261,Cluster,11.0,,5.06,11.94,,9:52,Internal,,CLUSTER,False,True,9.866666666666667,218
,,0.344,-36.06,1790.51,902.3065,Cluster,10.0,,2.77,2.26,,11:07,Internal,,CLUSTER,False,True,11.116666666666667,221
,,0.344,-18.3,2118.73,910.1192,Cluster,13.0,,2.03,3.02,,6:09,Internal,,CLUSTER,False,True,6.15,235
,,0.344,-22.62,2123.05,910.3039,metal loss,12.0,,0.75,0.83,,4:56,Internal,,METAL_LOSS,False,True,4.933333333333334,238
,,0.344,-39.88,2140.31,911.1823,metal loss,12.0,,0.67,0.71,,4:47,Internal,,METAL_LOSS,False,True,4.783333333333333,246
,,0.344,-20.62,2161.08,912.529,metal loss,17.0,,0.63,0.55,,6:40,Internal,,METAL_LOSS,False,True,6.666666666666667,254
,,0.344,-38.82,2179.28,913.7847,metal loss,10.0,,0.59,0.71,,4:34,Internal,,METAL_LOSS,False,True,4.566666666666666,257
,,0.344,-38.99,2179.45,913.7965,Cluster,11.0,,2.76,4.38,,5:04,Internal,,CLUSTER,False,True,5.066666666666666,258
,,0.344,-3.76,2184.26,914.1366,metal loss,10.0,,0.51,0.71,,12:11,Internal,,METAL_LOSS,False,True,12.183333333333334,261
,,0.344,-6.11,2226.67,917.2614,metal loss,10.0,,0.59,0.71,,7:10,Internal,,METAL_LOSS,False,True,7.166666666666667,269
,,0.344,-7.41,2227.98,917.3608,metal loss,12.0,,0.63,0.71,,7:20,Internal,,METAL_LOSS,False,True,7.333333333333333,271
,,0.344,-13.8,2234.36,917.8472,Cluster,11.0,,2.12,0.73,,7:33,Internal,,CLUSTER,False,True,7.55,275
,,0.344,-21.28,2241.84,918.4186,metal loss,12.0,,0.59,0.71,,5:26,Internal,,METAL_LOSS,False,True,5.433333333333334,280
,,0.344,-23.35,2243.92,918.5765,metal loss,17.0,,0.71,0.71,,6:21,Internal,,METAL_LOSS,False,True,6.35,281
,,0.344,-24.32,2244.89,918.6503,metal loss,11.0,,0.75,0.63,,6:11,Internal,,METAL_LOSS,False,True,6.183333333333334,282
,,0.344,-26.45,2247.01,918.811,metal loss,17.0,,0.87,0.71,,5:31,Internal,,METAL_LOSS,False,True,5.516666666666667,283
,,0.344,-28.72,2249.29,918.9831,metal loss,10.0,,0.71,0.71,,6:01,Internal,,METAL_LOSS,False,True,6.016666666666667,285
,,0.344,-28.93,2249.5,918.9989,metal loss,11.0,,0.71,0.71,,6:28,Internal,,METAL_LOSS,False,True,6.466666666666667,286
,,0.344,-35.19,2255.76,919.4699,Cluster,18.0,,1.94,0.69,,5:25,Internal,,CLUSTER,False,True,5.416666666666667,288
,,0.344,-39.55,2260.11,919.7917,Cluster,15.0,,3.11,3.31,,5:32,Internal,,CLUSTER,False,True,5.533333333333333,291
,,0.344,-1.62,2262.01,919.9293,metal loss,10.0,,0.67,0.71,,7:07,Internal,,METAL_LOSS,False,True,7.116666666666666,294
,,0.344,-2.37,2368.29,926.2914,Cluster,13.0,,5.62,5.97,,5:40,Internal,,CLUSTER,False,True,5.666666666666667,312
,,0.344,-32.93,2982.66,971.2751,metal loss,10.0,,0.51,0.71,,11:01,Internal,,METAL_LOSS,False,True,11.016666666666667,330
,,0.344,-1.76,2991.42,971.457,Cluster,12.0,,0.77,1.72,,9:37,Internal,,CLUSTER,False,True,9.616666666666667,332
,,0.344,-1.94,2991.61,971.4608,metal loss,13.0,,0.55,0.55,,9:42,Internal,,METAL_LOSS,False,True,9.7,333
,,0.344,-3.94,2993.61,971.5022,Cluster,10.0,,1.58,1.36,,9:30,Internal,,CLUSTER,False,True,9.5,334
,,0.344,-4.24,2993.91,971.5085,Cluster,12.0,,1.63,0.67,,2:16,Internal,,CLUSTER,False,True,2.2666666666666666,335
,,0.344,-4.83,2994.5,971.5207,Cluster,10.0,,4.84,2.81,,9:17,Internal,,CLUSTER,False,True,9.283333333333333,336
,,0.344,-12.41,3002.07,971.677,metal loss,10.0,,0.51,0.55,,8:30,Internal,,METAL_LOSS,False,True,8.5,337
,,0.344,-12.57,3002.24,971.6804,metal loss,11.0,,0.67,0.71,,8:29,Internal,,METAL_LOSS,False,True,8.483333333333333,338
,,0.344,-28.38,3018.05,971.9395,metal loss,10.0,,0.63,0.63,,3:09,Internal,,METAL_LOSS,False,True,3.15,339
,,0.344,-30.21,3019.88,971.941,Cluster,10.0,,1.76,1.24,,8:31,Internal,,CLUSTER,False,True,8.516666666666667,340
,,0.344,-21.59,3051.05,971.9481,Cluster,10.0,,4.02,0.71,,4:35,Internal,,CLUSTER,False,True,4.583333333333333,342
,,0.344,-25.37,3054.83,971.9454,Cluster,10.0,,3.74,1.05,,4:18,Internal,,CLUSTER,False,True,4.3,343
,,0.344,-25.79,3055.25,971.945,metal loss,11.0,,0.67,0.71,,4:22,Internal,,METAL_LOSS,False,True,4.366666666666666,344
,,0.344,-27.05,3056.51,971.9441,Cluster,11.0,,3.52,0.69,,4:17,Internal,,CLUSTER,False,True,4.283333333333333,345
,,0.344,-27.34,3056.8,971.9439,Cluster,11.0,,4.99,3.83,,7:17,Internal,,CLUSTER,False,True,7.283333333333333,346
,,0.344,-28.41,3057.87,971.9432,Cluster,11.0,,3.41,1.2,,4:12,Internal,,CLUSTER,False,True,4.2,347
,,0.344,-28.89,3058.36,971.9428,metal loss,12.0,,0.71,0.55,,4:17,Internal,,METAL_LOSS,False,True,4.283333333333333,348
,,0.344,-29.11,3058.57,971.9426,Cluster,11.0,,6.88,2.77,,3:57,Internal,,CLUSTER,False,True,3.95,349
,,0.344,-29.62,3059.08,971.9421,Cluster,11.0,,9.0,3.37,,7:18,Internal,,CLUSTER,False,True,7.3,350
,,0.344,-29.81,3059.27,971.942,metal loss,10.0,,0.91,0.71,,4:14,Internal,,METAL_LOSS,False,True,4.233333333333333,351
,,0.344,-30.3,3059.76,971.9415,Cluster,11.0,,13.36,5.59,,3:47,Internal,,CLUSTER,False,True,3.783333333333333,352
,,0.344,-30.45,3059.92,971.9414,Cluster,11.0,,7.37,3.88,,7:18,Internal,,CLUSTER,False,True,7.3,353
,,0.344,-31.23,3060.69,971.9407,Cluster,15.0,,7.08,1.34,,7:42,Internal,,CLUSTER,False,True,7.7,354
,,0.344,-31.92,3061.38,971.9401,Cluster,15.0,,11.11,2.28,,7:39,Internal,,CLUSTER,False,True,7.65,355
,,0.344,-32.01,3061.47,971.94,Cluster,15.0,,4.7,5.41,,3:59,Internal,,CLUSTER,False,True,3.9833333333333334,356
,,0.344,-32.51,3061.97,971.9396,Cluster,10.0,,6.55,5.03,,3:37,Internal,,CLUSTER,False,True,3.6166666666666667,357
,,0.344,-32.95,3062.41,971.9392,Cluster,13.0,,5.17,3.33,,7:34,Internal,,CLUSTER,False,True,7.566666666666666,358
,,0.344,-33.63,3063.09,971.9386,Cluster,11.0,,5.63,3.44,,7:39,Internal,,CLUSTER,False,True,7.65,359
,,0.344,-34.09,3063.55,971.9382,Cluster,11.0,,4.67,2.98,,3:46,Internal,,CLUSTER,False,True,3.7666666666666666,360
,,0.344,-39.61,3069.07,971.929,Cluster,12.0,,4.69,5.59,,8:17,Internal,,CLUSTER,False,True,8.283333333333333,361
,,0.344,-26.58,5024.29,907.4257,metal loss-manufacturing anomaly,15.0,,0.67,0.55,,3:43,,,METAL_LOSS_MFG,False,True,3.716666666666667,420
,,0.344,-18.58,5362.14,904.19,Cluster,28.0,,4.5,2.77,1.69,4:39,External,,CLUSTER,False,True,4.65,440
,,0.344,-19.06,5362.62,904.1937,Cluster,13.0,,2.05,2.33,,4:50,External,,CLUSTER,False,True,4.833333333333333,442
,,0.344,-20.03,5363.59,904.2013,Cluster,37.0,,1.91,2.2,1.79,4:21,External,,CLUSTER,False,True,4.35,445
,,0.344,-22.31,5365.86,904.2192,Cluster,11.0,,3.59,5.2,,4:43,External,,CLUSTER,False,True,4.716666666666667,449
,,0.344,-35.87,5379.43,904.345,Cluster,40.0,,3.78,19.14,1.63,4:36,External,,CLUSTER,False,True,4.6,450
,,0.344,-39.05,7052.36,838.1095,Cluster,18.0,,1.99,5.38,,3:50,External,,CLUSTER,False,True,3.8333333333333335,503
,,0.344,-39.13,8421.4,815.445,metal loss,11.0,,0.87,1.1,,6:52,External,,METAL_LOSS,False,True,6.866666666666667,545
,,0.344,-3.72,8889.36,807.6581,metal loss-manufacturing anomaly,13.0,,0.47,0.71,,10:52,,,METAL_LOSS_MFG,False,True,10.866666666666667,560
,,0.344,-1.44,9473.05,780.4636,metal loss,10.0,,0.71,0.59,,5:15,Internal,,METAL_LOSS,False,True,5.25,580
,,0.344,-29.95,10574.38,820.8848,Cluster,21.0,,6.8,5.8,1.69,4:21,External,,CLUSTER,False,True,4.35,617
,,0.344,-30.7,10575.13,820.8552,Cluster,17.0,,6.35,2.87,,4:19,External,,CLUSTER,False,True,4.316666666666666,618
,,0.344,-33.09,10577.51,820.7606,Cluster,12.0,,2.87,1.43,,6:20,External,,CLUSTER,False,True,6.333333333333333,619
,,0.344,-4.3,11046.93,829.1849,metal loss-manufacturing anomaly,12.0,,0.63,0.75,,3:25,,,METAL_LOSS_MFG,False,True,3.4166666666666665,638
,,0.344,-19.85,12180.29,862.3529,metal loss-manufacturing anomaly,13.0,,3.78,1.46,,10:32,,,METAL_LOSS_MFG,False,True,10.533333333333333,667
,,0.344,-0.6,13138.89,876.6469,metal loss,33.0,,5.51,0.63,1.61,4:05,External,,METAL_LOSS,False,True,4.083333333333333,696
,,0.344,-0.61,13138.9,876.646,Cluster,34.0,,8.47,25.13,1.52,4:35,External,,CLUSTER,False,True,4.583333333333333,697
,,0.344,-0.82,13139.11,876.6339,metal loss,11.0,,0.98,1.77,,3:15,External,,METAL_LOSS,False,True,3.25,698
,,0.344,-0.76,13393.85,851.3967,Cluster,14.0,,2.52,8.15,,11:48,External,,CLUSTER,False,True,11.8,707
,,0.344,-22.51,13836.19,869.0829,metal loss-manufacturing anomaly,14.0,,0.83,0.87,,10:39,,,METAL_LOSS_MFG,False,True,10.65,719
,,0.344,-25.9,14928.2,821.8769,Cluster,10.0,,1.57,3.31,,1:07,External,,CLUSTER,False,True,1.1166666666666667,757
,,0.344,-8.4,15054.15,820.2092,Cluster,15.0,,5.14,5.32,,5:18,External,,CLUSTER,False,True,5.3,777
,,0.344,-28.43,15074.18,819.2055,metal loss,18.0,,0.71,0.71,,9:28,External,,METAL_LOSS,False,True,9.466666666666667,780
,,0.344,-29.49,15075.24,819.1509,Cluster,29.0,,4.66,2.95,1.68,9:16,External,,CLUSTER,False,True,9.266666666666667,781
,,0.344,-2.52,15357.47,801.7592,metal loss,16.0,,1.1,1.18,,5:03,External,,METAL_LOSS,False,True,5.05,807
,,0.344,-15.48,15433.66,805.158,metal loss-manufacturing anomaly,20.0,,0.51,0.71,,9:43,,,METAL_LOSS_MFG,False,True,9.716666666666667,812
,,0.344,-39.71,15957.99,829.9187,metal loss,10.0,,0.75,0.83,,3:57,External,,METAL_LOSS,False,True,3.95,828
,,0.344,-2.36,16000.75,833.4444,metal loss-manufacturing anomaly,16.0,,0.71,0.59,,7:30,,,METAL_LOSS_MFG,False,True,7.5,831
,,0.344,-32.57,16509.36,846.9837,Cluster,35.0,,4.56,11.58,1.63,4:54,External,,CLUSTER,False,True,4.9,846
,,0.344,-33.08,16509.87,846.9737,metal loss,10.0,,1.81,2.09,,6:37,External,,METAL_LOSS,False,True,6.616666666666667,847
,,0.344,-38.78,18175.87,873.1097,Cluster,20.0,,4.97,6.79,1.74,4:24,External,,CLUSTER,False,True,4.4,899
,,0.344,-38.81,18175.91,873.1085,metal loss,18.0,,0.87,0.59,,6:45,External,,METAL_LOSS,False,True,6.75,900
,,0.344,-38.83,18175.92,873.1082,metal loss,23.0,,0.87,0.87,1.87,5:58,External,,METAL_LOSS,False,True,5.966666666666667,901
,,0.344,-0.83,18186.01,872.7616,metal loss,14.0,,1.1,3.42,,6:02,External,,METAL_LOSS,False,True,6.033333333333333,904
,,0.344,-34.87,18814.52,926.6041,Cluster,67.0,,1.88,3.5,1.64,7:23,External,,CLUSTER,False,True,7.383333333333334,920
