joint_number,joint_length_ft,wall_thickness_in,dist_to_upstream_gw_ft,dist_to_downstream_gw_ft,distance_ft,feature_type,internal_external,depth_pct,depth_in,Metal Loss Depth + Tolerance[%],Dimension Classification,Metal Loss Depth Tolerance [%] (includes seamless and HAZ and modified specs),Dent Depth[%],Dent Depth[in],Is any part of the dent affecting the top of the pipe? [Y/N],anomaly_length_in,anomaly_width_in,clock_position,comments,Anomalies per Joint,Was anomaly sizing reviewed by analyst? [Y/N],Was anomaly sizing/dimensions manually changed? [Y/N],Magnetization Level [kA/m] for MFL survey or Actual WT [in] for UT Survey,elevation_ft,Seam Position[hh:mm],Distance To Seam Weld [in],Tool,design_pressure_psi,smys_psi,Pipe Type,Pipe Diameter (O.D.)[in.],safe_pressure_psi,burst_pressure_psi,Effective Area Psafe [PSI],Effective Area Pburst [PSI],erf,rpr,Length Tolerance [in],Width Tolerance [in],inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned,cluster_id,clock_hours
120,13.484,0.5,8.579,4.905,265.167,Metal Loss,External,23.0,0.115,38.0,GENE,20.0,,,,2.1,3.4,12:03,EXT ML,1,N,N,4.14,158.751,UNKN,,CMFL,1025,60000,E.R. WELD,24,2051.2,2848.8,2040.3,2833.7,0.5,1.14,1.0,1.2,2022,Metal Loss_265.2,True,265.167,264.40999999999997,-1,12.05
200,12.087,0.344,4.006,8.081,423.104,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,2.2,2.0,11:18,EXT ML,3,N,N,5.97,169.08,UNKN,,CMFL,1025,65000,E.R. WELD,24,1521.4,2113.0,1516.1,2105.6,0.674,1.134,1.0,1.2,2022,Metal Loss_423.1,True,423.104,422.347,2,11.3
200,12.087,0.344,4.475,7.612,423.573,Metal Loss,External,12.0,0.041,27.0,AXGR,20.0,,,,2.4,1.0,11:02,EXT ML,3,N,N,5.97,169.321,UNKN,,CMFL,1025,65000,E.R. WELD,24,1517.7,2107.9,1511.7,2099.6,0.675,1.132,1.0,1.2,2022,Metal Loss_423.6,True,423.573,422.816,2,11.033333333333333
200,12.087,0.344,10.115,1.972,429.213,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,2.3,2.9,2:49,EXT ML,3,N,N,5.97,172.204,UNKN,,CMFL,1025,65000,E.R. WELD,24,1514.2,2103.0,1507.4,2093.6,0.677,1.129,1.0,1.2,2022,Metal Loss_429.2,True,429.213,428.456,2,2.8166666666666664
215,7.503,0.344,0.315,7.188,440.804,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,15.0,8.8,6:21,EXT ML,1,N,N,5.97,175.355,08:36,14.451,CMFL,1025,65000,E.R. WELD,24,1396.0,1938.9,1399.6,1943.9,0.734,1.04,1.0,1.2,2022,Metal Loss_440.8,True,440.804,440.047,-1,6.35
230,40.2,0.344,0.161,40.039,488.245,Metal Loss,External,14.0,0.048,29.0,GENE,20.0,,,,3.3,1.5,5:35,EXT ML,4,N,N,5.97,186.747,08:28,18.012,CMFL,1025,65000,E.R. WELD,24,1496.3,2078.2,1486.1,2064.1,0.685,1.114,1.0,1.2,2022,Metal Loss_488.2,True,488.245,487.488,-1,5.583333333333333
230,40.2,0.344,38.842,1.362,526.923,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,2.6,1.7,2:57,EXT ML,4,N,N,5.97,190.09,08:28,34.558,CMFL,1025,65000,E.R. WELD,24,1500.9,2084.6,1491.3,2071.2,0.683,1.119,1.0,1.2,2022,Metal Loss_526.9,True,526.923,526.166,3,2.95
240,40.312,0.344,0.184,40.128,528.468,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,14.9,19.6,7:02,EXT ML,10,N,N,5.97,190.21,03:20,27.855,CMFL,1025,65000,E.R. WELD,24,1308.5,1817.3,1339.0,1859.7,0.783,0.977,1.0,1.2,2022,Metal Loss_528.5,True,528.468,527.711,3,7.033333333333333
240,40.312,0.344,0.84,39.475,529.121,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,14.0,8.4,8:37,EXT ML,10,N,N,5.97,190.261,03:20,34.976,CMFL,1025,65000,E.R. WELD,24,1437.6,1996.6,1433.4,1990.9,0.713,1.073,1.0,1.2,2022,Metal Loss_529.1,True,529.121,528.364,3,8.616666666666667
240,40.312,0.344,1.007,39.304,529.291,Metal Loss,External,18.0,0.062,33.0,GENE,20.0,,,,2.5,2.0,4:13,EXT ML,10,N,N,5.97,190.274,03:20,5.655,CMFL,1025,65000,E.R. WELD,24,1502.1,2086.2,1492.6,2073.0,0.682,1.119,1.0,1.2,2022,Metal Loss_529.3,True,529.291,528.5340000000001,3,4.216666666666667
240,40.312,0.344,5.827,34.485,534.111,Metal Loss,External,27.0,0.093,42.0,GENE,20.0,,,,1.5,3.4,9:02,EXT ML,10,N,N,5.97,190.657,03:20,35.814,CMFL,1025,65000,E.R. WELD,24,1514.6,2103.6,1506.8,2092.8,0.677,1.128,1.0,1.2,2022,Metal Loss_534.1,True,534.111,533.354,3,9.033333333333333
240,40.312,0.344,6.257,34.058,534.537,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,4.1,1.8,8:56,EXT ML,10,N,N,5.97,190.691,03:20,35.186,CMFL,1025,65000,E.R. WELD,24,1490.4,2070.0,1479.4,2054.7,0.688,1.112,1.0,1.2,2022,Metal Loss_534.5,True,534.537,533.7800000000001,3,8.933333333333334
240,40.312,0.344,6.781,33.53,535.066,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,2.7,1.4,8:50,EXT ML,10,N,N,5.97,190.733,03:20,34.558,CMFL,1025,65000,E.R. WELD,24,1505.7,2091.2,1497.2,2079.4,0.681,1.121,1.0,1.2,2022,Metal Loss_535.1,True,535.066,534.3090000000001,3,8.833333333333334
240,40.312,0.344,7.323,32.992,535.604,Metal Loss,External,16.0,0.055,31.0,GENE,20.0,,,,1.6,1.3,8:46,EXT ML,10,N,N,5.97,190.776,03:20,34.139,CMFL,1025,65000,E.R. WELD,24,1527.3,2121.2,1523.0,2115.2,0.671,1.138,1.0,1.2,2022,Metal Loss_535.6,True,535.604,534.8470000000001,3,8.766666666666667
240,40.312,0.344,7.7,32.612,535.984,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,1.9,2.3,8:46,EXT ML,10,N,N,5.97,190.807,03:20,34.139,CMFL,1025,65000,E.R. WELD,24,1523.0,2115.3,1517.9,2108.2,0.673,1.134,1.0,1.2,2022,Metal Loss_536.0,True,535.984,535.2270000000001,3,8.766666666666667
240,40.312,0.344,38.967,1.348,567.247,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,2.5,2.8,4:36,EXT ML,10,N,N,5.97,193.312,03:20,7.959,CMFL,1025,65000,E.R. WELD,24,1513.7,2102.3,1506.9,2092.9,0.677,1.129,1.0,1.2,2022,Metal Loss_567.2,True,567.247,566.49,4,4.6
240,40.312,0.344,39.459,0.853,567.743,Metal Loss,External,16.0,0.055,31.0,GENE,20.0,,,,2.5,2.4,4:35,EXT ML,10,N,N,5.97,193.351,03:20,7.959,CMFL,1025,65000,E.R. WELD,24,1506.0,2091.6,1497.4,2079.7,0.681,1.123,1.0,1.2,2022,Metal Loss_567.7,True,567.743,566.9860000000001,4,4.583333333333333
250,40.135,0.344,2.428,37.707,571.024,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,2.0,1.9,5:58,EXT ML,14,N,N,5.97,193.614,02:20,22.829,CMFL,1025,65000,E.R. WELD,24,1525.7,2119.0,1521.2,2112.8,0.672,1.137,1.0,1.2,2022,Metal Loss_571.0,True,571.024,570.267,4,5.966666666666667
250,40.135,0.344,3.894,36.243,572.487,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,2.8,2.3,6:01,EXT ML,14,N,N,5.97,193.725,02:20,23.248,CMFL,1025,65000,E.R. WELD,24,1515.8,2105.3,1509.6,2096.6,0.676,1.13,1.0,1.2,2022,Metal Loss_572.5,True,572.487,571.73,4,6.016666666666667
250,40.135,0.344,4.905,35.23,573.501,Metal Loss,External,16.0,0.055,31.0,CIGR,25.0,,,,1.1,2.7,5:58,EXT ML,14,N,N,5.97,193.802,02:20,22.829,CMFL,1025,65000,E.R. WELD,24,1538.2,2136.5,1536.2,2133.6,0.666,1.147,1.0,1.2,2022,Metal Loss_573.5,True,573.501,572.744,4,5.966666666666667
250,40.135,0.344,7.917,32.218,576.512,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,4.6,5.2,6:21,EXT ML,14,N,N,5.97,194.029,02:20,23.667,CMFL,1025,65000,E.R. WELD,24,1481.1,2057.0,1472.1,2044.5,0.692,1.102,1.0,1.2,2022,Metal Loss_576.5,True,576.512,575.755,4,6.35
250,40.135,0.344,10.335,29.803,578.927,Metal Loss,External,18.0,0.062,33.0,GENE,20.0,,,,1.2,3.5,6:08,EXT ML,14,N,N,5.97,194.211,02:20,23.876,CMFL,1025,65000,E.R. WELD,24,1533.2,2129.5,1530.1,2125.1,0.669,1.143,1.0,1.2,2022,Metal Loss_578.9,True,578.927,578.1700000000001,4,6.133333333333334
250,40.135,0.344,10.84,29.295,579.436,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,4.5,1.9,6:08,EXT ML,14,N,N,5.97,194.25,02:20,24.295,CMFL,1025,65000,E.R. WELD,24,1478.5,2053.5,1491.0,2070.9,0.693,1.103,1.0,1.2,2022,Metal Loss_579.4,True,579.436,578.6790000000001,4,6.133333333333334
250,40.135,0.344,14.222,25.912,582.818,Metal Loss,External,12.0,0.041,27.0,PITT,20.0,,,,1.6,1.0,6:12,EXT ML,14,N,N,5.97,194.505,02:20,24.295,CMFL,1025,65000,E.R. WELD,24,1533.2,2129.5,1530.3,2125.4,0.669,1.143,0.6,1.2,2022,Metal Loss_582.8,True,582.818,582.061,4,6.2
250,40.135,0.344,15.778,24.357,584.373,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,2.6,3.6,5:51,EXT ML,14,N,N,5.97,194.622,02:20,22.201,CMFL,1025,65000,E.R. WELD,24,1517.4,2107.5,1511.5,2099.2,0.676,1.132,1.0,1.2,2022,Metal Loss_584.4,True,584.373,583.6160000000001,4,5.85
250,40.135,0.344,20.535,19.603,589.127,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,9.3,4.8,6:08,EXT ML,14,N,N,5.97,194.982,02:20,22.41,CMFL,1025,65000,E.R. WELD,24,1454.0,2019.5,1437.7,1996.8,0.705,1.084,1.0,1.2,2022,Metal Loss_589.1,True,589.127,588.37,4,6.133333333333334
250,40.135,0.344,24.042,16.096,592.635,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,4.1,3.8,6:04,EXT ML,14,N,N,5.97,195.246,02:20,24.295,CMFL,1025,65000,E.R. WELD,24,1484.3,2061.5,1482.2,2058.6,0.691,1.107,1.0,1.2,2022,Metal Loss_592.6,True,592.635,591.878,4,6.066666666666666
250,40.135,0.344,25.846,14.288,594.442,Metal Loss,External,11.0,0.038,26.0,PITT,20.0,,,,1.6,1.0,6:02,EXT ML,14,N,N,5.97,195.383,02:20,23.248,CMFL,1025,65000,E.R. WELD,24,1533.8,2130.3,1531.0,2126.5,0.668,1.144,0.6,1.2,2022,Metal Loss_594.4,True,594.442,593.6850000000001,4,6.033333333333333
250,40.135,0.344,26.837,13.297,595.433,Metal Loss,External,13.0,0.044,28.0,PITT,20.0,,,,1.5,1.0,5:56,EXT ML,14,N,N,5.97,195.457,02:20,22.619,CMFL,1025,65000,E.R. WELD,24,1534.7,2131.5,1532.0,2127.8,0.668,1.144,0.6,1.2,2022,Metal Loss_595.4,True,595.433,594.676,4,5.933333333333334
250,40.135,0.344,39.127,1.01,607.72,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,3.1,1.6,9:38,EXT ML,14,N,N,5.97,196.385,02:20,29.531,CMFL,1025,65000,E.R. WELD,24,1509.7,2096.8,1502.3,2086.6,0.679,1.126,1.0,1.2,2022,Metal Loss_607.7,True,607.72,606.9630000000001,5,9.633333333333333
250,40.135,0.344,39.839,0.295,608.435,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,2.5,4.0,9:11,EXT ML,14,N,N,5.97,196.439,02:20,32.254,CMFL,1025,65000,E.R. WELD,24,1501.7,2085.7,1492.1,2072.4,0.683,1.12,1.0,1.2,2022,Metal Loss_608.4,True,608.435,607.678,5,9.183333333333334
260,31.342,0.344,0.328,31.014,609.058,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,3.8,1.3,10:18,EXT ML,7,N,N,5.97,196.486,02:00,23.248,CMFL,1025,65000,E.R. WELD,24,1490.6,2070.2,1479.4,2054.8,0.688,1.111,1.0,1.2,2022,Metal Loss_609.1,True,609.058,608.301,5,10.3
260,31.342,0.344,0.44,30.902,609.17,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,10.4,4.0,4:22,EXT ML,7,N,N,5.97,196.495,02:00,14.451,CMFL,1025,65000,E.R. WELD,24,1432.6,1989.7,1462.2,2030.8,0.716,1.066,1.0,1.2,2022,Metal Loss_609.2,True,609.17,608.413,5,4.366666666666666
260,31.342,0.344,0.633,30.709,609.364,Metal Loss,External,18.0,0.062,33.0,GENE,20.0,,,,4.1,4.6,8:19,EXT ML,7,N,N,5.97,196.509,02:00,36.652,CMFL,1025,65000,E.R. WELD,24,1460.0,2027.8,1460.4,2028.3,0.702,1.088,1.0,1.2,2022,Metal Loss_609.4,True,609.364,608.6070000000001,5,8.316666666666666
260,31.342,0.344,1.329,30.013,610.059,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,4.5,3.8,3:03,EXT ML,7,N,N,5.97,196.562,02:00,5.864,CMFL,1025,65000,E.R. WELD,24,1429.9,1985.9,1418.1,1969.6,0.717,1.068,1.0,1.2,2022,Metal Loss_610.1,True,610.059,609.302,5,3.05
260,31.342,0.344,30.354,0.988,639.085,Metal Loss,External,33.0,0.113,48.0,GENE,20.0,,,,2.4,1.5,5:41,EXT ML,7,N,N,5.97,198.535,02:00,23.248,CMFL,1025,65000,E.R. WELD,24,1457.3,2024.0,1435.2,1993.4,0.703,1.085,1.0,1.2,2022,Metal Loss_639.1,True,639.085,638.3280000000001,6,5.683333333333334
260,31.342,0.344,30.364,0.978,639.094,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,2.6,3.6,3:01,EXT ML,7,N,N,5.97,198.535,02:00,6.493,CMFL,1025,65000,E.R. WELD,24,1498.9,2081.8,1488.8,2067.8,0.684,1.118,1.0,1.2,2022,Metal Loss_639.1,True,639.094,638.3370000000001,6,3.0166666666666666
260,31.342,0.344,30.446,0.896,639.177,Metal Loss,External,25.0,0.086,40.0,GENE,20.0,,,,3.0,3.1,4:35,EXT ML,7,N,N,5.97,198.541,02:00,16.336,CMFL,1025,65000,E.R. WELD,24,1459.2,2026.7,1439.8,1999.8,0.703,1.087,1.0,1.2,2022,Metal Loss_639.2,True,639.177,638.4200000000001,6,4.583333333333333
280,8.278,0.5,7.444,0.837,657.119,Metal Loss,External,39.0,0.195,54.0,GENE,20.0,,,,3.1,3.7,5:50,EXT ML,1,N,N,4.14,199.719,UNKN,,CMFL,1025,60000,E.R. WELD,24,1926.6,2675.9,1881.6,2613.4,0.532,1.071,1.0,1.2,2022,Metal Loss_657.1,True,657.119,656.3620000000001,7,5.833333333333333
290,15.026,0.344,0.381,14.646,658.333,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,5.2,5.1,9:02,EXT ML,4,N,N,5.97,199.799,10:32,10.263,CMFL,1025,65000,E.R. WELD,24,1403.5,1949.4,1409.1,1957.0,0.73,1.046,1.0,1.2,2022,Metal Loss_658.3,True,658.333,657.576,7,9.033333333333333
290,15.026,0.344,0.62,14.403,658.576,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,3.3,3.4,10:15,EXT ML ( NEAR SW ),4,N,N,5.97,199.815,10:32,1.676,CMFL,1025,65000,E.R. WELD,24,1485.1,2062.6,1472.4,2045.0,0.69,1.105,1.0,1.2,2022,Metal Loss_658.6,True,658.576,657.8190000000001,7,10.25
290,15.026,0.344,13.081,1.942,671.037,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,8.1,6.9,4:55,EXT ML,4,N,N,5.97,200.687,10:32,36.652,CMFL,1025,65000,E.R. WELD,24,1411.7,1960.6,1388.6,1928.7,0.726,1.05,1.0,1.2,2022,Metal Loss_671.0,True,671.037,670.2800000000001,8,4.916666666666667
290,15.026,0.344,13.412,1.614,671.365,Metal Loss,External,26.0,0.089,41.0,GENE,20.0,,,,12.1,10.2,8:56,EXT ML,4,N,N,5.97,200.71,10:32,8.378,CMFL,1025,65000,E.R. WELD,24,1289.5,1791.0,1318.6,1831.3,0.795,0.963,1.0,1.2,2022,Metal Loss_671.4,True,671.365,670.6080000000001,8,8.933333333333334
310,8.77,0.344,0.512,8.261,681.726,Metal Loss,External,24.0,0.082,39.0,GENE,20.0,,,,3.3,6.5,3:10,EXT ML,1,N,N,5.97,201.41,10:00,30.578,CMFL,1025,65000,E.R. WELD,24,1448.5,2011.7,1442.3,2003.2,0.708,1.081,1.0,1.2,2022,Metal Loss_681.7,True,681.726,680.969,-1,3.1666666666666665
370,37.838,0.344,0.469,37.369,789.035,Metal Loss,Internal,12.0,0.041,27.0,GENE,20.0,,,,18.5,4.1,4:51,INT ML ( ON SW ),8,N,N,5.97,210.078,04:56,1.257,CMFL,1025,65000,E.R. WELD,24,1424.5,1978.5,1408.8,1956.6,0.72,1.06,1.0,1.2,2022,Metal Loss_789.0,True,789.035,788.278,9,4.85
370,37.838,0.344,3.839,34.003,792.402,Metal Loss,Internal,14.0,0.048,29.0,GENE,20.0,,,,22.9,4.2,4:41,INT ML ( ON SW ),8,N,N,5.97,210.381,04:56,0.209,CMFL,1025,65000,E.R. WELD,24,1390.8,1931.7,1426.6,1981.3,0.737,1.04,1.0,1.2,2022,Metal Loss_792.4,True,792.402,791.6450000000001,9,4.683333333333334
370,37.838,0.344,7.077,30.764,795.64,Metal Loss,Internal,13.0,0.044,28.0,GENE,20.0,,,,13.5,4.1,4:58,INT ML ( ON SW ),8,N,N,5.97,210.696,04:56,0.0,CMFL,1025,65000,E.R. WELD,24,1416.7,1967.6,1460.9,2029.0,0.724,1.059,1.0,1.2,2022,Metal Loss_795.6,True,795.64,794.883,9,4.966666666666667
370,37.838,0.344,8.491,29.35,797.054,Metal Loss,Internal,10.0,0.034,25.0,GENE,20.0,,,,10.4,5.0,4:54,INT ML ( ON SW ),8,N,N,5.97,210.834,04:56,0.0,CMFL,1025,65000,E.R. WELD,24,1454.8,2020.5,1483.5,2060.4,0.705,1.087,1.0,1.2,2022,Metal Loss_797.1,True,797.054,796.297,9,4.9
370,37.838,0.344,13.858,23.983,802.421,Metal Loss,Internal,12.0,0.041,27.0,AXGR,20.0,,,,14.0,1.1,4:47,INT ML ( NEAR SW ),8,N,N,5.97,211.358,04:56,0.838,CMFL,1025,65000,E.R. WELD,24,1427.8,1983.1,1405.9,1952.6,0.718,1.065,1.0,1.2,2022,Metal Loss_802.4,True,802.421,801.6640000000001,9,4.783333333333333
370,37.838,0.344,19.259,18.583,807.822,Metal Loss,Internal,16.0,0.055,31.0,GENE,20.0,,,,7.0,1.8,4:48,INT ML ( ON SW ),8,N,N,5.97,211.884,04:56,0.838,CMFL,1025,65000,E.R. WELD,24,1425.5,1979.8,1402.1,1947.3,0.719,1.065,1.0,1.2,2022,Metal Loss_807.8,True,807.822,807.065,9,4.8
370,37.838,0.344,25.784,12.054,814.35,Metal Loss,Internal,12.0,0.041,27.0,GENE,20.0,,,,10.2,1.3,4:51,INT ML ( ON SW ),8,N,N,5.97,212.521,04:56,0.419,CMFL,1025,65000,E.R. WELD,24,1438.9,1998.4,1418.8,1970.5,0.712,1.074,1.0,1.2,2022,Metal Loss_814.4,True,814.35,813.5930000000001,9,4.85
370,37.838,0.344,35.797,2.044,824.36,Metal Loss,Internal,10.0,0.034,25.0,GENE,20.0,,,,20.0,1.6,5:02,INT ML ( ON SW ),8,N,N,5.97,213.497,04:56,0.628,CMFL,1025,65000,E.R. WELD,24,1439.6,1999.5,1420.1,1972.3,0.712,1.075,1.0,1.2,2022,Metal Loss_824.4,True,824.36,823.6030000000001,9,5.033333333333333
400,40.092,0.344,25.374,14.715,932.083,Metal Loss,External,11.0,0.038,26.0,GENE,15.0,,,,8.2,2.4,6:07,*EXT ML,1,Y,Y,5.97,243.503,02:56,20.106,CMFL,1025,65000,E.R. WELD,24,1462.2,2030.9,1446.4,2008.9,0.701,1.088,0.8,1.0,2022,Metal Loss_932.1,True,932.083,931.326,-1,6.116666666666666
410,12.533,0.5,11.722,0.807,958.524,Metal Loss,External,23.0,0.115,38.0,GENE,20.0,,,,4.8,3.8,2:02,EXT ML,1,N,N,4.14,249.989,UNKN,,CMFL,1025,60000,E.R. WELD,24,1945.0,2701.3,1912.6,2656.4,0.527,1.081,1.0,1.2,2022,Metal Loss_958.5,True,958.524,957.767,10,2.033333333333333
420,29.659,0.344,0.666,28.993,959.997,Metal Loss,External,28.0,0.096,43.0,GENE,20.0,,,,15.0,7.2,3:20,EXT ML,1,N,N,5.97,250.338,09:52,31.416,CMFL,1025,65000,E.R. WELD,24,1259.3,1749.1,1362.9,1892.9,0.814,0.936,1.0,1.2,2022,Metal Loss_960.0,True,959.997,959.24,10,3.3333333333333335
480,40.256,0.344,28.694,11.562,1191.788,Metal Loss,Internal,13.0,0.044,28.0,GENE,20.0,,,,6.1,2.9,4:20,INT ML,12,N,N,5.97,314.412,02:48,10.053,CMFL,1025,65000,E.R. WELD,24,1459.3,2026.7,1525.4,2118.6,0.703,1.089,1.0,1.2,2022,Metal Loss_1191.8,True,1191.788,1191.031,11,4.333333333333333
480,40.256,0.344,30.256,10.0,1193.35,Metal Loss,Internal,14.0,0.048,29.0,AXGR,20.0,,,,3.3,0.9,4:27,INT ML,12,N,N,5.97,314.886,02:48,10.681,CMFL,1025,65000,E.R. WELD,24,1497.0,2079.2,1526.5,2120.2,0.685,1.115,0.6,1.2,2022,Metal Loss_1193.3,True,1193.35,1192.5929999999998,11,4.45
480,40.256,0.344,31.07,9.186,1194.163,Metal Loss,Internal,11.0,0.038,26.0,GENE,20.0,,,,2.3,1.9,4:31,INT ML,12,N,N,5.97,315.132,02:48,10.053,CMFL,1025,65000,E.R. WELD,24,1523.6,2116.1,1530.1,2125.1,0.673,1.135,1.0,1.2,2022,Metal Loss_1194.2,True,1194.163,1193.406,11,4.516666666666667
