joint_number,joint_length_ft,wall_thickness_in,dist_to_upstream_gw_ft,dist_to_downstream_gw_ft,distance_ft,feature_type,internal_external,depth_pct,depth_in,od_reduction_pct,od_reduction_in,anomaly_length_in,anomaly_width_in,clock_position,comments,Anomalies per Joint,Tool Velocity [ft/s],elevation_ft,Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),mop_psi,smys_psi,Seam Type,design_pressure_psi,B31G Psafe [PSI],B31G Pburst [PSI],safe_pressure_psi,burst_pressure_psi,Effective Area Psafe [PSI],Effective Area Pburst [PSI],erf,rpr,inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned,cluster_id,clock_hours
2960.0,,0.344,-27.99,12.21,10584.12,Metal Loss,External,12.0,0.041,,,1.02,1.73,6:13,,,0.7,153.42,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_10584.1,True,10584.12,10584.12,1,6.216666666666667
2960.0,,0.344,-28.06,12.13,10584.2,Metal Loss,External,10.0,0.034,,,0.79,1.5,4:33,,,0.7,153.42,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_10584.2,True,10584.2,10584.2,1,4.55
2960.0,,0.344,-28.07,12.13,10584.2,Metal Loss,External,13.0,0.045,,,0.59,0.98,5:41,,,0.7,153.42,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.91,2046.49,,,,,,,2015,Metal Loss_10584.2,True,10584.2,10584.2,1,5.683333333333334
2960.0,,0.344,-28.61,11.59,10584.75,Metal Loss,External,13.0,0.045,,,0.79,1.18,7:08,,,0.7,153.42,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.14,2044.03,,,,,,,2015,Metal Loss_10584.8,True,10584.75,10584.75,1,7.133333333333334
2960.0,,0.344,-30.43,9.77,10586.57,Cluster,External,33.0,0.114,,,1.8,3.5,4:20,,,0.7,153.41,,,,1160.0,65000.0,,1342.0,1424.42,1977.77,1487.55,2065.43,1490.25,2069.18,0.78,1.78,2015,Cluster_10586.6,True,10586.57,10586.57,1,4.333333333333333
2960.0,,0.344,-30.84,9.36,10586.97,Metal Loss,External,12.0,0.041,,,1.3,2.09,4:26,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_10587.0,True,10586.97,10586.97,1,4.433333333333334
2960.0,,0.344,-31.02,9.18,10587.15,Metal Loss,External,12.0,0.041,,,0.59,1.42,6:02,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_10587.1,True,10587.15,10587.15,1,6.033333333333333
2960.0,,0.344,-31.2,8.99,10587.34,Metal Loss,External,20.0,0.069,,,0.47,1.26,4:23,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.71,2046.21,1545.78,2146.28,1545.92,2146.48,0.75,1.85,2015,Metal Loss_10587.3,True,10587.34,10587.34,1,4.383333333333334
2960.0,,0.344,-31.42,8.78,10587.56,Metal Loss,External,13.0,0.045,,,0.55,0.98,4:35,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.18,2046.86,,,,,,,2015,Metal Loss_10587.6,True,10587.56,10587.56,1,4.583333333333333
2960.0,,0.344,-31.61,8.59,10587.75,Metal Loss,External,10.0,0.034,,,1.18,1.1,4:17,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_10587.8,True,10587.75,10587.75,1,4.283333333333333
2960.0,,0.344,-31.78,8.41,10587.92,Metal Loss,External,13.0,0.045,,,0.43,1.22,4:21,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.95,2047.93,,,,,,,2015,Metal Loss_10587.9,True,10587.92,10587.92,1,4.35
2960.0,,0.344,-31.84,8.36,10587.98,Metal Loss,External,22.0,0.076,,,1.18,2.21,4:16,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1460.62,2028.03,1531.04,2125.81,1532.23,2127.47,0.76,1.83,2015,Metal Loss_10588.0,True,10587.98,10587.98,1,4.266666666666667
2960.0,,0.344,-32.06,8.13,10588.2,Metal Loss,External,13.0,0.045,,,0.94,1.69,4:06,,,0.7,153.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1470.49,2041.74,,,,,,,2015,Metal Loss_10588.2,True,10588.2,10588.2,1,4.1
2960.0,,0.344,-32.33,7.87,10588.47,Cluster,External,45.0,0.155,,,1.85,2.37,4:14,,,0.7,153.4,,,,1160.0,65000.0,,1342.0,1396.33,1938.77,1450.57,2014.08,1450.79,2014.39,0.8,1.74,2015,Cluster_10588.5,True,10588.47,10588.47,1,4.233333333333333
2960.0,,0.344,-32.61,7.58,10588.75,Metal Loss,External,16.0,0.055,,,0.51,1.97,4:25,,,0.7,153.4,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.07,2046.71,,,,,,,2015,Metal Loss_10588.8,True,10588.75,10588.75,1,4.416666666666667
2960.0,,0.344,-32.76,7.44,10588.9,Metal Loss,External,19.0,0.065,,,0.47,0.91,4:30,,,0.7,153.4,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.97,2046.57,,,,,,,2015,Metal Loss_10588.9,True,10588.9,10588.9,1,4.5
2960.0,,0.344,-32.89,7.3,10589.03,Metal Loss,External,20.0,0.069,,,1.18,2.4,4:37,,,0.7,153.4,,MFL-A/XT,,1160.0,65000.0,,1342.0,1462.49,2030.63,1533.22,2128.84,1534.02,2129.95,0.76,1.84,2015,Metal Loss_10589.0,True,10589.03,10589.03,1,4.616666666666667
2960.0,,0.344,-33.3,6.9,10589.43,Metal Loss,External,10.0,0.034,,,1.65,2.21,5:52,,,0.7,153.4,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_10589.4,True,10589.43,10589.43,1,5.866666666666667
2960.0,,0.344,-39.2,0.99,10595.34,Metal Loss,External,13.0,0.045,,,0.47,1.02,6:32,Recoat,,0.7,153.39,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.74,2047.64,,,,,,,2015,Metal Loss_10595.3,True,10595.34,10595.34,1,6.533333333333333
2960.0,,0.344,-39.34,0.86,10595.48,Metal Loss,External,35.0,0.12,,,1.02,2.6,6:25,Recoat,,0.7,153.39,,MFL-A/XT,,1160.0,65000.0,,1342.0,1455.43,2020.83,1524.43,2116.63,1527.47,2120.86,0.76,1.82,2015,Metal Loss_10595.5,True,10595.48,10595.48,1,6.416666666666667
2960.0,,0.344,-39.35,0.85,10595.49,Metal Loss,External,50.0,0.172,,,0.67,2.17,3:47,Recoat,,0.7,153.39,,MFL-A/XT,,1160.0,65000.0,,1342.0,1460.73,2028.18,1529.6,2123.82,1532.8,2128.26,0.76,1.83,2015,Metal Loss_10595.5,True,10595.49,10595.49,1,3.783333333333333
2970.0,,0.344,-0.8,39.25,10597.14,Metal Loss,External,11.0,0.038,,,0.55,1.89,5:16,Recoat,,0.7,153.39,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_10597.1,True,10597.14,10597.14,1,5.266666666666667
3010.0,,0.344,-0.58,19.22,10755.92,Cluster,External,20.0,0.069,,,1.8,2.89,5:13,,,0.7,153.18,,,,1160.0,65000.0,,1342.0,1447.5,2009.81,1515.88,2104.76,1516.56,2105.71,0.77,1.81,2015,Cluster_10755.9,True,10755.92,10755.92,2,5.216666666666667
3010.0,,0.344,-1.01,18.79,10756.35,Metal Loss,External,10.0,0.034,,,0.75,1.46,3:58,,,0.7,153.17,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_10756.4,True,10756.35,10756.35,2,3.966666666666667
3090.0,,0.344,-4.29,35.71,11060.0,Metal Loss Manufacturing,,15.0,0.052,,,0.39,0.63,3:24,,,0.7,176.02,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss Manufacturing_11060.0,True,11060.0,11060.0,-1,3.4
3220.0,,0.344,-39.28,0.13,11615.85,Metal Loss,External,10.0,0.034,,,0.51,1.42,9:59,near girth weld,,1.0,220.81,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_11615.9,True,11615.85,11615.85,-1,9.983333333333333
3370.0,,0.344,-19.86,20.1,12195.91,Metal Loss,External,10.0,0.034,,,2.21,1.61,10:32,,,1.0,253.77,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_12195.9,True,12195.91,12195.91,-1,10.533333333333333
3430.0,,0.344,-17.57,22.34,12427.16,Metal Loss Manufacturing,,16.0,0.055,,,2.17,1.73,7:54,,,1.0,285.55,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss Manufacturing_12427.2,True,12427.16,12427.16,-1,7.9
3630.0,,0.344,-0.81,39.25,13155.91,Metal Loss,External,12.0,0.041,,,0.59,1.34,3:20,,,0.7,258.13,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_13155.9,True,13155.91,13155.91,3,3.3333333333333335
3630.0,,0.344,-0.83,39.22,13155.93,Metal Loss,External,24.0,0.083,,,1.61,3.7,7:07,,,0.7,258.13,,MFL-A/XT,,1160.0,65000.0,,1342.0,1447.05,2009.19,1515.24,2103.88,1517.93,2107.6,0.77,1.81,2015,Metal Loss_13155.9,True,13155.93,13155.93,3,7.116666666666666
3630.0,,0.344,-1.07,38.98,13156.18,Metal Loss,External,23.0,0.079,,,0.67,1.3,3:29,,,0.7,258.08,,MFL-A/XT,,1160.0,65000.0,,1342.0,1470.75,2042.1,1542.46,2141.67,1542.92,2142.31,0.75,1.85,2015,Metal Loss_13156.2,True,13156.18,13156.18,3,3.4833333333333334
3680.0,,0.344,-39.2,0.96,13394.44,Metal Loss,External,10.0,0.034,,,0.63,1.22,6:05,,,0.7,164.89,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_13394.4,True,13394.44,13394.44,4,6.083333333333333
3680.0,,0.344,-39.2,0.96,13394.44,Metal Loss,External,25.0,0.086,,,0.71,3.23,1:43,,,0.7,164.89,,MFL-A/XT,,1160.0,65000.0,,1342.0,1469.31,2040.1,1540.82,2139.39,1541.49,2140.32,0.75,1.84,2015,Metal Loss_13394.4,True,13394.44,13394.44,4,1.7166666666666668
3750.0,,0.344,-35.12,2.34,13645.56,Metal Loss,External,11.0,0.038,,,0.71,1.46,3:40,,,0.7,243.92,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_13645.6,True,13645.56,13645.56,5,3.6666666666666665
3750.0,,0.344,-35.3,2.16,13645.75,Metal Loss,External,16.0,0.055,,,0.55,1.02,5:19,,,0.7,243.92,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.66,2046.14,,,,,,,2015,Metal Loss_13645.8,True,13645.75,13645.75,5,5.316666666666666
3810.0,,0.344,-21.23,18.88,13852.54,Metal Loss,External,10.0,0.034,,,0.39,0.59,1:36,,,0.7,214.81,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_13852.5,True,13852.54,13852.54,6,1.6
3810.0,,0.344,-22.48,17.63,13853.79,Metal Loss,External,14.0,0.048,,,1.26,0.79,1:28,,,0.7,214.54,,MFL-A/XT,,1160.0,65000.0,,1342.0,1465.78,2035.2,,,,,,,2015,Metal Loss_13853.8,True,13853.79,13853.79,6,1.4666666666666668
3810.0,,0.344,-22.62,17.49,13853.93,Metal Loss,External,14.0,0.048,,,0.47,0.94,10:36,,,0.7,214.51,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.53,2047.35,,,,,,,2015,Metal Loss_13853.9,True,13853.93,13853.93,6,10.6
3850.0,,0.344,-39.07,1.01,14002.02,Metal Loss,External,12.0,0.041,,,0.51,1.26,6:45,,,1.0,197.37,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_14002.0,True,14002.02,14002.02,-1,6.75
4040.0,,0.344,-14.65,25.45,14630.88,Dent,,,,1.2,0.288,27.54,8.38,6:27,,,0.7,74.11,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Dent_14630.9,True,14630.88,14630.88,-1,6.45
4080.0,,0.344,-10.57,19.06,14751.62,Metal Loss,External,29.0,0.1,,,0.71,1.18,9:41,,,0.7,41.44,,MFL-A/XT,,1160.0,65000.0,,1342.0,1467.95,2038.22,1539.19,2137.13,1540.18,2138.5,0.75,1.84,2015,Metal Loss_14751.6,True,14751.62,14751.62,7,9.683333333333334
4080.0,,0.344,-10.79,18.83,14751.84,Metal Loss,External,29.0,0.1,,,0.83,1.38,9:40,,,0.7,41.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,1465.09,2034.24,1535.92,2132.59,1537.26,2134.44,0.76,1.84,2015,Metal Loss_14751.8,True,14751.84,14751.84,7,9.666666666666666
4080.0,,0.344,-12.05,17.57,14753.1,Metal Loss,External,19.0,0.065,,,0.67,1.1,2:35,,,0.7,41.27,,MFL-A/XT,,1160.0,65000.0,,1342.0,1471.68,2043.39,,,,,,,2015,Metal Loss_14753.1,True,14753.1,14753.1,7,2.5833333333333335
4080.0,,0.344,-12.31,17.32,14753.35,Cluster,External,16.0,0.055,,,1.64,1.17,2:37,,,0.7,41.25,,,,1160.0,65000.0,,1342.0,1456.91,2022.89,,,,,,,2015,Cluster_14753.4,True,14753.35,14753.35,7,2.6166666666666667
4080.0,,0.344,-12.6,17.02,14753.65,Metal Loss,External,22.0,0.076,,,0.98,1.38,2:36,,,0.7,41.22,,MFL-A/XT,,1160.0,65000.0,,1342.0,1465.16,2034.33,1536.2,2132.97,1537.04,2134.14,0.76,1.84,2015,Metal Loss_14753.6,True,14753.65,14753.65,7,2.6
4080.0,,0.344,-12.86,16.76,14753.91,Metal Loss,External,12.0,0.041,,,0.47,0.94,2:19,,,0.7,41.2,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_14753.9,True,14753.91,14753.91,7,2.3166666666666664
4080.0,,0.344,-13.93,15.69,14754.98,Metal Loss,External,12.0,0.041,,,2.21,1.18,9:48,,,0.7,41.09,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_14755.0,True,14754.98,14754.98,7,9.8
4080.0,,0.344,-16.52,13.1,14757.57,Metal Loss,External,11.0,0.038,,,0.94,2.01,9:29,,,0.7,40.9,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_14757.6,True,14757.57,14757.57,7,9.483333333333333
4140.0,,0.344,-7.02,12.17,14909.43,Metal Loss,External,11.0,0.038,,,0.67,1.18,2:22,,,1.0,40.26,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Metal Loss_14909.4,True,14909.43,14909.43,-1,2.3666666666666667
4150.0,,0.344,-10.59,25.78,14932.19,Metal Loss,External,27.0,0.093,,,0.55,1.3,1:18,,,0.7,41.6,,MFL-A/XT,,1160.0,65000.0,,1342.0,1471.53,2043.19,1543.28,2142.81,1543.8,2143.52,0.75,1.85,2015,Metal Loss_14932.2,True,14932.19,14932.19,8,1.3
4150.0,,0.344,-13.1,23.28,14934.69,Metal Loss,External,14.0,0.048,,,1.89,2.17,12:47,,,0.7,41.8,,MFL-A/XT,,1160.0,65000.0,,1342.0,1455.61,2021.08,,,,,,,2015,Metal Loss_14934.7,True,14934.69,14934.69,8,12.783333333333333
4150.0,,0.344,-23.54,12.84,14945.13,Metal Loss,External,36.0,0.124,,,0.59,1.26,1:04,,,0.7,42.43,,MFL-A/XT,,1160.0,65000.0,,1342.0,1468.62,2039.14,1539.77,2137.93,1540.91,2139.52,0.75,1.84,2015,Metal Loss_14945.1,True,14945.13,14945.13,9,1.0666666666666667
4150.0,,0.344,-23.73,12.64,14945.33,Metal Loss,External,44.0,0.151,,,0.71,1.38,1:18,,,0.7,42.43,,MFL-A/XT,,1160.0,65000.0,,1342.0,1461.98,2029.92,1531.57,2126.55,1534.16,2130.14,0.76,1.83,2015,Metal Loss_14945.3,True,14945.33,14945.33,9,1.3
4160.0,,0.5,-2.12,0.75,14960.09,Metal Loss,External,19.0,0.095,,,1.89,0.59,6:45,,,0.7,42.53,,MFL-A/XT,,1160.0,60000.0,,1800.0,1951.48,2710.39,,,,,,,2015,Metal Loss_14960.1,True,14960.09,14960.09,10,6.75
4160.0,,0.5,-2.7,0.17,14960.67,Metal Loss,External,10.0,0.05,,,0.75,3.19,4:46,near girth weld,,0.7,42.54,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Metal Loss_14960.7,True,14960.67,14960.67,10,4.766666666666667
4160.0,,0.5,-2.86,0.01,14960.83,Metal Loss,External,10.0,0.05,,,1.3,3.42,5:21,affecting girth weld,,0.7,42.54,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Metal Loss_14960.8,True,14960.83,14960.83,10,5.35
4160.01,,0.5,-0.03,7.4,14960.87,Metal Loss,External,24.0,0.12,,,1.02,0.59,5:14,affecting girth weld,,0.7,42.54,,MFL-A/XT,,1160.0,60000.0,,1800.0,1967.64,2732.84,2086.11,2897.37,2087.25,2898.96,0.56,2.5,2015,Metal Loss_14960.9,True,14960.87,14960.87,10,5.233333333333333
4160.01,,0.5,-0.43,7.0,14961.27,Metal Loss,External,13.0,0.065,,,1.26,1.42,4:46,,,0.7,42.54,,MFL-A/XT,,1160.0,60000.0,,1800.0,1970.83,2737.26,,,,,,,2015,Metal Loss_14961.3,True,14961.27,14961.27,10,4.766666666666667
4160.01,,0.5,-5.18,2.26,14966.01,Metal Loss,External,11.0,0.055,,,2.4,1.38,5:57,,,0.7,42.55,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Metal Loss_14966.0,True,14966.01,14966.01,10,5.95
4160.01,,0.5,-5.29,2.14,14966.13,Metal Loss,External,10.0,0.05,,,1.69,1.42,6:28,,,0.7,42.56,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Metal Loss_14966.1,True,14966.13,14966.13,10,6.466666666666667
4160.01,,0.5,-5.57,1.86,14966.41,Metal Loss,External,19.0,0.095,,,0.71,0.83,5:40,,,0.7,42.56,,MFL-A/XT,,1160.0,60000.0,,1800.0,1975.33,2743.51,,,,,,,2015,Metal Loss_14966.4,True,14966.41,14966.41,10,5.666666666666667
4160.01,,0.5,-5.71,1.72,14966.55,Metal Loss,External,13.0,0.065,,,0.59,0.71,5:47,,,0.7,42.56,,MFL-A/XT,,1160.0,60000.0,,1800.0,1977.87,2747.05,,,,,,,2015,Metal Loss_14966.5,True,14966.55,14966.55,10,5.783333333333333
4160.01,,0.5,-6.22,1.21,14967.06,Cluster,External,51.0,0.255,,,1.74,5.2,4:41,,,0.7,42.56,,,,1160.0,60000.0,,1800.0,1894.93,2631.84,1993.01,2768.07,2006.36,2786.6,0.58,2.39,2015,Cluster_14967.1,True,14967.06,14967.06,10,4.683333333333334
4160.01,,0.5,-6.65,0.78,14967.49,Metal Loss,External,19.0,0.095,,,1.69,1.5,5:01,,,0.7,42.56,,MFL-A/XT,,1160.0,60000.0,,1800.0,1956.27,2717.04,,,,,,,2015,Metal Loss_14967.5,True,14967.49,14967.49,10,5.016666666666667
4160.01,,0.5,-6.67,0.76,14967.51,Metal Loss,External,14.0,0.07,,,2.24,0.71,5:45,,,0.7,42.56,,MFL-A/XT,,1160.0,60000.0,,1800.0,1952.91,2712.38,,,,,,,2015,Metal Loss_14967.5,True,14967.51,14967.51,10,5.75
4160.01,,0.5,-7.09,0.35,14967.92,Cluster,External,24.0,0.12,,,2.7,3.1,5:49,near girth weld,,0.7,42.56,,,,1160.0,60000.0,,1800.0,1913.9,2658.2,2022.25,2808.69,2031.08,2820.94,0.57,2.42,2015,Cluster_14967.9,True,14967.92,14967.92,10,5.816666666666666
4160.01,,0.5,-7.22,0.21,14968.06,Metal Loss,External,10.0,0.05,,,0.79,1.53,7:36,near girth weld,,0.7,42.56,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Metal Loss_14968.1,True,14968.06,14968.06,10,7.6
4160.02,,0.5,-0.04,3.77,14968.31,Metal Loss,External,15.0,0.075,,,0.87,1.38,4:12,affecting girth weld,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,1974.74,2742.69,,,,,,,2015,Metal Loss_14968.3,True,14968.31,14968.31,10,4.2
4160.02,,0.5,-0.21,3.6,14968.48,Metal Loss,External,12.0,0.06,,,1.69,1.34,6:58,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Metal Loss_14968.5,True,14968.48,14968.48,10,6.966666666666667
4160.02,,0.5,-0.26,3.55,14968.53,Metal Loss,External,19.0,0.095,,,1.34,1.42,7:30,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,1964.25,2728.13,,,,,,,2015,Metal Loss_14968.5,True,14968.53,14968.53,10,7.5
4160.02,,0.5,-0.31,3.5,14968.58,Metal Loss,External,15.0,0.075,,,1.5,1.38,6:03,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,1965.26,2729.53,,,,,,,2015,Metal Loss_14968.6,True,14968.58,14968.58,10,6.05
4160.02,,0.5,-0.56,3.25,14968.83,Metal Loss,External,10.0,0.05,,,1.61,1.65,4:13,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Metal Loss_14968.8,True,14968.83,14968.83,10,4.216666666666667
4160.02,,0.5,-1.14,2.67,14969.41,Metal Loss,External,11.0,0.055,,,0.63,0.59,6:58,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Metal Loss_14969.4,True,14969.41,14969.41,10,6.966666666666667
4160.02,,0.5,-1.36,2.46,14969.63,Metal Loss,External,11.0,0.055,,,0.87,1.22,5:25,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Metal Loss_14969.6,True,14969.63,14969.63,10,5.416666666666667
4160.02,,0.5,-1.54,2.27,14969.81,Cluster,External,26.0,0.13,,,1.93,8.36,4:11,,,0.7,42.57,,,,1160.0,60000.0,,1800.0,1937.39,2690.82,2050.66,2848.14,2050.82,2848.37,0.57,2.46,2015,Cluster_14969.8,True,14969.81,14969.81,10,4.183333333333334
4160.02,,0.5,-1.74,2.07,14970.01,Metal Loss,External,15.0,0.075,,,1.02,0.94,6:47,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,1972.77,2739.96,,,,,,,2015,Metal Loss_14970.0,True,14970.01,14970.01,10,6.783333333333333
4160.02,,0.5,-1.85,1.96,14970.12,Metal Loss,External,11.0,0.055,,,1.46,2.99,4:03,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Metal Loss_14970.1,True,14970.12,14970.12,10,4.05
4160.02,,0.5,-1.9,1.91,14970.17,Metal Loss,External,14.0,0.07,,,1.58,1.18,4:46,,,0.7,42.57,,MFL-A/XT,,1160.0,60000.0,,1800.0,1965.15,2729.37,,,,,,,2015,Metal Loss_14970.2,True,14970.17,14970.17,10,4.766666666666667
4160.02,,0.5,-2.3,1.51,14970.57,Metal Loss,External,10.0,0.05,,,1.3,2.87,4:51,,,0.7,42.58,,MFL-A/XT,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Metal Loss_14970.6,True,14970.57,14970.57,10,4.85
4160.02,,0.5,-2.31,1.5,14970.58,Metal Loss,External,22.0,0.11,,,1.14,1.34,4:09,,,0.7,42.58,,MFL-A/XT,,1160.0,60000.0,,1800.0,1966.25,2730.9,2084.58,2895.25,2085.64,2896.73,0.56,2.5,2015,Metal Loss_14970.6,True,14970.58,14970.58,10,4.15
