joint_number,joint_length_ft,wall_thickness_in,dist_to_upstream_gw_ft,dist_to_downstream_gw_ft,distance_ft,feature_type,internal_external,depth_pct,depth_in,od_reduction_pct,od_reduction_in,anomaly_length_in,anomaly_width_in,clock_position,comments,Anomalies per Joint,Tool Velocity [ft/s],elevation_ft,Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),mop_psi,smys_psi,Seam Type,design_pressure_psi,B31G Psafe [PSI],B31G Pburst [PSI],safe_pressure_psi,burst_pressure_psi,Effective Area Psafe [PSI],Effective Area Pburst [PSI],erf,rpr,inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned
90.0,31.6,0.344,,,144.02,Girth Weld,,,,,,,,nan,,,0.7,205.65,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_144.0,False,144.02,144.02
100.0,40.08,0.344,,,175.63,Girth Weld,,,,,,,,nan,,,0.7,193.0,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_175.6,False,175.63,175.63
110.0,40.16,0.344,,,215.7,Girth Weld,,,,,,,,nan,,,0.7,176.75,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_215.7,False,215.7,215.7
120.0,13.14,0.5,,,255.86,Girth Weld,,,,,,,,nan,,,0.7,160.33,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_255.9,False,255.86,255.86
120.0,,,,,262.71,Bend,,,,,,,,nan,6.3D -  37Â° - Left,,,157.57,,,,,,,,,,,,,,,,2015,Bend_262.7,False,262.71,262.71
130.0,40.49,0.344,,,269.0,Girth Weld,,,,,,,,nan,,,0.7,156.83,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_269.0,False,269.0,269.0
140.0,40.16,0.344,,,309.49,Girth Weld,,,,,,,,nan,,,0.7,152.92,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_309.5,False,309.49,309.49
150.0,9.68,0.5,,,349.65,Girth Weld,,,,,,,,nan,,,0.7,155.83,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_349.6,False,349.65,349.65
150.0,,,,,354.84,Bend,,,,,,,,nan,5.7D -  26Â° - Right,,,156.07,,,,,,,,,,,,,,,,2015,Bend_354.8,False,354.84,354.84
160.0,17.58,0.344,,,359.33,Girth Weld,,,,,,,,nan,,,0.7,156.23,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_359.3,False,359.33,359.33
170.0,7.61,0.5,,,376.91,Girth Weld,,,,,,,,nan,,,0.7,157.27,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_376.9,False,376.91,376.91
170.0,,,,,381.04,Bend,,,,,,,,nan,6.0D -  18Â° - Sag,,,157.85,,,,,,,,,,,,,,,,2015,Bend_381.0,False,381.04,381.04
180.0,23.34,0.344,,,384.52,Girth Weld,,,,,,,,nan,,,0.7,158.5,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_384.5,False,384.52,384.52
190.0,9.48,0.5,,,407.86,Girth Weld,,,,,,,,nan,,,0.7,164.67,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_407.9,False,407.86,407.86
190.0,,,,,413.15,Bend,,,,,,,,nan,5.8D -  25Â° - Sag,,,166.59,,,,,,,,,,,,,,,,2015,Bend_413.1,False,413.15,413.15
200.0,12.61,0.344,,,417.34,Girth Weld,,,,,,,,nan,,,0.7,168.31,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_417.3,False,417.34,417.34
210.0,8.8,0.5,,,429.95,Girth Weld,,,,,,,,nan,,,0.7,174.49,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_429.9,False,429.95,429.95
210.0,,,,,434.43,Bend,,,,,,,,nan,5.2D -  25Â° - Over,,,175.44,,,,,,,,,,,,,,,,2015,Bend_434.4,False,434.43,434.43
210.01,7.51,0.344,,,438.75,Girth Weld,,,,,,,,nan,,,0.7,175.62,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_438.8,False,438.75,438.75
220.0,40.04,0.344,,,446.26,Girth Weld,,,,,,,,nan,,,0.7,178.3,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_446.3,False,446.26,446.26
230.0,39.85,0.344,,,486.3,Girth Weld,,,,,,,,nan,,,0.7,187.27,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_486.3,False,486.3,486.3
240.0,39.97,0.344,,,526.15,Girth Weld,,,,,,,,nan,,,0.7,190.39,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_526.1,False,526.15,526.15
250.0,39.99,0.344,,,566.12,Girth Weld,,,,,,,,nan,,,0.7,193.62,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_566.1,False,566.12,566.12
260.0,31.41,0.344,,,606.11,Girth Weld,,,,,,,,nan,,,0.7,196.65,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_606.1,False,606.11,606.11
270.0,9.27,0.5,,,637.51,Girth Weld,,,,,,,,nan,,,0.7,198.77,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_637.5,False,637.51,637.51
270.0,,,,,642.47,Bend,,,,,,,,nan,5.5D -  24Â° - Over,,,199.1,,,,,,,,,,,,,,,,2015,Bend_642.5,False,642.47,642.47
280.0,8.1,0.5,,,646.78,Girth Weld,,,,,,,,nan,,,0.7,199.39,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_646.8,False,646.78,646.78
280.0,,,,,651.2,Bend,,,,,,,,nan,5.9D -  18Â° - Left,,,199.69,,,,,,,,,,,,,,,,2015,Bend_651.2,False,651.2,651.2
290.0,15.46,0.344,,,654.88,Girth Weld,,,,,,,,nan,,,0.7,199.94,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_654.9,False,654.88,654.88
300.0,7.65,0.5,,,670.33,Girth Weld,,,,,,,,nan,,,0.7,201.0,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_670.3,False,670.33,670.33
300.0,,,,,674.44,Bend,,,,,,,,nan,5.6D -  20Â° - Sag,,,201.29,,,,,,,,,,,,,,,,2015,Bend_674.4,False,674.44,674.44
310.0,8.94,0.344,,,677.99,Girth Weld,,,,,,,,nan,,,0.7,201.54,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_678.0,False,677.99,677.99
320.0,10.36,0.344,,,686.92,Girth Weld,,,,,,,,nan,,,0.7,202.2,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_686.9,False,686.92,686.92
330.0,39.98,0.344,,,697.29,Girth Weld,,,,,,,,nan,,,0.7,203.0,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_697.3,False,697.29,697.29
340.0,10.68,0.5,,,737.27,Girth Weld,,,,,,,,nan,,,0.7,206.23,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_737.3,False,737.27,737.27
340.0,,,,,742.69,Bend,,,,,,,,nan,5.8D -  28Â° - Left,,,206.68,,,,,,,,,,,,,,,,2015,Bend_742.7,False,742.69,742.69
350.0,6.28,0.344,,,747.95,Girth Weld,,,,,,,,nan,,,0.7,207.12,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_748.0,False,747.95,747.95
360.0,30.55,0.344,,,754.23,Girth Weld,,,,,,,,nan,,,0.7,207.65,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_754.2,False,754.23,754.23
370.0,37.86,0.344,,,784.79,Girth Weld,,,,,,,,nan,,,0.7,210.25,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_784.8,False,784.79,784.79
380.0,40.06,0.344,,,822.65,Girth Weld,,,,,,,,nan,,,0.7,213.94,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_822.6,False,822.65,822.65
390.0,40.04,0.344,,,862.71,Girth Weld,,,,,,,,nan,,,0.7,225.41,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_862.7,False,862.71,862.71
400.0,40.15,0.344,,,902.75,Girth Weld,,,,,,,,nan,,,0.7,237.79,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_902.8,False,902.75,902.75
410.0,11.86,0.5,,,942.9,Girth Weld,,,,,,,,nan,,,0.7,247.8,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_942.9,False,942.9,942.9
410.0,,,,,949.14,Bend,,,,,,,,nan,5.9D -  33Â° - Right,,,249.36,,,,,,,,,,,,,,,,2015,Bend_949.1,False,949.14,949.14
420.0,30.08,0.344,,,954.76,Girth Weld,,,,,,,,nan,,,0.7,250.77,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_954.8,False,954.76,954.76
430.0,13.2,0.5,,,984.83,Girth Weld,,,,,,,,nan,,,0.7,258.59,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_984.8,False,984.83,984.83
430.0,,,,,991.56,Bend,,,,,,,,nan,6.1D -  37Â° - Right,,,260.42,,,,,,,,,,,,,,,,2015,Bend_991.6,False,991.56,991.56
440.0,40.32,0.344,,,998.04,Girth Weld,,,,,,,,nan,,,0.7,262.18,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_998.0,False,998.04,998.04
450.0,40.05,0.344,,,1038.36,Girth Weld,,,,,,,,nan,,,0.7,273.12,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1038.4,False,1038.36,1038.36
460.0,40.09,0.344,,,1078.41,Girth Weld,,,,,,,,nan,,,0.7,284.09,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1078.4,False,1078.41,1078.41
470.0,40.09,0.344,,,1118.5,Girth Weld,,,,,,,,nan,,,0.7,295.19,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1118.5,False,1118.5,1118.5
480.0,40.14,0.344,,,1158.59,Girth Weld,,,,,,,,nan,,,0.7,306.46,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1158.6,False,1158.59,1158.59
490.0,40.13,0.344,,,1198.74,Girth Weld,,,,,,,,nan,,,0.7,318.68,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1198.7,False,1198.74,1198.74
500.0,40.13,0.344,,,1238.87,Girth Weld,,,,,,,,nan,,,0.7,330.91,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1238.9,False,1238.87,1238.87
510.0,40.13,0.344,,,1279.0,Girth Weld,,,,,,,,nan,,,0.7,343.6,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1279.0,False,1279.0,1279.0
520.0,40.13,0.344,,,1319.13,Girth Weld,,,,,,,,nan,,,0.7,358.13,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1319.1,False,1319.13,1319.13
530.0,40.07,0.344,,,1359.26,Girth Weld,,,,,,,,nan,,,0.7,372.83,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1359.3,False,1359.26,1359.26
540.0,40.08,0.344,,,1399.33,Girth Weld,,,,,,,,nan,,,0.7,387.41,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1399.3,False,1399.33,1399.33
550.0,35.11,0.344,,,1439.41,Girth Weld,,,,,,,,nan,,,0.7,402.08,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1439.4,False,1439.41,1439.41
560.0,40.08,0.344,,,1474.52,Girth Weld,,,,,,,,nan,,,0.7,414.89,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1474.5,False,1474.52,1474.52
570.0,40.07,0.344,,,1514.6,Girth Weld,,,,,,,,nan,,,0.7,429.58,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1514.6,False,1514.6,1514.6
580.0,40.01,0.344,,,1554.67,Girth Weld,,,,,,,,nan,,,0.7,444.49,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1554.7,False,1554.67,1554.67
590.0,39.97,0.344,,,1594.69,Girth Weld,,,,,,,,nan,,,0.7,459.42,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1594.7,False,1594.69,1594.69
600.0,40.02,0.344,,,1634.65,Girth Weld,,,,,,,,nan,,,0.7,473.32,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1634.7,False,1634.65,1634.65
610.0,39.99,0.344,,,1674.68,Girth Weld,,,,,,,,nan,,,0.7,486.96,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1674.7,False,1674.68,1674.68
620.0,39.95,0.344,,,1714.66,Girth Weld,,,,,,,,nan,,,0.7,500.45,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1714.7,False,1714.66,1714.66
630.0,40.06,0.344,,,1754.61,Girth Weld,,,,,,,,nan,,,0.7,513.7,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1754.6,False,1754.61,1754.61
640.0,27.03,0.344,,,1794.68,Girth Weld,,,,,,,,nan,,,0.7,526.68,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1794.7,False,1794.68,1794.68
650.0,40.04,0.344,,,1821.71,Girth Weld,,,,,,,,nan,,,0.7,535.38,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1821.7,False,1821.71,1821.71
660.0,39.95,0.344,,,1861.75,Girth Weld,,,,,,,,nan,,,0.7,548.18,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1861.8,False,1861.75,1861.75
670.0,38.86,0.344,,,1901.7,Girth Weld,,,,,,,,nan,,,0.7,560.99,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1901.7,False,1901.7,1901.7
680.0,40.06,0.344,,,1940.56,Girth Weld,,,,,,,,nan,,,0.7,573.53,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1940.6,False,1940.56,1940.56
690.0,40.1,0.344,,,1980.62,Girth Weld,,,,,,,,nan,,,0.7,586.43,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_1980.6,False,1980.62,1980.62
700.0,40.09,0.344,,,2020.72,Girth Weld,,,,,,,,nan,,,0.7,599.1,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2020.7,False,2020.72,2020.72
710.0,40.1,0.344,,,2060.81,Girth Weld,,,,,,,,nan,,,0.7,611.05,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2060.8,False,2060.81,2060.81
720.0,39.99,0.344,,,2100.91,Girth Weld,,,,,,,,nan,,,0.7,622.83,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2100.9,False,2100.91,2100.91
730.0,40.04,0.344,,,2140.9,Girth Weld,,,,,,,,nan,,,0.7,634.75,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2140.9,False,2140.9,2140.9
740.0,40.06,0.344,,,2180.93,Girth Weld,,,,,,,,nan,,,0.7,646.82,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2180.9,False,2180.93,2180.93
750.0,39.84,0.344,,,2220.99,Girth Weld,,,,,,,,nan,,,0.7,658.65,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2221.0,False,2220.99,2220.99
760.0,40.04,0.344,,,2260.83,Girth Weld,,,,,,,,nan,,,0.7,669.33,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2260.8,False,2260.83,2260.83
770.0,10.4,0.344,,,2300.87,Girth Weld,,,,,,,,nan,,,0.7,679.82,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2300.9,False,2300.87,2300.87
780.0,40.08,0.344,,,2311.27,Girth Weld,,,,,,,,nan,,,0.7,682.54,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2311.3,False,2311.27,2311.27
790.0,14.53,0.5,,,2351.35,Girth Weld,,,,,,,,nan,,,0.7,691.71,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_2351.3,False,2351.35,2351.35
790.0,,,,,2358.82,Bend,,,,,,,,nan,6.3D -  43Â° - Left,,,693.21,,,,,,,,,,,,,,,,2015,Bend_2358.8,False,2358.82,2358.82
800.0,23.93,0.344,,,2365.88,Girth Weld,,,,,,,,nan,,,0.7,694.62,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2365.9,False,2365.88,2365.88
810.0,40.04,0.344,,,2389.82,Girth Weld,,,,,,,,nan,,,0.7,699.35,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2389.8,False,2389.82,2389.82
820.0,40.0,0.344,,,2429.86,Girth Weld,,,,,,,,nan,,,0.7,707.12,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2429.9,False,2429.86,2429.86
830.0,40.06,0.344,,,2469.86,Girth Weld,,,,,,,,nan,,,0.7,714.69,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2469.9,False,2469.86,2469.86
840.0,40.04,0.344,,,2509.92,Girth Weld,,,,,,,,nan,,,0.7,721.82,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2509.9,False,2509.92,2509.92
850.0,40.06,0.344,,,2549.96,Girth Weld,,,,,,,,nan,,,0.7,727.32,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2550.0,False,2549.96,2549.96
860.0,40.06,0.344,,,2590.02,Girth Weld,,,,,,,,nan,,,0.7,732.65,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2590.0,False,2590.02,2590.02
870.0,40.03,0.344,,,2630.08,Girth Weld,,,,,,,,nan,,,0.7,736.68,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2630.1,False,2630.08,2630.08
880.0,40.05,0.344,,,2670.11,Girth Weld,,,,,,,,nan,,,0.7,740.05,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2670.1,False,2670.11,2670.11
890.0,40.1,0.344,,,2710.16,Girth Weld,,,,,,,,nan,,,0.7,743.11,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2710.2,False,2710.16,2710.16
900.0,40.09,0.344,,,2750.26,Girth Weld,,,,,,,,nan,,,0.7,745.9,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2750.3,False,2750.26,2750.26
910.0,40.08,0.344,,,2790.34,Girth Weld,,,,,,,,nan,,,0.7,746.85,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2790.3,False,2790.34,2790.34
920.0,40.11,0.344,,,2830.42,Girth Weld,,,,,,,,nan,,,0.7,747.57,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2830.4,False,2830.42,2830.42
930.0,8.06,0.5,,,2870.53,Girth Weld,,,,,,,,nan,,,0.7,748.21,,,,1160.0,60000.0,,1800.0,,,,,,,,,2015,Girth Weld_2870.5,False,2870.53,2870.53
930.0,,,,,2874.78,Bend,,,,,,,,nan,5.4D -  19Â° - Left,,,748.27,,,,,,,,,,,,,,,,2015,Bend_2874.8,False,2874.78,2874.78
940.0,31.2,0.344,,,2878.59,Girth Weld,,,,,,,,nan,,,0.7,748.32,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2878.6,False,2878.59,2878.59
950.0,39.98,0.344,,,2909.79,Girth Weld,,,,,,,,nan,,,0.7,748.63,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2909.8,False,2909.79,2909.79
960.0,40.03,0.344,,,2949.78,Girth Weld,,,,,,,,nan,,,0.7,748.95,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2949.8,False,2949.78,2949.78
970.0,39.77,0.344,,,2989.81,Girth Weld,,,,,,,,nan,,,0.7,749.59,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_2989.8,False,2989.81,2989.81
980.0,40.04,0.344,,,3029.58,Girth Weld,,,,,,,,nan,,,0.7,750.63,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_3029.6,False,3029.58,3029.58
980.0,,,,,3036.06,Above Ground Marker,,,,,,,,nan,AGM#1 AT PLM/ ON ROW,,,750.84,,,,,,,,,,,,,,,,2015,Above Ground Marker_3036.1,False,3036.06,3036.06
990.0,39.99,0.344,,,3069.62,Girth Weld,,,,,,,,nan,,,0.7,749.09,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_3069.6,False,3069.62,3069.62
990.0,,,,,3075.49,Tap,,,,,,,,12:00,,,,748.83,,,,,,,,,,,,,,,,2015,Tap_3075.5,False,3075.49,3075.49
1000.0,38.46,0.344,,,3109.62,Girth Weld,,,,,,,,nan,,,0.7,747.44,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_3109.6,False,3109.62,3109.62
1010.0,40.08,0.344,,,3148.08,Girth Weld,,,,,,,,nan,,,0.7,746.61,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_3148.1,False,3148.08,3148.08
1020.0,40.11,0.344,,,3188.15,Girth Weld,,,,,,,,nan,,,0.7,746.43,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_3188.2,False,3188.15,3188.15
1030.0,40.04,0.344,,,3228.27,Girth Weld,,,,,,,,nan,,,0.7,748.43,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_3228.3,False,3228.27,3228.27
1040.0,40.08,0.344,,,3268.31,Girth Weld,,,,,,,,nan,,,0.7,751.21,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_3268.3,False,3268.31,3268.31
1050.0,40.07,0.344,,,3308.39,Girth Weld,,,,,,,,nan,,,0.7,754.31,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_3308.4,False,3308.39,3308.39
1060.0,40.07,0.344,,,3348.46,Girth Weld,,,,,,,,nan,,,0.7,757.75,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_3348.5,False,3348.46,3348.46
1070.0,40.1,0.344,,,3388.53,Girth Weld,,,,,,,,nan,,,0.7,761.36,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_3388.5,False,3388.53,3388.53
1080.0,40.04,0.344,,,3428.63,Girth Weld,,,,,,,,nan,,,0.7,765.38,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_3428.6,False,3428.63,3428.63
1090.0,40.09,0.344,,,3468.67,Girth Weld,,,,,,,,nan,,,0.7,769.55,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_3468.7,False,3468.67,3468.67
1100.0,40.11,0.344,,,3508.76,Girth Weld,,,,,,,,nan,,,0.7,773.5,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_3508.8,False,3508.76,3508.76
1110.0,39.99,0.344,,,3548.87,Girth Weld,,,,,,,,nan,,,0.7,776.91,,,,1160.0,65000.0,,1342.0,,,,,,,,,2015,Girth Weld_3548.9,False,3548.87,3548.87
