joint_number,joint_length_ft,wall_thickness_in,dist_to_upstream_gw_ft,distance_ft,Height[ft],feature_type,depth_pct,id_reduction_pct,anomaly_length_in,anomaly_width_in,burst_pressure_psi,clock_position,internal_external,comments,inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned
,,,,107.46,799.493,Bend,,,,,,nan,,5.2D - 22Â° - Over,2007,Bend_107.5,False,107.46,107.8400000000001
,,0.344,-21.69,125.12,797.4828,Cluster,16.0,,3.55,2.64,,9:04,NO,,2007,Cluster_125.1,True,125.12,125.50000000000011
,,0.344,-24.15,127.58,797.199,Cluster,18.0,,2.0,3.44,,5:50,NO,,2007,Cluster_127.6,True,127.58,127.96000000000011
80.0,15.16,0.344,,128.45,797.0989,Girth Weld,,,,,,nan,,,2007,Girth Weld_128.4,False,128.45,128.8300000000001
90.0,31.57,0.344,,143.61,795.3491,Girth Weld,,,,,,nan,,,2007,Girth Weld_143.6,False,143.61,143.99000000000012
100.0,40.06,0.344,,175.18,791.6757,Girth Weld,,,,,,nan,,,2007,Girth Weld_175.2,False,175.18,175.56000000000012
110.0,40.04,0.344,,215.24,787.0014,Girth Weld,,,,,,nan,,,2007,Girth Weld_215.2,False,215.24,215.62000000000012
120.0,13.63,0.5,,255.28,782.303,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_255.3,False,255.28,255.6600000000001
,,,,262.31,781.775,Bend,,,,,,nan,,5.2D - 42Â° - Left,2007,Bend_262.3,False,262.31,262.6900000000001
130.0,40.08,0.344,,268.91,781.7673,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_268.9,False,268.91,269.29000000000013
140.0,40.03,0.344,,308.99,781.9334,Girth Weld,,,,,,nan,,,2007,Girth Weld_309.0,False,308.99,309.3700000000001
150.0,10.13,0.5,,349.02,781.8892,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_349.0,False,349.02,349.4000000000001
,,,,354.08,781.6514,Bend,,,,,,nan,,5.1D - 28Â° - Right,2007,Bend_354.1,False,354.08,354.4600000000001
160.0,16.99,0.344,,359.15,781.1295,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_359.1,False,359.15,359.5300000000001
170.0,8.13,0.5,,376.14,779.2908,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_376.1,False,376.14,376.5200000000001
,,,,379.98,779.0196,Bend,,,,,,nan,,5.7D - 18Â° - Sag,2007,Bend_380.0,False,379.98,380.3600000000001
180.0,23.07,0.344,,384.27,779.0088,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_384.3,False,384.27,384.6500000000001
190.0,10.09,0.5,,407.34,779.0063,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_407.3,False,407.34,407.7200000000001
,,,,412.26,779.2817,Bend,,,,,,nan,,5.3D - 25Â° - Sag,2007,Bend_412.3,False,412.26,412.6400000000001
200.0,12.15,0.344,,417.43,780.0987,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_417.4,False,417.43,417.8100000000001
210.0,16.42,0.5,,429.59,782.1364,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_429.6,False,429.59,429.9700000000001
,,,,434.06,782.6746,Bend,,,,,,nan,,5.4D - 33Â° - Over,2007,Bend_434.1,False,434.06,434.4400000000001
220.0,40.0,0.344,,446.01,783.0711,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_446.0,False,446.01,446.3900000000001
230.0,40.14,0.344,,486.01,783.967,Girth Weld,,,,,,nan,,,2007,Girth Weld_486.0,False,486.01,486.3900000000001
240.0,40.27,0.344,,526.15,786.286,Girth Weld,,,,,,nan,,,2007,Girth Weld_526.1,False,526.15,526.5300000000001
250.0,40.04,0.344,,566.41,790.952,Girth Weld,,,,,,nan,,,2007,Girth Weld_566.4,False,566.41,566.7900000000001
,,0.344,-39.17,605.58,797.0721,Cluster,10.0,,0.86,2.41,,9:48,NO,,2007,Cluster_605.6,True,605.58,605.9600000000002
260.0,31.32,0.344,,606.45,797.2095,Girth Weld,,,,,,nan,,,2007,Girth Weld_606.5,False,606.45,606.8300000000002
,,0.344,-30.35,636.8,802.0368,Cluster,15.0,,1.85,8.94,,4:38,NO,,2007,Cluster_636.8,True,636.8,637.1800000000001
270.0,9.63,0.5,,637.77,802.1902,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_637.8,False,637.77,638.1500000000001
,,,,642.57,802.7909,Bend,,,,,,nan,,5.0D - 25Â° - Over,2007,Bend_642.6,False,642.57,642.9500000000002
280.0,8.01,0.5,,647.4,802.9092,Girth Weld,,,,,,nan,,,2007,Girth Weld_647.4,False,647.4,647.7800000000001
,,,,651.09,802.9466,Bend,,,,,,nan,,6.0D - 19Â° - Left,2007,Bend_651.1,False,651.09,651.4700000000001
290.0,15.08,0.344,,655.41,803.0308,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_655.4,False,655.41,655.7900000000001
,,0.344,-13.32,668.73,803.305,Cluster,21.0,,4.67,10.14,1.74,1:34,NO,,2007,Cluster_668.7,True,668.73,669.1100000000001
,,0.344,-13.41,668.81,803.3067,Metal Loss,40.0,,1.02,0.94,1.85,9:38,NO,,2007,Metal Loss_668.8,True,668.81,669.19
300.0,7.87,0.5,,670.49,803.3409,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_670.5,False,670.49,670.8700000000001
,,,,674.53,803.4976,Bend,,,,,,nan,,6.6D - 18Â° - Sag,2007,Bend_674.5,False,674.53,674.9100000000001
310.0,8.75,0.344,,678.36,803.9424,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_678.4,False,678.36,678.7400000000001
,,0.344,-0.86,679.22,804.051,Metal Loss,25.0,,2.36,1.3,1.81,8:16,NO,,2007,Metal Loss_679.2,True,679.22,679.6000000000001
,,0.344,-0.92,679.28,804.058,Metal Loss,15.0,,1.61,5.95,,8:50,NO,,2007,Metal Loss_679.3,True,679.28,679.6600000000001
320.0,10.37,0.344,,687.11,805.0548,Girth Weld,,,,,,nan,,,2007,Girth Weld_687.1,False,687.11,687.4900000000001
330.0,39.97,0.344,,697.49,806.3648,Girth Weld,,,,,,nan,,,2007,Girth Weld_697.5,False,697.49,697.8700000000001
340.0,11.29,0.5,,737.46,811.3765,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_737.5,False,737.46,737.8400000000001
,,,,743.36,812.0506,Bend,,,,,,nan,,5.3D - 31Â° - Left,2007,Bend_743.4,False,743.36,743.7400000000001
350.0,6.0,0.344,,748.75,812.4028,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_748.8,False,748.75,749.1300000000001
360.0,30.57,0.344,,754.75,812.7252,Girth Weld,,,,,,nan,,,2007,Girth Weld_754.8,False,754.75,755.1300000000001
370.0,37.86,0.344,,785.32,814.0967,Girth Weld,,,,,,nan,,,2007,Girth Weld_785.3,False,785.32,785.7000000000002
380.0,40.01,0.344,,823.17,815.3422,Girth Weld,,,,,,nan,,,2007,Girth Weld_823.2,False,823.17,823.5500000000001
390.0,40.04,0.344,,863.19,816.5633,Girth Weld,,,,,,nan,,,2007,Girth Weld_863.2,False,863.19,863.5700000000002
400.0,40.08,0.344,,903.23,817.9138,Girth Weld,,,,,,nan,,,2007,Girth Weld_903.2,False,903.23,903.6100000000001
410.0,12.47,0.5,,943.31,819.4339,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_943.3,False,943.31,943.69
,,,,949.2,819.7213,Bend,,,,,,nan,,7.1D - 33Â° - Right,2007,Bend_949.2,False,949.2,949.5800000000002
420.0,29.6,0.344,,955.78,820.3454,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_955.8,False,955.78,956.1600000000001
,,0.344,-1.56,957.34,820.5215,Cluster,28.0,,3.46,3.33,1.74,4:17,NO,,2007,Cluster_957.3,True,957.34,957.7200000000001
,,0.344,-1.77,957.56,820.5458,Metal Loss,17.0,,1.14,1.14,,3:44,NO,,2007,Metal Loss_957.6,True,957.56,957.94
430.0,13.88,0.5,,985.38,823.7079,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_985.4,False,985.38,985.7600000000001
,,,,992.14,824.4797,Bend,,,,,,nan,,6.2D - 38Â° - Right,2007,Bend_992.1,False,992.14,992.5200000000001
440.0,40.04,0.344,,999.26,825.2617,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_999.3,False,999.26,999.6400000000001
450.0,39.96,0.344,,1039.3,828.7596,Girth Weld,,,,,,nan,,,2007,Girth Weld_1039.3,False,1039.3,1039.68
,,0.344,-32.37,1071.67,831.4453,Metal Loss-Manufacturing Anomaly,18.0,,0.67,0.83,,12:19,,,2007,Metal Loss-Manufacturing Anomaly_1071.7,True,1071.67,1072.0500000000002
460.0,39.98,0.344,,1079.26,832.0774,Girth Weld,,,,,,nan,,,2007,Girth Weld_1079.3,False,1079.26,1079.64
470.0,39.99,0.344,,1119.24,835.498,Girth Weld,,,,,,nan,,,2007,Girth Weld_1119.2,False,1119.24,1119.6200000000001
480.0,40.04,0.344,,1159.23,839.1296,Girth Weld,,,,,,nan,,,2007,Girth Weld_1159.2,False,1159.23,1159.6100000000001
,,0.344,-38.85,1198.08,842.8628,Cluster,13.0,,4.9,1.11,,4:10,YES,,2007,Cluster_1198.1,True,1198.08,1198.46
490.0,39.97,0.344,,1199.28,842.9833,Girth Weld,,,,,,nan,,,2007,Girth Weld_1199.3,False,1199.28,1199.66
,,0.344,-5.26,1204.54,843.5122,Cluster,13.0,,8.21,5.13,,3:56,YES,,2007,Cluster_1204.5,True,1204.54,1204.92
,,0.344,-27.45,1226.73,845.7444,Cluster,10.0,,2.05,0.73,,7:51,YES,,2007,Cluster_1226.7,True,1226.73,1227.1100000000001
,,0.344,-32.07,1231.34,846.2109,Cluster,10.0,,4.49,4.88,,3:44,YES,,2007,Cluster_1231.3,True,1231.34,1231.72
,,0.344,-38.85,1238.12,846.9762,Cluster,10.0,,0.97,1.78,,7:51,YES,,2007,Cluster_1238.1,True,1238.12,1238.5
500.0,39.98,0.344,,1239.25,847.1082,Girth Weld,,,,,,nan,,,2007,Girth Weld_1239.2,False,1239.25,1239.63
,,0.344,-0.16,1239.41,847.1265,Cluster,11.0,,0.94,3.88,,3:45,YES,,2007,Cluster_1239.4,True,1239.41,1239.7900000000002
,,0.344,-3.37,1242.62,847.502,Cluster,11.0,,8.17,5.95,,3:31,YES,,2007,Cluster_1242.6,True,1242.62,1243.0
,,0.344,-13.67,1252.92,848.7088,Cluster,10.0,,5.48,5.26,,7:41,YES,,2007,Cluster_1252.9,True,1252.92,1253.3000000000002
,,0.344,-17.53,1256.78,849.1625,Cluster,10.0,,1.02,2.2,,3:35,YES,,2007,Cluster_1256.8,True,1256.78,1257.16
,,0.344,-23.45,1262.7,849.8628,Cluster,11.0,,25.08,6.14,,7:45,YES,,2007,Cluster_1262.7,True,1262.7,1263.0800000000002
,,0.344,-25.02,1264.27,850.0493,Metal Loss,10.0,,0.47,0.59,,3:17,YES,,2007,Metal Loss_1264.3,True,1264.27,1264.65
,,0.344,-26.64,1265.9,850.2413,Cluster,11.0,,7.7,3.98,,3:20,YES,,2007,Cluster_1265.9,True,1265.9,1266.2800000000002
,,0.344,-36.54,1275.79,851.4171,Cluster,10.0,,5.03,3.86,,8:16,YES,,2007,Cluster_1275.8,True,1275.79,1276.17
,,0.344,-37.65,1276.9,851.5489,Cluster,11.0,,9.19,5.01,,7:59,YES,,2007,Cluster_1276.9,True,1276.9,1277.2800000000002
,,0.344,-39.55,1278.81,851.7731,Cluster,10.0,,5.35,9.59,,7:46,YES,,2007,Cluster_1278.8,True,1278.81,1279.19
510.0,40.03,0.344,,1279.23,851.8231,Girth Weld,,,,,,nan,,,2007,Girth Weld_1279.2,False,1279.23,1279.6100000000001
,,0.344,-5.12,1284.35,852.4263,Cluster,11.0,,2.45,7.96,,2:38,YES,,2007,Cluster_1284.3,True,1284.35,1284.73
,,0.344,-17.29,1296.52,853.8535,Cluster,10.0,,1.68,5.01,,8:41,YES,,2007,Cluster_1296.5,True,1296.52,1296.9
,,0.344,-17.74,1296.97,853.9065,Cluster,10.0,,2.5,3.56,,2:45,YES,,2007,Cluster_1297.0,True,1296.97,1297.3500000000001
,,0.344,-20.56,1299.79,854.2387,Cluster,10.0,,5.15,4.65,,8:33,YES,,2007,Cluster_1299.8,True,1299.79,1300.17
,,0.344,-23.44,1302.67,854.5774,Metal Loss,12.0,,0.55,0.55,,1:57,YES,,2007,Metal Loss_1302.7,True,1302.67,1303.0500000000002
520.0,40.02,0.344,,1319.26,856.5336,Girth Weld,,,,,,nan,,,2007,Girth Weld_1319.3,False,1319.26,1319.64
,,0.344,-3.65,1322.91,856.9639,Cluster,10.0,,1.82,2.26,,9:33,YES,,2007,Cluster_1322.9,True,1322.91,1323.2900000000002
,,0.344,-11.21,1330.47,857.8544,Cluster,10.0,,9.49,7.52,,8:40,YES,,2007,Cluster_1330.5,True,1330.47,1330.8500000000001
,,0.344,-21.77,1341.04,859.1039,Cluster,10.0,,27.71,19.52,,12:49,YES,,2007,Cluster_1341.0,True,1341.04,1341.42
,,0.344,-22.93,1342.19,859.2408,Metal Loss,10.0,,0.59,0.71,,12:24,YES,,2007,Metal Loss_1342.2,True,1342.19,1342.5700000000002
,,0.344,-29.41,1348.67,860.0116,Metal Loss,10.0,,0.55,0.71,,12:26,YES,,2007,Metal Loss_1348.7,True,1348.67,1349.0500000000002
,,0.344,-30.73,1349.99,860.1694,Cluster,11.0,,1.61,3.9,,1:40,YES,,2007,Cluster_1350.0,True,1349.99,1350.3700000000001
,,0.344,-39.98,1359.24,861.2799,Cluster,13.0,,7.85,12.23,,8:48,YES,,2007,Cluster_1359.2,True,1359.24,1359.6200000000001
530.0,40.0,0.344,,1359.29,861.2848,Girth Weld,,,,,,nan,,,2007,Girth Weld_1359.3,False,1359.29,1359.67
,,0.344,-4.19,1363.47,861.7895,Cluster,10.0,,3.68,17.3,,12:59,YES,,2007,Cluster_1363.5,True,1363.47,1363.8500000000001
,,0.344,-6.84,1366.12,862.1094,Cluster,12.0,,13.34,14.31,,1:45,YES,,2007,Cluster_1366.1,True,1366.12,1366.5
,,0.344,-7.39,1366.68,862.1763,Cluster,12.0,,2.83,3.31,,9:25,YES,,2007,Cluster_1366.7,True,1366.68,1367.0600000000002
,,0.344,-7.79,1367.08,862.2245,Cluster,11.0,,44.24,12.19,,8:15,YES,,2007,Cluster_1367.1,True,1367.08,1367.46
,,0.344,-8.89,1368.18,862.3573,Cluster,11.0,,26.45,12.59,,2:10,YES,,2007,Cluster_1368.2,True,1368.18,1368.5600000000002
,,0.344,-11.78,1371.07,862.7063,Cluster,10.0,,14.12,13.51,,8:09,YES,,2007,Cluster_1371.1,True,1371.07,1371.45
,,0.344,-12.24,1371.53,862.7616,Cluster,13.0,,12.13,11.86,,2:05,YES,,2007,Cluster_1371.5,True,1371.53,1371.91
,,0.344,-13.15,1372.43,862.871,Cluster,10.0,,15.32,11.54,,2:18,YES,,2007,Cluster_1372.4,True,1372.43,1372.8100000000002
,,0.344,-15.15,1374.44,863.113,Cluster,10.0,,7.01,11.81,,8:16,YES,,2007,Cluster_1374.4,True,1374.44,1374.8200000000002
,,0.344,-16.78,1376.07,863.3097,Cluster,11.0,,1.7,1.82,,9:46,YES,,2007,Cluster_1376.1,True,1376.07,1376.45
,,0.344,-20.62,1379.91,863.77,Cluster,10.0,,6.49,11.08,,8:27,YES,,2007,Cluster_1379.9,True,1379.91,1380.2900000000002
,,0.344,-20.79,1380.08,863.7899,Cluster,11.0,,13.16,12.61,,2:04,YES,,2007,Cluster_1380.1,True,1380.08,1380.46
,,0.344,-21.68,1380.97,863.8966,Cluster,10.0,,5.74,2.72,,8:22,YES,,2007,Cluster_1381.0,True,1380.97,1381.3500000000001
,,0.344,-21.96,1381.24,863.9297,Cluster,10.0,,2.18,3.77,,3:04,YES,,2007,Cluster_1381.2,True,1381.24,1381.6200000000001
,,0.344,-23.32,1382.61,864.0927,Cluster,11.0,,9.08,11.83,,2:04,YES,,2007,Cluster_1382.6,True,1382.61,1382.99
,,0.344,-24.35,1383.64,864.2158,Cluster,10.0,,4.88,11.98,,8:21,YES,,2007,Cluster_1383.6,True,1383.64,1384.0200000000002
,,0.344,-30.6,1389.89,864.9379,Cluster,13.0,,9.49,12.15,,1:56,YES,,2007,Cluster_1389.9,True,1389.89,1390.2700000000002
,,0.344,-35.26,1394.54,865.4626,Cluster,10.0,,7.66,14.01,,1:56,YES,,2007,Cluster_1394.5,True,1394.54,1394.92
,,0.344,-35.43,1394.71,865.4814,Cluster,11.0,,13.49,11.29,,8:29,YES,,2007,Cluster_1394.7,True,1394.71,1395.0900000000001
,,0.344,-36.63,1395.92,865.6171,Cluster,11.0,,4.52,9.59,,8:36,YES,,2007,Cluster_1395.9,True,1395.92,1396.3000000000002
,,0.344,-38.81,1398.09,865.8604,Cluster,11.0,,5.52,20.09,,6:48,YES,,2007,Cluster_1398.1,True,1398.09,1398.47
,,0.344,-39.42,1398.71,865.9294,Cluster,10.0,,8.11,17.45,,8:22,YES,,2007,Cluster_1398.7,True,1398.71,1399.0900000000001
,,0.344,-39.43,1398.71,865.9296,Cluster,12.0,,6.7,10.33,,2:13,YES,,2007,Cluster_1398.7,True,1398.71,1399.0900000000001
,,0.344,-39.45,1398.73,865.9318,Cluster,13.0,,7.19,5.91,,5:53,YES,,2007,Cluster_1398.7,True,1398.73,1399.1100000000001
540.0,39.94,0.344,,1399.29,865.994,Girth Weld,,,,,,nan,,,2007,Girth Weld_1399.3,False,1399.29,1399.67
,,0.344,-0.06,1399.35,866.0009,Cluster,11.0,,5.58,13.26,,1:53,YES,,2007,Cluster_1399.3,True,1399.35,1399.73
,,0.344,-0.53,1399.82,866.0529,Cluster,10.0,,12.95,14.68,,1:48,YES,,2007,Cluster_1399.8,True,1399.82,1400.2
,,0.344,-4.99,1404.28,866.5504,Cluster,10.0,,1.58,6.47,,2:43,YES,,2007,Cluster_1404.3,True,1404.28,1404.66
,,0.344,-5.63,1404.92,866.6216,Cluster,11.0,,3.47,2.81,,8:30,YES,,2007,Cluster_1404.9,True,1404.92,1405.3000000000002
,,0.344,-5.68,1404.97,866.6281,Cluster,10.0,,6.19,10.12,,8:38,YES,,2007,Cluster_1405.0,True,1404.97,1405.3500000000001
,,0.344,-6.75,1406.04,866.7475,Cluster,10.0,,5.17,8.04,,9:15,YES,,2007,Cluster_1406.0,True,1406.04,1406.42
,,0.344,-7.67,1406.96,866.8492,Cluster,10.0,,17.59,13.24,,8:23,YES,,2007,Cluster_1407.0,True,1406.96,1407.3400000000001
,,0.344,-9.24,1408.53,867.0232,Cluster,10.0,,9.12,11.21,,8:39,YES,,2007,Cluster_1408.5,True,1408.53,1408.91
,,0.344,-9.86,1409.15,867.0924,Cluster,10.0,,6.43,5.91,,2:10,YES,,2007,Cluster_1409.2,True,1409.15,1409.5300000000002
,,0.344,-13.25,1412.54,867.469,Cluster,11.0,,18.37,11.52,,8:51,YES,,2007,Cluster_1412.5,True,1412.54,1412.92
,,0.344,-15.8,1415.09,867.7519,Cluster,10.0,,4.85,6.79,,2:10,YES,,2007,Cluster_1415.1,True,1415.09,1415.47
,,0.344,-19.92,1419.21,868.2067,Metal Loss,10.0,,0.67,0.71,,12:22,YES,,2007,Metal Loss_1419.2,True,1419.21,1419.5900000000001
,,0.344,-20.2,1419.48,868.2372,Cluster,12.0,,33.85,14.64,,8:29,YES,,2007,Cluster_1419.5,True,1419.48,1419.8600000000001
,,0.344,-24.08,1423.37,868.6651,Cluster,10.0,,6.65,6.49,,1:53,YES,,2007,Cluster_1423.4,True,1423.37,1423.75
,,0.344,-25.11,1424.4,868.7783,Cluster,11.0,,37.4,13.43,,8:42,YES,,2007,Cluster_1424.4,True,1424.4,1424.7800000000002
,,0.344,-26.15,1425.43,868.8925,Cluster,14.0,,12.29,7.46,,2:17,YES,,2007,Cluster_1425.4,True,1425.43,1425.8100000000002
,,0.344,-29.65,1428.94,869.2758,Cluster,10.0,,6.01,8.48,,1:54,YES,,2007,Cluster_1428.9,True,1428.94,1429.3200000000002
,,0.344,-30.2,1429.49,869.3364,Cluster,12.0,,7.54,8.63,,1:49,YES,,2007,Cluster_1429.5,True,1429.49,1429.8700000000001
,,0.344,-31.62,1430.91,869.4911,Cluster,10.0,,3.85,6.58,,2:09,YES,,2007,Cluster_1430.9,True,1430.91,1431.2900000000002
,,0.344,-33.05,1432.34,869.6466,Cluster,10.0,,12.38,12.38,,1:44,YES,,2007,Cluster_1432.3,True,1432.34,1432.72
,,0.344,-34.03,1433.32,869.7533,Metal Loss-Manufacturing Anomaly,12.0,,0.63,0.71,,11:41,,,2007,Metal Loss-Manufacturing Anomaly_1433.3,True,1433.32,1433.7
,,0.344,-36.25,1435.54,869.9959,Cluster,10.0,,5.23,9.59,,1:56,YES,,2007,Cluster_1435.5,True,1435.54,1435.92
,,0.344,-39.21,1438.5,870.3163,Cluster,10.0,,6.94,7.96,,1:51,YES,,2007,Cluster_1438.5,True,1438.5,1438.88
,,0.344,-39.46,1438.75,870.3431,Cluster,17.0,,6.48,15.12,,8:03,YES,,2007,Cluster_1438.8,True,1438.75,1439.13
550.0,35.05,0.344,,1439.23,870.3956,Girth Weld,,,,,,nan,,,2007,Girth Weld_1439.2,False,1439.23,1439.6100000000001
,,0.344,-0.01,1439.24,870.3961,Cluster,12.0,,5.89,7.73,,9:11,YES,,2007,Cluster_1439.2,True,1439.24,1439.6200000000001
,,0.344,-0.02,1439.25,870.3977,Cluster,10.0,,4.03,5.74,,2:12,YES,,2007,Cluster_1439.2,True,1439.25,1439.63
,,0.344,-9.19,1448.43,871.3845,Cluster,10.0,,1.15,3.46,,7:38,YES,,2007,Cluster_1448.4,True,1448.43,1448.8100000000002
,,0.344,-15.41,1454.64,872.043,Cluster,11.0,,3.89,10.58,,9:12,YES,,2007,Cluster_1454.6,True,1454.64,1455.0200000000002
,,0.344,-19.3,1458.54,872.4545,Cluster,10.0,,0.62,1.8,,9:57,YES,,2007,Cluster_1458.5,True,1458.54,1458.92
,,0.344,-22.61,1461.84,872.8023,Cluster,11.0,,8.21,8.67,,9:27,YES,,2007,Cluster_1461.8,True,1461.84,1462.22
,,0.344,-23.36,1462.59,872.881,Cluster,10.0,,11.21,11.42,,8:49,YES,,2007,Cluster_1462.6,True,1462.59,1462.97
,,0.344,-24.14,1463.37,872.9627,Cluster,10.0,,19.98,11.21,,1:04,YES,,2007,Cluster_1463.4,True,1463.37,1463.75
,,0.344,-25.66,1464.89,873.1228,Cluster,10.0,,13.72,11.71,,1:04,YES,,2007,Cluster_1464.9,True,1464.89,1465.2700000000002
,,0.344,-26.78,1466.02,873.2407,Cluster,10.0,,21.9,12.67,,9:03,YES,,2007,Cluster_1466.0,True,1466.02,1466.4
,,0.344,-27.2,1466.43,873.2848,Cluster,10.0,,10.44,10.05,,1:09,YES,,2007,Cluster_1466.4,True,1466.43,1466.8100000000002
,,0.344,-34.64,1473.88,874.0644,Cluster,10.0,,5.68,10.33,,1:26,YES,,2007,Cluster_1473.9,True,1473.88,1474.2600000000002
560.0,39.99,0.344,,1474.28,874.1065,Girth Weld,,,,,,nan,,,2007,Girth Weld_1474.3,False,1474.28,1474.66
,,0.344,-3.61,1477.89,874.4844,Cluster,11.0,,34.78,13.8,,9:03,YES,,2007,Cluster_1477.9,True,1477.89,1478.2700000000002
,,0.344,-6.85,1481.13,874.8229,Metal Loss,10.0,,0.59,0.55,,3:23,YES,,2007,Metal Loss_1481.1,True,1481.13,1481.5100000000002
,,0.344,-6.97,1481.25,874.8359,Cluster,10.0,,5.84,12.13,,1:04,YES,,2007,Cluster_1481.2,True,1481.25,1481.63
,,0.344,-14.31,1488.59,875.6039,Metal Loss,10.0,,0.51,0.63,,9:19,YES,,2007,Metal Loss_1488.6,True,1488.59,1488.97
,,0.344,-19.76,1494.04,876.1739,Cluster,11.0,,20.58,12.23,,8:52,YES,,2007,Cluster_1494.0,True,1494.04,1494.42
,,0.344,-33.6,1507.88,877.6284,Cluster,10.0,,7.0,7.88,,1:14,YES,,2007,Cluster_1507.9,True,1507.88,1508.2600000000002
,,0.344,-36.69,1510.97,877.9545,Cluster,11.0,,4.04,6.24,,1:46,YES,,2007,Cluster_1511.0,True,1510.97,1511.3500000000001
,,0.344,-38.02,1512.3,878.0946,Cluster,10.0,,4.52,6.97,,9:43,YES,,2007,Cluster_1512.3,True,1512.3,1512.68
570.0,40.03,0.344,,1514.27,878.3024,Girth Weld,,,,,,nan,,,2007,Girth Weld_1514.3,False,1514.27,1514.65
