joint_number,joint_length_ft,wall_thickness_in,dist_to_upstream_gw_ft,dist_to_downstream_gw_ft,distance_ft,feature_type,internal_external,depth_pct,depth_in,Metal Loss Depth + Tolerance[%],Dimension Classification,Metal Loss Depth Tolerance [%] (includes seamless and HAZ and modified specs),Dent Depth[%],Dent Depth[in],Is any part of the dent affecting the top of the pipe? [Y/N],anomaly_length_in,anomaly_width_in,clock_position,comments,Anomalies per Joint,Was anomaly sizing reviewed by analyst? [Y/N],Was anomaly sizing/dimensions manually changed? [Y/N],Magnetization Level [kA/m] for MFL survey or Actual WT [in] for UT Survey,elevation_ft,Seam Position[hh:mm],Distance To Seam Weld [in],Tool,design_pressure_psi,smys_psi,Pipe Type,Pipe Diameter (O.D.)[in.],safe_pressure_psi,burst_pressure_psi,Effective Area Psafe [PSI],Effective Area Pburst [PSI],erf,rpr,Length Tolerance [in],Width Tolerance [in],inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned
4950,31.247,0.344,,,17635.728,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,3,,,5.97,404.246,09:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_17635.7,False,17635.728,17634.970999999998
4950,31.247,0.344,15.771,15.472,17651.503,Seam Weld Manufacturing Anomaly,,,,,,,,,,7.2,,9:05,SWA,3,N,N,5.97,396.672,09:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_17651.5,False,17651.503,17650.746
4950,31.247,0.344,17.625,13.622,17653.353,Seam Weld Manufacturing Anomaly,,,,,,,,,,11.6,,9:05,SWA,3,N,N,5.97,395.792,09:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_17653.4,False,17653.353,17652.595999999998
4950,31.247,0.344,20.469,10.774,17656.201,Seam Weld Manufacturing Anomaly,,,,,,,,,,13.3,,9:02,SWA,3,N,N,5.97,394.44,09:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_17656.2,False,17656.201,17655.444
4960,40.105,0.344,,,17666.975,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,1,,,5.97,389.323,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_17667.0,False,17666.975,17666.217999999997
4960,40.105,0.344,1.23,38.871,17668.209,Metal Loss,External,29.0,0.1,44.0,GENE,20.0,,,,43.5,6.3,10:17,EXT ML,1,N,N,5.97,388.738,UNKN,,CMFL,1025,65000,E.R. WELD,24,1190.7,1653.7,1414.7,1964.9,0.861,0.89,1.0,1.2,2022,Metal Loss_17668.2,True,17668.209,17667.451999999997
4970,40.128,0.344,,,17707.08,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,373.09,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_17707.1,False,17707.08,17706.323
4980,40.187,0.344,,,17747.208,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,361.934,02:08,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_17747.2,False,17747.208,17746.450999999997
4990,40.046,0.344,,,17787.395,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,355.971,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_17787.4,False,17787.395,17786.638
5000,40.098,0.344,,,17827.441,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,353.182,07:20,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_17827.4,False,17827.441,17826.683999999997
5010,40.18,0.344,,,17867.543,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,353.358,07:32,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_17867.5,False,17867.543,17866.786
5020,31.903,0.344,,,17907.723,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,355.097,04:28,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_17907.7,False,17907.723,17906.966
5030,40.098,0.344,,,17939.626,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,357.929,06:36,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_17939.6,False,17939.626,17938.869
5040,40.19,0.344,,,17979.724,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,361.986,07:40,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_17979.7,False,17979.724,17978.966999999997
5050,40.043,0.344,,,18019.915,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,366.967,03:40,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18019.9,False,18019.915,18019.158
5060,31.437,0.344,,,18059.957,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,3,,,5.97,372.896,01:48,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18060.0,False,18059.957,18059.199999999997
5060,31.437,0.344,7.346,24.088,18067.303,Seam Weld Manufacturing Anomaly,,,,,,,,,,4.4,,1:47,SWA,3,N,N,5.97,373.784,01:48,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_18067.3,False,18067.303,18066.546
5060,31.437,0.344,25.249,6.184,18085.207,Seam Weld Manufacturing Anomaly,,,,,,,,,,6.7,,1:47,SWA,3,N,N,5.97,375.681,01:48,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_18085.2,False,18085.207,18084.449999999997
5060,31.437,0.344,27.388,4.045,18087.346,Seam Weld Manufacturing Anomaly,,,,,,,,,,5.3,,1:47,SWA,3,N,N,5.97,375.907,01:48,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_18087.3,False,18087.346,18086.589
5070,40.075,0.344,,,18091.391,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,376.336,08:20,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18091.4,False,18091.391,18090.634
5080,40.082,0.344,,,18131.467,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,378.907,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18131.5,False,18131.467,18130.71
5090,40.003,0.344,,,18171.549,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,377.437,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18171.5,False,18171.549,18170.791999999998
5100,40.19,0.344,,,18211.552,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,1,,,5.97,374.658,03:08,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18211.6,False,18211.552,18210.795
5100,40.19,0.344,39.035,1.155,18250.587,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,1.9,2.8,5:22,EXT ML,1,N,N,5.97,371.671,03:08,14.032,CMFL,1025,65000,E.R. WELD,24,1506.2,2092.0,1497.0,2079.1,0.681,1.123,1.0,1.2,2022,Metal Loss_18250.6,True,18250.587,18249.829999999998
5110,8.127,0.344,,,18251.742,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,371.582,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18251.7,False,18251.742,18250.984999999997
5120,40.118,0.344,,,18259.869,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,1,,,5.97,371.03,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18259.9,False,18259.869,18259.111999999997
5120,40.118,0.344,0.738,39.38,18260.607,Metal Loss,External,25.0,0.086,40.0,GENE,20.0,,,,3.1,2.6,5:30,EXT ML,1,N,N,5.97,370.983,UNKN,,CMFL,1025,65000,E.R. WELD,24,1454.3,2019.9,1466.7,2037.1,0.705,1.083,1.0,1.2,2022,Metal Loss_18260.6,True,18260.607,18259.85
5130,40.085,0.344,,,18299.987,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,370.214,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18300.0,False,18299.987,18299.23
5140,40.075,0.344,,,18340.072,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,371.117,03:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18340.1,False,18340.072,18339.315
5150,39.987,0.344,,,18380.148,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,374.368,01:12,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18380.1,False,18380.148,18379.391
5160,40.062,0.344,,,18420.135,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,378.509,08:04,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18420.1,False,18420.135,18419.377999999997
5170,40.341,0.344,,,18460.197,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,1,,,5.97,384.743,06:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18460.2,False,18460.197,18459.44
5170,40.341,0.344,35.354,4.984,18495.554,Seam Weld Manufacturing Anomaly,,,,,,,,,,10.1,,6:14,SWA,1,N,N,5.97,394.061,06:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_18495.6,False,18495.554,18494.797
5180,40.062,0.344,,,18500.538,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,1,,,5.97,395.415,01:16,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18500.5,False,18500.538,18499.781
5180,40.062,0.344,0.837,39.226,18501.375,Metal Loss,External,42.0,0.144,57.0,GENE,20.0,,,,2.7,2.7,6:02,EXT ML,1,N,N,5.97,395.641,01:16,30.369,CMFL,1025,65000,E.R. WELD,24,1395.2,1937.8,1449.6,2013.3,0.735,1.041,0.6,1.2,2022,Metal Loss_18501.4,True,18501.375,18500.618
5190,34.787,0.344,,,18540.6,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,409.939,02:08,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18540.6,False,18540.6,18539.842999999997
5200,40.082,0.344,,,18575.387,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,425.181,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18575.4,False,18575.387,18574.629999999997
5210,40.046,0.344,,,18615.469,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,443.778,08:20,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18615.5,False,18615.469,18614.712
5220,39.918,0.344,,,18655.515,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,464.151,11:44,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18655.5,False,18655.515,18654.757999999998
5230,40.177,0.344,,,18695.433,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,485.19,01:08,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18695.4,False,18695.433,18694.676
5240,40.036,0.344,,,18735.61,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,506.767,12:08,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18735.6,False,18735.61,18734.853
5250,40.154,0.344,,,18775.646,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,528.554,01:44,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18775.6,False,18775.646,18774.889
5260,39.99,0.344,,,18815.804,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,550.292,02:20,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18815.8,False,18815.804,18815.047
5270,35.407,0.344,,,18855.794,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,571.63,02:48,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18855.8,False,18855.794,18855.037
5270,35.407,0.344,,,18888.635,Attachment,,,,,,,,,,,,06:00,ATTACHMENT,0,,,5.97,587.632,02:48,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Attachment_18888.6,False,18888.635,18887.877999999997
5280,12.336,0.5,,,18891.201,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,588.872,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18891.2,False,18891.201,18890.444
5280,12.336,0.5,,,18897.297,Bend,,,,,,,,,,,,nan,BEND-HOT PULLED - 5.7D - 36Â° LEFT,0,,,4.14,591.058,UNKN,,CMFL,1025,60000,E.R. WELD,24,,,,,,,,,2022,Bend_18897.3,False,18897.297,18896.539999999997
5290,40.079,0.344,,,18903.533,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD NWT 0.500/0.344IN,0,,,5.97,592.753,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18903.5,False,18903.533,18902.775999999998
5290,40.079,0.344,,,18933.179,Above Ground Marker,,,,,,,,,,,,nan,AGM 9 - AT LINE MARKER 3' UPSTREAM OF GATE POST,0,,,5.97,597.007,UNKN,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Above Ground Marker_18933.2,False,18933.179,18932.422
5300,40.302,0.344,,,18943.615,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,598.382,09:40,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18943.6,False,18943.615,18942.858
5310,40.108,0.344,,,18983.917,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,599.46,09:24,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_18983.9,False,18983.917,18983.16
5310,40.108,0.344,,,18989.183,Tap,,,,,,,,,,,,12:00,2 IN OFFTAKE-WELDOLET,0,,,5.97,599.204,09:24,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Tap_18989.2,False,18989.183,18988.426
5320,30.384,0.344,,,19024.026,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,5,,,5.97,595.355,11:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19024.0,False,19024.026,19023.269
5320,30.384,0.344,4.094,26.289,19028.12,Seam Weld Manufacturing Anomaly,,,,,,,,,,5.4,,11:07,SWA,5,N,N,5.97,594.806,11:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_19028.1,False,19028.12,19027.362999999998
5320,30.384,0.344,12.116,18.268,19036.142,Seam Weld Manufacturing Anomaly,,,,,,,,,,5.8,,11:44,SWA,5,N,N,5.97,593.433,11:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_19036.1,False,19036.142,19035.385
5320,30.384,0.344,15.994,14.39,19040.02,Seam Weld Manufacturing Anomaly,,,,,,,,,,6.4,,11:46,SWA,5,N,N,5.97,592.769,11:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_19040.0,False,19040.02,19039.263
5320,30.384,0.344,16.654,13.73,19040.679,Seam Weld Manufacturing Anomaly,,,,,,,,,,7.9,,11:43,SWA,5,N,N,5.97,592.656,11:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_19040.7,False,19040.679,19039.922
5320,30.384,0.344,24.803,5.581,19048.829,Seam Weld Manufacturing Anomaly,,,,,,,,,,10.4,,11:49,SWA,5,N,N,5.97,591.261,11:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_19048.8,False,19048.829,19048.072
5330,39.951,0.344,,,19054.409,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,590.306,05:56,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19054.4,False,19054.409,19053.652
5340,40.272,0.344,,,19094.36,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,583.524,07:36,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19094.4,False,19094.36,19093.603
5350,40.016,0.344,,,19134.633,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,4,,,5.97,577.162,01:04,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19134.6,False,19134.633,19133.876
5350,40.016,0.344,5.643,34.373,19140.276,Seam Weld Manufacturing Anomaly,,,,,,,,,,5.8,,1:07,SWA,4,N,N,5.97,576.391,01:04,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_19140.3,False,19140.276,19139.519
5350,40.016,0.344,17.694,22.323,19152.326,Seam Weld Manufacturing Anomaly,,,,,,,,,,6.3,,1:09,SWA,4,N,N,5.97,574.939,01:04,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_19152.3,False,19152.326,19151.569
5350,40.016,0.344,20.505,19.514,19155.135,Seam Weld Manufacturing Anomaly,,,,,,,,,,11.3,,1:07,SWA,4,N,N,5.97,574.601,01:04,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_19155.1,False,19155.135,19154.377999999997
5350,40.016,0.344,20.627,19.39,19155.259,Seam Weld Manufacturing Anomaly,,,,,,,,,,11.8,,1:16,SWA,4,N,N,5.97,574.586,01:04,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_19155.3,False,19155.259,19154.501999999997
5360,40.292,0.344,,,19174.649,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,2,,,5.97,572.25,11:20,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19174.6,False,19174.649,19173.892
5360,40.292,0.344,19.518,20.778,19194.167,Seam Weld Manufacturing Anomaly,,,,,,,,,,1.9,,11:24,SWA,2,N,N,5.97,570.019,11:20,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_19194.2,False,19194.167,19193.41
5360,40.292,0.344,38.999,1.296,19213.648,Seam Weld Manufacturing Anomaly,,,,,,,,,,8.6,,11:39,SWA,2,N,N,5.97,567.81,11:20,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Seam Weld Manufacturing Anomaly_19213.6,False,19213.648,19212.891
5370,40.079,0.344,,,19214.944,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,567.663,10:24,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19214.9,False,19214.944,19214.186999999998
5380,39.613,0.344,,,19255.02,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,563.394,11:56,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19255.0,False,19255.02,19254.263
5390,40.089,0.344,,,19294.636,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,558.764,11:36,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19294.6,False,19294.636,19293.878999999997
5400,40.381,0.344,,,19334.721,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,552.928,01:20,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19334.7,False,19334.721,19333.964
5410,40.046,0.344,,,19375.102,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,545.712,12:40,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19375.1,False,19375.102,19374.344999999998
5420,40.217,0.344,,,19415.144,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,538.339,11:08,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19415.1,False,19415.144,19414.387
5430,40.049,0.344,,,19455.361,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,531.165,10:56,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19455.4,False,19455.361,19454.604
5440,40.148,0.344,,,19495.41,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,523.932,11:36,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19495.4,False,19495.41,19494.653
5450,40.049,0.344,,,19535.558,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,516.475,02:48,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19535.6,False,19535.558,19534.801
5460,40.341,0.344,,,19575.607,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,508.546,12:48,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19575.6,False,19575.607,19574.85
5470,40.013,0.344,,,19615.948,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,500.0,12:28,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19615.9,False,19615.948,19615.191
5480,40.282,0.344,,,19655.961,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,490.956,11:24,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19656.0,False,19655.961,19655.203999999998
5490,39.961,0.344,,,19696.24,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,2,,,5.97,481.571,11:16,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19696.2,False,19696.24,19695.483
5490,39.961,0.344,7.549,32.415,19703.789,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,23.5,5.6,11:26,EXT ML ( ON SW ),2,N,N,5.97,479.797,11:16,0.0,CMFL,1025,65000,E.R. WELD,24,1361.4,1890.9,1401.8,1946.9,0.753,1.014,1.0,1.2,2022,Metal Loss_19703.8,True,19703.789,19703.032
5490,39.961,0.344,15.282,24.678,19711.526,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,6.6,2.6,11:25,EXT ML ( ON SW ),2,N,N,5.97,477.975,11:16,1.047,CMFL,1025,65000,E.R. WELD,24,1455.4,2021.4,1438.0,1997.2,0.704,1.085,1.0,1.2,2022,Metal Loss_19711.5,True,19711.526,19710.769
5500,40.213,0.344,,,19736.204,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,472.159,12:48,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19736.2,False,19736.204,19735.447
5510,39.997,0.344,,,19776.417,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,462.829,07:00,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19776.4,False,19776.417,19775.66
5520,40.207,0.344,,,19816.414,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,453.623,07:56,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19816.4,False,19816.414,19815.657
5530,40.003,0.344,,,19856.621,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,445.472,02:44,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19856.6,False,19856.621,19855.863999999998
5540,40.276,0.344,,,19896.624,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,437.526,01:32,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19896.6,False,19896.624,19895.867
5550,40.026,0.344,,,19936.9,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,430.069,10:20,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19936.9,False,19936.9,19936.143
5560,40.138,0.344,,,19976.929,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,423.713,11:40,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_19976.9,False,19976.929,19976.172
5570,39.961,0.344,,,20017.064,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,417.618,01:36,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_20017.1,False,20017.064,20016.306999999997
5580,40.236,0.344,,,20057.024,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,411.512,02:44,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_20057.0,False,20057.024,20056.267
5590,39.925,0.344,,,20097.26,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,404.461,11:32,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_20097.3,False,20097.26,20096.502999999997
5600,40.236,0.344,,,20137.185,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,1,,,5.97,396.643,09:40,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_20137.2,False,20137.185,20136.428
5600,40.236,0.344,39.377,0.86,20176.562,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,8.4,3.1,3:07,EXT ML,1,N,N,5.97,388.936,09:40,34.348,CMFL,1025,65000,E.R. WELD,24,1447.5,2010.4,1428.9,1984.5,0.708,1.081,1.0,1.2,2022,Metal Loss_20176.6,True,20176.562,20175.805
5610,40.177,0.344,,,20177.421,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,388.769,12:04,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_20177.4,False,20177.421,20176.663999999997
5620,40.302,0.344,,,20217.598,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,379.922,09:28,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_20217.6,False,20217.598,20216.841
5620,40.302,0.344,,,20229.318,Field Bend,,,,,,,,,,,,nan,BEND-COLD LEFT,0,,,5.97,376.631,09:28,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Field Bend_20229.3,False,20229.318,20228.560999999998
5630,40.013,0.344,,,20257.9,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,368.151,12:52,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_20257.9,False,20257.9,20257.143
5640,40.157,0.344,,,20297.913,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,355.265,01:56,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_20297.9,False,20297.913,20297.156
5650,39.977,0.344,,,20338.074,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,0,,,5.97,342.034,11:16,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_20338.1,False,20338.074,20337.317
5660,40.226,0.344,,,20378.051,Girth Weld,,,,,,,,,,,,nan,GIRTH WELD,3,,,5.97,329.086,11:52,,CMFL,1025,65000,E.R. WELD,24,,,,,,,,,2022,Girth Weld_20378.1,False,20378.051,20377.293999999998
