Joint num,Joint len [ft],t [in],to u/s w. [ft],log dist. [ft],Height [ft],event,depth [%],ID Reduction [%],length [in],width [in],P2 Burst / MOP,o'clock,internal,comment
,,0.344,-13.67,1252.92,848.7088,Cluster,10,,5.48,5.26,,7:41,YES,
,,0.344,-17.53,1256.78,849.1625,Cluster,10,,1.02,2.2,,3:35,YES,
,,0.344,-23.45,1262.7,849.8628,Cluster,11,,25.08,6.14,,7:45,YES,
,,0.344,-25.02,1264.27,850.0493,metal loss,10,,0.47,0.59,,3:17,YES,
,,0.344,-26.64,1265.9,850.2413,Cluster,11,,7.7,3.98,,3:20,YES,
,,0.344,-36.54,1275.79,851.4171,Cluster,10,,5.03,3.86,,8:16,YES,
,,0.344,-37.65,1276.9,851.5489,Cluster,11,,9.19,5.01,,7:59,YES,
,,0.344,-39.55,1278.81,851.7731,Cluster,10,,5.35,9.59,,7:46,YES,
510,40.03,0.344,,1279.23,851.8231,Girth Weld,,,,,,,,
,,0.344,-5.12,1284.35,852.4263,Cluster,11,,2.45,7.96,,2:38,YES,
,,0.344,-17.29,1296.52,853.8535,Cluster,10,,1.68,5.01,,8:41,YES,
,,0.344,-17.74,1296.97,853.9065,Cluster,10,,2.5,3.56,,2:45,YES,
,,0.344,-20.56,1299.79,854.2387,Cluster,10,,5.15,4.65,,8:33,YES,
,,0.344,-23.44,1302.67,854.5774,metal loss,12,,0.55,0.55,,1:57,YES,
520,40.02,0.344,,1319.26,856.5336,Girth Weld,,,,,,,,
,,0.344,-3.65,1322.91,856.9639,Cluster,10,,1.82,2.26,,9:33,YES,
,,0.344,-11.21,1330.47,857.8544,Cluster,10,,9.49,7.52,,8:40,YES,
,,0.344,-21.77,1341.04,859.1039,Cluster,10,,27.71,19.52,,12:49,YES,
,,0.344,-22.93,1342.19,859.2408,metal loss,10,,0.59,0.71,,12:24,YES,
,,0.344,-29.41,1348.67,860.0116,metal loss,10,,0.55,0.71,,12:26,YES,
,,0.344,-30.73,1349.99,860.1694,Cluster,11,,1.61,3.9,,1:40,YES,
,,0.344,-39.98,1359.24,861.2799,Cluster,13,,7.85,12.23,,8:48,YES,
530,40,0.344,,1359.29,861.2848,Girth Weld,,,,,,,,
,,0.344,-4.19,1363.47,861.7895,Cluster,10,,3.68,17.3,,12:59,YES,
,,0.344,-6.84,1366.12,862.1094,Cluster,12,,13.34,14.31,,1:45,YES,
,,0.344,-7.39,1366.68,862.1763,Cluster,12,,2.83,3.31,,9:25,YES,
,,0.344,-7.79,1367.08,862.2245,Cluster,11,,44.24,12.19,,8:15,YES,
,,0.344,-8.89,1368.18,862.3573,Cluster,11,,26.45,12.59,,2:10,YES,
,,0.344,-11.78,1371.07,862.7063,Cluster,10,,14.12,13.51,,8:09,YES,
,,0.344,-12.24,1371.53,862.7616,Cluster,13,,12.13,11.86,,2:05,YES,
,,0.344,-13.15,1372.43,862.871,Cluster,10,,15.32,11.54,,2:18,YES,
,,0.344,-15.15,1374.44,863.113,Cluster,10,,7.01,11.81,,8:16,YES,
,,0.344,-16.78,1376.07,863.3097,Cluster,11,,1.7,1.82,,9:46,YES,
,,0.344,-20.62,1379.91,863.77,Cluster,10,,6.49,11.08,,8:27,YES,
,,0.344,-20.79,1380.08,863.7899,Cluster,11,,13.16,12.61,,2:04,YES,
,,0.344,-21.68,1380.97,863.8966,Cluster,10,,5.74,2.72,,8:22,YES,
,,0.344,-21.96,1381.24,863.9297,Cluster,10,,2.18,3.77,,3:04,YES,
,,0.344,-23.32,1382.61,864.0927,Cluster,11,,9.08,11.83,,2:04,YES,
,,0.344,-24.35,1383.64,864.2158,Cluster,10,,4.88,11.98,,8:21,YES,
,,0.344,-30.6,1389.89,864.9379,Cluster,13,,9.49,12.15,,1:56,YES,
,,0.344,-35.26,1394.54,865.4626,Cluster,10,,7.66,14.01,,1:56,YES,
,,0.344,-35.43,1394.71,865.4814,Cluster,11,,13.49,11.29,,8:29,YES,
,,0.344,-36.63,1395.92,865.6171,Cluster,11,,4.52,9.59,,8:36,YES,
,,0.344,-38.81,1398.09,865.8604,Cluster,11,,5.52,20.09,,6:48,YES,
,,0.344,-39.42,1398.71,865.9294,Cluster,10,,8.11,17.45,,8:22,YES,
,,0.344,-39.43,1398.71,865.9296,Cluster,12,,6.7,10.33,,2:13,YES,
,,0.344,-39.45,1398.73,865.9318,Cluster,13,,7.19,5.91,,5:53,YES,
540,39.94,0.344,,1399.29,865.994,Girth Weld,,,,,,,,
,,0.344,-0.06,1399.35,866.0009,Cluster,11,,5.58,13.26,,1:53,YES,
,,0.344,-0.53,1399.82,866.0529,Cluster,10,,12.95,14.68,,1:48,YES,
,,0.344,-4.99,1404.28,866.5504,Cluster,10,,1.58,6.47,,2:43,YES,
,,0.344,-5.63,1404.92,866.6216,Cluster,11,,3.47,2.81,,8:30,YES,
,,0.344,-5.68,1404.97,866.6281,Cluster,10,,6.19,10.12,,8:38,YES,
,,0.344,-6.75,1406.04,866.7475,Cluster,10,,5.17,8.04,,9:15,YES,
,,0.344,-7.67,1406.96,866.8492,Cluster,10,,17.59,13.24,,8:23,YES,
,,0.344,-9.24,1408.53,867.0232,Cluster,10,,9.12,11.21,,8:39,YES,
,,0.344,-9.86,1409.15,867.0924,Cluster,10,,6.43,5.91,,2:10,YES,
,,0.344,-13.25,1412.54,867.469,Cluster,11,,18.37,11.52,,8:51,YES,
,,0.344,-15.8,1415.09,867.7519,Cluster,10,,4.85,6.79,,2:10,YES,
,,0.344,-19.92,1419.21,868.2067,metal loss,10,,0.67,0.71,,12:22,YES,
,,0.344,-20.2,1419.48,868.2372,Cluster,12,,33.85,14.64,,8:29,YES,
,,0.344,-24.08,1423.37,868.6651,Cluster,10,,6.65,6.49,,1:53,YES,
,,0.344,-25.11,1424.4,868.7783,Cluster,11,,37.4,13.43,,8:42,YES,
,,0.344,-26.15,1425.43,868.8925,Cluster,14,,12.29,7.46,,2:17,YES,
,,0.344,-29.65,1428.94,869.2758,Cluster,10,,6.01,8.48,,1:54,YES,
,,0.344,-30.2,1429.49,869.3364,Cluster,12,,7.54,8.63,,1:49,YES,
,,0.344,-31.62,1430.91,869.4911,Cluster,10,,3.85,6.58,,2:09,YES,
,,0.344,-33.05,1432.34,869.6466,Cluster,10,,12.38,12.38,,1:44,YES,
,,0.344,-34.03,1433.32,869.7533,metal loss-manufacturing anomaly,12,,0.63,0.71,,11:41,N/A,
,,0.344,-36.25,1435.54,869.9959,Cluster,10,,5.23,9.59,,1:56,YES,
,,0.344,-39.21,1438.5,870.3163,Cluster,10,,6.94,7.96,,1:51,YES,
,,0.344,-39.46,1438.75,870.3431,Cluster,17,,6.48,15.12,,8:03,YES,
550,35.05,0.344,,1439.23,870.3956,Girth Weld,,,,,,,,
,,0.344,-0.01,1439.24,870.3961,Cluster,12,,5.89,7.73,,9:11,YES,
,,0.344,-0.02,1439.25,870.3977,Cluster,10,,4.03,5.74,,2:12,YES,
,,0.344,-9.19,1448.43,871.3845,Cluster,10,,1.15,3.46,,7:38,YES,
,,0.344,-15.41,1454.64,872.043,Cluster,11,,3.89,10.58,,9:12,YES,
,,0.344,-19.3,1458.54,872.4545,Cluster,10,,0.62,1.8,,9:57,YES,
,,0.344,-22.61,1461.84,872.8023,Cluster,11,,8.21,8.67,,9:27,YES,
,,0.344,-23.36,1462.59,872.881,Cluster,10,,11.21,11.42,,8:49,YES,
,,0.344,-24.14,1463.37,872.9627,Cluster,10,,19.98,11.21,,1:04,YES,
,,0.344,-25.66,1464.89,873.1228,Cluster,10,,13.72,11.71,,1:04,YES,
,,0.344,-26.78,1466.02,873.2407,Cluster,10,,21.9,12.67,,9:03,YES,
,,0.344,-27.2,1466.43,873.2848,Cluster,10,,10.44,10.05,,1:09,YES,
,,0.344,-34.64,1473.88,874.0644,Cluster,10,,5.68,10.33,,1:26,YES,
560,39.99,0.344,,1474.28,874.1065,Girth Weld,,,,,,,,
,,0.344,-3.61,1477.89,874.4844,Cluster,11,,34.78,13.8,,9:03,YES,
,,0.344,-6.85,1481.13,874.8229,metal loss,10,,0.59,0.55,,3:23,YES,
,,0.344,-6.97,1481.25,874.8359,Cluster,10,,5.84,12.13,,1:04,YES,
,,0.344,-14.31,1488.59,875.6039,metal loss,10,,0.51,0.63,,9:19,YES,
,,0.344,-19.76,1494.04,876.1739,Cluster,11,,20.58,12.23,,8:52,YES,
,,0.344,-33.6,1507.88,877.6284,Cluster,10,,7,7.88,,1:14,YES,
,,0.344,-36.69,1510.97,877.9545,Cluster,11,,4.04,6.24,,1:46,YES,
,,0.344,-38.02,1512.3,878.0946,Cluster,10,,4.52,6.97,,9:43,YES,
570,40.03,0.344,,1514.27,878.3024,Girth Weld,,,,,,,,
,,0.344,-3.38,1517.65,878.6589,Cluster,10,,12.73,8.61,,1:33,YES,
,,0.344,-4.14,1518.41,878.7387,Cluster,10,,10.87,6.7,,1:02,YES,
,,0.344,-28.16,1542.43,881.2638,Cluster,10,,6.01,5.8,,1:47,YES,
,,0.344,-39.61,1553.88,882.4519,Cluster,10,,4.56,8.27,,10:11,YES,
580,39.99,0.344,,1554.3,882.4955,Girth Weld,,,,,,,,
,,0.344,-5.75,1560.05,883.08,metal loss,11,,0.75,0.55,,9:56,YES,
,,0.344,-9.49,1563.79,883.4539,Cluster,10,,10.93,6.66,,10:26,YES,
,,0.344,-17.53,1571.84,884.2396,Cluster,11,,4.52,3.33,,10:40,YES,
,,0.344,-21.56,1575.87,884.6258,Cluster,15,,7.39,6.91,,10:35,YES,
,,0.344,-27.71,1582.01,885.2172,Cluster,10,,3.26,4.34,,10:37,YES,
,,0.344,-29.84,1584.15,885.4233,Cluster,14,,3.89,3.14,,10:35,YES,
,,0.344,-30.3,1584.61,885.4672,Cluster,11,,13.44,6.97,,10:37,YES,
,,0.344,-33.22,1587.53,885.749,Cluster,10,,4.07,6.97,,10:14,YES,
,,0.344,-39.49,1593.8,886.361,Cluster,10,,5.5,16.65,,9:06,YES,
590,40.11,0.344,,1594.3,886.4096,Girth Weld,,,,,,,,
,,0.344,-0.7,1595,886.478,Cluster,14,,5.1,20.55,,8:21,YES,
,,0.344,-0.81,1595.1,886.4883,metal loss,20,,1.18,6.34,1.87,6:57,YES,
,,0.344,-15.69,1609.99,887.9465,metal loss,10,,0.67,0.59,,12:24,YES,
,,0.344,-34.48,1628.77,889.7887,Cluster,11,,0.8,2.12,,10:29,YES,
,,0.344,-40.09,1634.38,890.3414,Cluster,10,,5.09,11.1,,9:54,YES,
600,40.11,0.344,,1634.4,890.3433,Girth Weld,,,,,,,,
,,0.344,-0.01,1634.41,890.3443,Cluster,10,,6.9,26.12,,12:16,YES,
,,0.344,-0.91,1635.31,890.4325,Cluster,11,,4.88,22.14,,12:19,YES,
,,0.344,-39.52,1673.93,894.1085,Cluster,11,,6.3,11.71,,9:27,YES,
,,0.344,-40.11,1674.51,894.1603,Cluster,10,,5.08,12.73,,9:47,YES,
610,40,0.344,,1674.51,894.1604,Girth Weld,,,,,,,,
,,0.344,-22.33,1696.83,896.1156,Cluster,11,,0.92,2.85,,12:20,YES,
,,0.344,-39.58,1714.09,897.5261,Cluster,11,,5.06,11.94,,9:52,YES,
620,39.95,0.344,,1714.51,897.555,Girth Weld,,,,,,,,
630,39.97,0.344,,1754.45,900.2311,Girth Weld,,,,,,,,
,,0.344,-36.06,1790.51,902.3065,Cluster,10,,2.77,2.26,,11:07,YES,
640,27.04,0.344,,1794.43,902.4966,Girth Weld,,,,,,,,
650,40.01,0.344,,1821.46,903.6467,Girth Weld,,,,,,,,
660,39.89,0.344,,1861.47,904.9192,Girth Weld,,,,,,,,
670,38.83,0.344,,1901.36,905.8059,Girth Weld,,,,,,,,
680,39.96,0.344,,1940.19,906.3068,Girth Weld,,,,,,,,
690,40.06,0.344,,1980.16,906.7852,Girth Weld,,,,,,,,
700,40.11,0.344,,2020.22,907.2594,Girth Weld,,,,,,,,
710,40.1,0.344,,2060.32,908.0495,Girth Weld,,,,,,,,
720,40.03,0.344,,2100.43,909.357,Girth Weld,,,,,,,,
,,0.344,-4.02,2104.45,909.5225,metal loss,13,,0.51,0.59,,11:59,YES,
,,0.344,-11.71,2112.13,909.841,Cluster,10,,2.84,2.81,,11:54,YES,
,,0.344,-13.09,2113.52,909.8994,metal loss,14,,0.79,0.71,,6:42,YES,
,,0.344,-13.82,2114.25,909.9303,metal loss,10,,1.34,0.79,,11:06,YES,
,,0.344,-18.3,2118.73,910.1192,Cluster,13,,2.03,3.02,,6:09,YES,
,,0.344,-20.1,2120.53,910.1957,metal loss,10,,0.35,0.71,,12:49,YES,
,,0.344,-21.44,2121.87,910.2533,Cluster,11,,2.93,4.88,,12:44,YES,
,,0.344,-22.62,2123.05,910.3039,metal loss,12,,0.75,0.83,,4:56,YES,
,,0.344,-23.67,2124.09,910.3487,metal loss,10,,0.71,0.71,,5:21,YES,
,,0.344,-25.92,2126.34,910.4453,metal loss,11,,0.79,1.14,,6:03,YES,
,,0.344,-26.56,2126.98,910.4728,Cluster,22,,1.81,2.98,1.84,6:06,YES,
,,0.344,-26.63,2127.06,910.476,Cluster,11,,2.38,2.05,,6:58,YES,
,,0.344,-36.07,2136.49,910.9471,metal loss,15,,0.75,0.71,,12:00,YES,
,,0.344,-37.34,2137.77,911.0257,Cluster,12,,4.24,4.38,,11:17,YES,
,,0.344,-38.96,2139.38,911.1251,metal loss,11,,0.43,0.71,,11:57,YES,
,,0.344,-39.88,2140.31,911.1823,metal loss,12,,0.67,0.71,,4:47,YES,
730,40.04,0.344,,2140.46,911.1916,Girth Weld,,,,,,,,
,,0.344,-5.88,2146.34,911.5635,Cluster,10,,1.81,1.4,,11:59,YES,
,,0.344,-7.73,2148.19,911.6828,metal loss,19,,0.79,0.55,,5:36,YES,
,,0.344,-9.98,2150.44,911.8277,metal loss,10,,0.71,0.71,,7:16,YES,
,,0.344,-13.06,2153.51,912.0268,metal loss,15,,0.91,0.91,,6:39,YES,
,,0.344,-17.03,2157.49,912.2906,metal loss,25,,0.71,0.63,1.88,6:58,YES,
,,0.344,-19.12,2159.58,912.4296,metal loss,10,,1.26,1.06,,11:44,YES,
,,0.344,-20.62,2161.08,912.529,metal loss,17,,0.63,0.55,,6:40,YES,
,,0.344,-34.16,2174.62,913.456,metal loss,12,,0.87,0.91,,6:31,YES,
,,0.344,-36.31,2176.77,913.6075,metal loss,14,,0.59,0.79,,12:04,YES,
,,0.344,-38.82,2179.28,913.7847,metal loss,10,,0.59,0.71,,4:34,YES,
,,0.344,-38.99,2179.45,913.7965,Cluster,11,,2.76,4.38,,5:04,YES,
740,40.07,0.344,,2180.5,913.8707,Girth Weld,,,,,,,,
,,0.344,-1.23,2181.73,913.9577,metal loss,12,,1.61,0.83,,5:17,YES,
,,0.344,-3.76,2184.26,914.1366,metal loss,10,,0.51,0.71,,12:11,YES,
,,0.344,-12.11,2192.61,914.7337,metal loss,12,,0.59,0.71,,7:18,YES,
,,0.344,-13.63,2194.13,914.8433,metal loss,11,,0.71,0.59,,11:58,YES,
,,0.344,-38.22,2218.72,916.6591,metal loss,12,,0.98,0.71,,5:13,YES,
,,0.344,-39.74,2220.24,916.7737,Cluster,16,,3.12,2.77,,5:23,YES,
,,0.344,-39.74,2220.24,916.7741,metal loss,11,,0.91,0.59,,6:19,YES,
750,39.82,0.344,,2220.57,916.7985,Girth Weld,,,,,,,,
,,0.344,-2.29,2222.85,916.9708,metal loss,15,,0.55,0.71,,7:15,YES,
,,0.344,-6.11,2226.67,917.2614,metal loss,10,,0.59,0.71,,7:10,YES,
,,0.344,-6.15,2226.72,917.2647,metal loss,10,,0.91,0.63,,6:24,YES,
,,0.344,-7.41,2227.98,917.3608,metal loss,12,,0.63,0.71,,7:20,YES,
,,0.344,-8.24,2228.8,917.4236,metal loss,10,,0.71,0.71,,6:27,YES,
,,0.344,-12.48,2233.04,917.7464,metal loss,13,,0.79,0.94,,6:24,YES,
,,0.344,-12.61,2233.17,917.7564,Cluster,11,,1.76,1.11,,4:57,YES,
,,0.344,-13.8,2234.36,917.8472,Cluster,11,,2.12,0.73,,7:33,YES,
,,0.344,-14.13,2234.69,917.8724,metal loss,12,,0.63,0.71,,5:14,YES,
,,0.344,-14.68,2235.25,917.9148,metal loss,10,,1.1,0.83,,6:23,YES,
,,0.344,-18.33,2238.9,918.1934,Cluster,15,,2.34,1.11,,5:19,YES,
,,0.344,-20.64,2241.2,918.3697,metal loss,15,,0.67,0.71,,4:59,YES,
,,0.344,-21.28,2241.84,918.4186,metal loss,12,,0.59,0.71,,5:26,YES,
,,0.344,-23.35,2243.92,918.5765,metal loss,17,,0.71,0.71,,6:21,YES,
,,0.344,-24.32,2244.89,918.6503,metal loss,11,,0.75,0.63,,6:11,YES,
,,0.344,-26.45,2247.01,918.811,metal loss,17,,0.87,0.71,,5:31,YES,
,,0.344,-28.19,2248.76,918.943,metal loss,16,,0.63,0.59,,6:26,YES,
,,0.344,-28.72,2249.29,918.9831,metal loss,10,,0.71,0.71,,6:01,YES,
,,0.344,-28.93,2249.5,918.9989,metal loss,11,,0.71,0.71,,6:28,YES,
,,0.344,-33.35,2253.91,919.3328,metal loss,13,,0.47,0.71,,5:23,YES,
,,0.344,-35.19,2255.76,919.4699,Cluster,18,,1.94,0.69,,5:25,YES,
,,0.344,-36.84,2257.41,919.5927,metal loss,13,,0.79,0.67,,6:25,YES,
,,0.344,-37.56,2258.13,919.646,Cluster,11,,4.56,3.83,,4:55,YES,
,,0.344,-39.55,2260.11,919.7917,Cluster,15,,3.11,3.31,,5:32,YES,
760,40.06,0.344,,2260.38,919.8114,Girth Weld,,,,,,,,
,,0.344,-0.08,2260.47,919.8172,Cluster,13,,1.57,4.48,,5:35,YES,
,,0.344,-1.62,2262.01,919.9293,metal loss,10,,0.67,0.71,,7:07,YES,
,,0.344,-3.59,2263.98,920.0726,Cluster,13,,1.66,0.69,,5:57,YES,
,,0.344,-5.62,2266.01,920.2201,metal loss,10,,0.47,0.71,,11:47,YES,
,,0.344,-6.88,2267.26,920.3112,metal loss,10,,0.79,0.59,,6:03,YES,
,,0.344,-8.13,2268.51,920.4023,metal loss,12,,0.55,0.71,,5:25,YES,
,,0.344,-10.6,2270.99,920.5809,Cluster,10,,1.86,1.43,,6:27,YES,
,,0.344,-30.04,2290.43,921.9339,Cluster,10,,3.88,0.71,,5:30,YES,
,,0.344,-30.6,2290.98,921.9714,Cluster,12,,1.62,3.27,,5:42,YES,
,,0.344,-39.67,2300.05,922.556,Cluster,15,,4.56,4.34,,5:52,YES,
,,0.344,-39.74,2300.12,922.5602,Cluster,16,,4.03,8.09,,3:49,YES,
770,10.39,0.344,,2300.45,922.5808,Girth Weld,,,,,,,,
,,0.344,-1.84,2302.29,922.6964,metal loss,13,,0.67,0.71,,5:47,YES,
,,0.344,-9.55,2310,923.1627,metal loss,10,,1.02,0.87,,6:09,YES,
,,0.344,-10.08,2310.53,923.1944,metal loss,14,,0.98,0.87,,6:03,YES,
780,40.03,0.344,,2310.84,923.2127,Girth Weld,,,,,,,,
790,15.06,0.5,,2350.86,925.498,Girth Weld,,,,,,,,"0.500"""
,,,,2358.48,925.9077,Bend,,,,,,,,5.0D - 47° - Left
800,23.8,0.344,,2365.92,926.2426,Girth Weld,,,,,,,,"0.344"""
,,0.344,-2.37,2368.29,926.2914,Cluster,13,,5.62,5.97,,5:40,YES,
810,40.14,0.344,,2389.72,926.2387,Girth Weld,,,,,,,,
820,40.1,0.344,,2429.86,926.1467,Girth Weld,,,,,,,,
830,40.09,0.344,,2469.96,926.181,Girth Weld,,,,,,,,
840,40.08,0.344,,2510.05,926.2885,Girth Weld,,,,,,,,
850,40.1,0.344,,2550.13,926.9249,Girth Weld,,,,,,,,
860,40.1,0.344,,2590.23,928.7713,Girth Weld,,,,,,,,
870,40.07,0.344,,2630.32,931.6633,Girth Weld,,,,,,,,
880,40.06,0.344,,2670.39,935.4431,Girth Weld,,,,,,,,
890,40.08,0.344,,2710.45,939.9295,Girth Weld,,,,,,,,
900,40.06,0.344,,2750.53,945.1271,Girth Weld,,,,,,,,
910,40.04,0.344,,2790.6,951.0335,Girth Weld,,,,,,,,
920,40,0.344,,2830.64,957.1712,Girth Weld,,,,,,,,
930,8.28,0.5,,2870.64,962.9958,Girth Weld,,,,,,,,"0.500"""
