Joint num,Joint len,Wt [in],to u/s w. [ft],to d/s w. [ft],Log Dist. [ft],Event Description,ID/OD,Depth [%],Depth [in],OD Reduction [%],OD Reduction [in],Length [in],Width [in],O'clock,Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR
680,40.06,0.344,,,1940.56,GirthWeld,,,,,,,,,,,0.7,573.53,,,,1160,65000,,1342,,,,,,,,
690,40.1,0.344,,,1980.62,GirthWeld,,,,,,,,,,,0.7,586.43,,,,1160,65000,,1342,,,,,,,,
700,40.09,0.344,,,2020.72,GirthWeld,,,,,,,,,,,0.7,599.1,,,,1160,65000,,1342,,,,,,,,
710,40.1,0.344,,,2060.81,GirthWeld,,,,,,,,,,,0.7,611.05,,,,1160,65000,,1342,,,,,,,,
720,39.99,0.344,,,2100.91,GirthWeld,,,,,,,,,,,0.7,622.83,,,,1160,65000,,1342,,,,,,,,
730,40.04,0.344,,,2140.9,GirthWeld,,,,,,,,,,,0.7,634.75,,,,1160,65000,,1342,,,,,,,,
740,40.06,0.344,,,2180.93,GirthWeld,,,,,,,,,,,0.7,646.82,,,,1160,65000,,1342,,,,,,,,
750,39.84,0.344,,,2220.99,GirthWeld,,,,,,,,,,,0.7,658.65,,,,1160,65000,,1342,,,,,,,,
760,40.04,0.344,,,2260.83,GirthWeld,,,,,,,,,,,0.7,669.33,,,,1160,65000,,1342,,,,,,,,
770,10.4,0.344,,,2300.87,GirthWeld,,,,,,,,,,,0.7,679.82,,,,1160,65000,,1342,,,,,,,,
780,40.08,0.344,,,2311.27,GirthWeld,,,,,,,,,,,0.7,682.54,,,,1160,65000,,1342,,,,,,,,
790,14.53,0.5,,,2351.35,GirthWeld,,,,,,,,,,,0.7,691.71,,,,1160,60000,,1800,,,,,,,,
790,,,,,2358.82,Bend,,,,,,,,,6.3D -  43° - Left,,,693.21,,,,,,,,,,,,,,,
800,23.93,0.344,,,2365.88,GirthWeld,,,,,,,,,,,0.7,694.62,,,,1160,65000,,1342,,,,,,,,
810,40.04,0.344,,,2389.82,GirthWeld,,,,,,,,,,,0.7,699.35,,,,1160,65000,,1342,,,,,,,,
820,40,0.344,,,2429.86,GirthWeld,,,,,,,,,,,0.7,707.12,,,,1160,65000,,1342,,,,,,,,
830,40.06,0.344,,,2469.86,GirthWeld,,,,,,,,,,,0.7,714.69,,,,1160,65000,,1342,,,,,,,,
840,40.04,0.344,,,2509.92,GirthWeld,,,,,,,,,,,0.7,721.82,,,,1160,65000,,1342,,,,,,,,
850,40.06,0.344,,,2549.96,GirthWeld,,,,,,,,,,,0.7,727.32,,,,1160,65000,,1342,,,,,,,,
860,40.06,0.344,,,2590.02,GirthWeld,,,,,,,,,,,0.7,732.65,,,,1160,65000,,1342,,,,,,,,
870,40.03,0.344,,,2630.08,GirthWeld,,,,,,,,,,,0.7,736.68,,,,1160,65000,,1342,,,,,,,,
880,40.05,0.344,,,2670.11,GirthWeld,,,,,,,,,,,0.7,740.05,,,,1160,65000,,1342,,,,,,,,
890,40.1,0.344,,,2710.16,GirthWeld,,,,,,,,,,,0.7,743.11,,,,1160,65000,,1342,,,,,,,,
900,40.09,0.344,,,2750.26,GirthWeld,,,,,,,,,,,0.7,745.9,,,,1160,65000,,1342,,,,,,,,
910,40.08,0.344,,,2790.34,GirthWeld,,,,,,,,,,,0.7,746.85,,,,1160,65000,,1342,,,,,,,,
920,40.11,0.344,,,2830.42,GirthWeld,,,,,,,,,,,0.7,747.57,,,,1160,65000,,1342,,,,,,,,
930,8.06,0.5,,,2870.53,GirthWeld,,,,,,,,,,,0.7,748.21,,,,1160,60000,,1800,,,,,,,,
930,,,,,2874.78,Bend,,,,,,,,,5.4D -  19° - Left,,,748.27,,,,,,,,,,,,,,,
940,31.2,0.344,,,2878.59,GirthWeld,,,,,,,,,,,0.7,748.32,,,,1160,65000,,1342,,,,,,,,
950,39.98,0.344,,,2909.79,GirthWeld,,,,,,,,,,,0.7,748.63,,,,1160,65000,,1342,,,,,,,,
960,40.03,0.344,,,2949.78,GirthWeld,,,,,,,,,,,0.7,748.95,,,,1160,65000,,1342,,,,,,,,
970,39.77,0.344,,,2989.81,GirthWeld,,,,,,,,,,,0.7,749.59,,,,1160,65000,,1342,,,,,,,,
980,40.04,0.344,,,3029.58,GirthWeld,,,,,,,,,,,0.7,750.63,,,,1160,65000,,1342,,,,,,,,
980,,,,,3036.06,AGM,,,,,,,,,AGM#1 AT PLM/ ON ROW,,,750.84,,,,,,,,,,,,,,,
990,39.99,0.344,,,3069.62,GirthWeld,,,,,,,,,,,0.7,749.09,,,,1160,65000,,1342,,,,,,,,
990,,,,,3075.49,Tap,,,,,,,,12:00,,,,748.83,,,,,,,,,,,,,,,
1000,38.46,0.344,,,3109.62,GirthWeld,,,,,,,,,,,0.7,747.44,,,,1160,65000,,1342,,,,,,,,
1010,40.08,0.344,,,3148.08,GirthWeld,,,,,,,,,,,0.7,746.61,,,,1160,65000,,1342,,,,,,,,
1020,40.11,0.344,,,3188.15,GirthWeld,,,,,,,,,,,0.7,746.43,,,,1160,65000,,1342,,,,,,,,
1030,40.04,0.344,,,3228.27,GirthWeld,,,,,,,,,,,0.7,748.43,,,,1160,65000,,1342,,,,,,,,
1040,40.08,0.344,,,3268.31,GirthWeld,,,,,,,,,,,0.7,751.21,,,,1160,65000,,1342,,,,,,,,
1050,40.07,0.344,,,3308.39,GirthWeld,,,,,,,,,,,0.7,754.31,,,,1160,65000,,1342,,,,,,,,
1060,40.07,0.344,,,3348.46,GirthWeld,,,,,,,,,,,0.7,757.75,,,,1160,65000,,1342,,,,,,,,
1070,40.1,0.344,,,3388.53,GirthWeld,,,,,,,,,,,0.7,761.36,,,,1160,65000,,1342,,,,,,,,
1080,40.04,0.344,,,3428.63,GirthWeld,,,,,,,,,,,0.7,765.38,,,,1160,65000,,1342,,,,,,,,
1090,40.09,0.344,,,3468.67,GirthWeld,,,,,,,,,,,0.7,769.55,,,,1160,65000,,1342,,,,,,,,
1100,40.11,0.344,,,3508.76,GirthWeld,,,,,,,,,,,0.7,773.5,,,,1160,65000,,1342,,,,,,,,
1110,39.99,0.344,,,3548.87,GirthWeld,,,,,,,,,,,0.7,776.91,,,,1160,65000,,1342,,,,,,,,
1120,40.02,0.344,,,3588.86,GirthWeld,,,,,,,,,,,0.7,778.99,,,,1160,65000,,1342,,,,,,,,
1130,40.05,0.344,,,3628.88,GirthWeld,,,,,,,,,,,0.7,780.44,,,,1160,65000,,1342,,,,,,,,
1140,40.01,0.344,,,3668.93,GirthWeld,,,,,,,,,,,0.7,777.25,,,,1160,65000,,1342,,,,,,,,
1150,34.67,0.344,,,3708.93,GirthWeld,,,,,,,,,,,0.7,770.87,,,,1160,65000,,1342,,,,,,,,
1160,39.61,0.344,,,3743.6,GirthWeld,,,,,,,,,,,0.7,769.27,,,,1160,65000,,1342,,,,,,,,
1170,40.03,0.344,,,3783.21,GirthWeld,,,,,,,,,,,0.7,778.5,,,,1160,65000,,1342,,,,,,,,
1180,40.06,0.344,,,3823.24,GirthWeld,,,,,,,,,,,0.7,790.46,,,,1160,65000,,1342,,,,,,,,
1190,40.02,0.344,,,3863.29,GirthWeld,,,,,,,,,,,0.7,804.66,,,,1160,65000,,1342,,,,,,,,
1200,40.03,0.344,,,3903.31,GirthWeld,,,,,,,,,,,0.7,816.92,,,,1160,65000,,1342,,,,,,,,
1210,40.06,0.344,,,3943.33,GirthWeld,,,,,,,,,,,0.7,818.01,,,,1160,65000,,1342,,,,,,,,
1220,40.07,0.344,,,3983.39,GirthWeld,,,,,,,,,,,0.7,812.18,,,,1160,65000,,1342,,,,,,,,
1230,40.14,0.344,,,4023.46,GirthWeld,,,,,,,,,,,0.7,805.14,,,,1160,65000,,1342,,,,,,,,
1240,28.04,0.344,,,4063.6,GirthWeld,,,,,,,,,,,0.7,794.67,,,,1160,65000,,1342,,,,,,,,
1250,40.15,0.344,,,4091.65,GirthWeld,,,,,,,,,,,0.7,788.39,,,,1160,65000,,1342,,,,,,,,
1260,40.06,0.344,,,4131.8,GirthWeld,,,,,,,,,,,0.7,780.77,,,,1160,65000,,1342,,,,,,,,
1270,39.99,0.344,,,4171.86,GirthWeld,,,,,,,,,,,0.7,775.45,,,,1160,65000,,1342,,,,,,,,
1280,39.96,0.344,,,4211.84,GirthWeld,,,,,,,,,,,0.7,770.09,,,,1160,65000,,1342,,,,,,,,
1290,39.99,0.344,,,4251.81,GirthWeld,,,,,,,,,,,0.7,764.75,,,,1160,65000,,1342,,,,,,,,
1300,40,0.344,,,4291.8,GirthWeld,,,,,,,,,,,0.7,759.27,,,,1160,65000,,1342,,,,,,,,
1310,40.02,0.344,,,4331.8,GirthWeld,,,,,,,,,,,0.7,752.81,,,,1160,65000,,1342,,,,,,,,
1320,39.98,0.344,,,4371.82,GirthWeld,,,,,,,,,,,0.7,742.92,,,,1160,65000,,1342,,,,,,,,
1330,40.04,0.344,,,4411.8,GirthWeld,,,,,,,,,,,0.7,730.32,,,,1160,65000,,1342,,,,,,,,
1340,40,0.344,,,4451.84,GirthWeld,,,,,,,,,,,0.7,715.86,,,,1160,65000,,1342,,,,,,,,
1350,40.02,0.344,,,4491.84,GirthWeld,,,,,,,,,,,0.7,701.41,,,,1160,65000,,1342,,,,,,,,
1360,40.04,0.344,,,4531.86,GirthWeld,,,,,,,,,,,0.7,686.87,,,,1160,65000,,1342,,,,,,,,
1370,40,0.344,,,4571.9,GirthWeld,,,,,,,,,,,0.7,672.27,,,,1160,65000,,1342,,,,,,,,
1380,40.01,0.344,,,4611.9,GirthWeld,,,,,,,,,,,0.7,657.68,,,,1160,65000,,1342,,,,,,,,
1390,39.85,0.344,,,4651.91,GirthWeld,,,,,,,,,,,0.7,644.16,,,,1160,65000,,1342,,,,,,,,
1400,40.1,0.344,,,4691.76,GirthWeld,,,,,,,,,,,0.7,631.03,,,,1160,65000,,1342,,,,,,,,
1410,40.09,0.344,,,4731.85,GirthWeld,,,,,,,,,,,0.7,617.82,,,,1160,65000,,1342,,,,,,,,
1420,40,0.344,,,4771.94,GirthWeld,,,,,,,,,,,0.7,604.63,,,,1160,65000,,1342,,,,,,,,
1430,39.99,0.344,,,4811.94,GirthWeld,,,,,,,,,,,0.7,591.43,,,,1160,65000,,1342,,,,,,,,
1440,40.05,0.344,,,4851.93,GirthWeld,,,,,,,,,,,0.7,578.46,,,,1160,65000,,1342,,,,,,,,
1450,27.98,0.344,,,4891.97,GirthWeld,,,,,,,,,,,0.7,566.87,,,,1160,65000,,1342,,,,,,,,
1460,39.89,0.344,,,4919.95,GirthWeld,,,,,,,,,,,0.7,559.05,,,,1160,65000,,1342,,,,,,,,
1470,39.86,0.344,,,4959.83,GirthWeld,,,,,,,,,,,0.7,549.07,,,,1160,65000,,1342,,,,,,,,
1480,36.52,0.344,,,4999.69,GirthWeld,,,,,,,,,,,0.7,540.99,,,,1160,65000,,1342,,,,,,,,
1490,40.08,0.344,,,5036.21,GirthWeld,,,,,,,,,,,0.7,533.82,,,,1160,65000,,1342,,,,,,,,
1500,30.51,0.344,,,5076.28,GirthWeld,,,,,,,,,,,0.7,525.94,,,,1160,65000,,1342,,,,,,,,
1510,40.05,0.344,,,5106.79,GirthWeld,,,,,,,,,,,0.7,519.96,,,,1160,65000,,1342,,,,,,,,
1520,40.15,0.344,,,5146.85,GirthWeld,,,,,,,,,,,0.7,512.16,,,,1160,65000,,1342,,,,,,,,
1530,38.78,0.344,,,5186.99,GirthWeld,,,,,,,,,,,0.7,504.39,,,,1160,65000,,1342,,,,,,,,
1530,,,,,5207.38,AGM,,,,,,,,,AGM#2 AT PLM/ ON ROW,,,500.42,,,,,,,,,,,,,,,
1540,40.1,0.344,,,5225.78,GirthWeld,,,,,,,,,,,0.7,499.38,,,,1160,65000,,1342,,,,,,,,
1550,40.05,0.344,,,5265.88,GirthWeld,,,,,,,,,,,0.7,497.08,,,,1160,65000,,1342,,,,,,,,
1560,40.11,0.344,,,5305.93,GirthWeld,,,,,,,,,,,0.7,494.71,,,,1160,65000,,1342,,,,,,,,
1570,40.16,0.344,,,5346.04,GirthWeld,,,,,,,,,,,0.7,493.5,,,,1160,65000,,1342,,,,,,,,
1580,40.09,0.344,,,5386.2,GirthWeld,,,,,,,,,,,0.7,492.51,,,,1160,65000,,1342,,,,,,,,
1590,22.91,0.344,,,5426.28,GirthWeld,,,,,,,,,,,0.7,491.58,,,,1160,65000,,1342,,,,,,,,
1600,40.13,0.344,,,5449.19,GirthWeld,,,,,,,,,,,0.7,491.07,,,,1160,65000,,1342,,,,,,,,
1610,40.07,0.344,,,5489.32,GirthWeld,,,,,,,,,,,0.7,490.18,,,,1160,65000,,1342,,,,,,,,
1620,22.96,0.344,,,5529.39,GirthWeld,,,,,,,,,,,0.7,489.28,,,,1160,65000,,1342,,,,,,,,
1630,40.09,0.344,,,5552.35,GirthWeld,,,,,,,,,,,0.7,488.76,,,,1160,65000,,1342,,,,,,,,
1640,15.31,0.344,,,5592.44,GirthWeld,,,,,,,,,,,0.7,487.84,,,,1160,65000,,1342,,,,,,,,
1650,40.06,0.344,,,5607.75,GirthWeld,,,,,,,,,,,0.7,487.49,,,,1160,65000,,1342,,,,,,,,
1660,40.06,0.344,,,5647.81,GirthWeld,,,,,,,,,,,0.7,486.59,,,,1160,65000,,1342,,,,,,,,
1670,40.04,0.344,,,5687.87,GirthWeld,,,,,,,,,,,0.7,485.61,,,,1160,65000,,1342,,,,,,,,
1680,26.45,0.344,,,5727.92,GirthWeld,,,,,,,,,,,0.7,484.47,,,,1160,65000,,1342,,,,,,,,
1690,40,0.344,,,5754.37,GirthWeld,,,,,,,,,,,0.7,483.6,,,,1160,65000,,1342,,,,,,,,
1700,40.05,0.344,,,5794.37,GirthWeld,,,,,,,,,,,0.7,482,,,,1160,65000,,1342,,,,,,,,
1710,40.03,0.344,,,5834.42,GirthWeld,,,,,,,,,,,0.7,480.29,,,,1160,65000,,1342,,,,,,,,
1720,40.09,0.344,,,5874.45,GirthWeld,,,,,,,,,,,0.7,478.64,,,,1160,65000,,1342,,,,,,,,
1730,40.08,0.344,,,5914.54,GirthWeld,,,,,,,,,,,0.7,477.11,,,,1160,65000,,1342,,,,,,,,
1740,40.03,0.344,,,5954.62,GirthWeld,,,,,,,,,,,0.7,475.9,,,,1160,65000,,1342,,,,,,,,
1750,40.06,0.344,,,5994.65,GirthWeld,,,,,,,,,,,0.7,476.19,,,,1160,65000,,1342,,,,,,,,
1760,36.93,0.344,,,6034.71,GirthWeld,,,,,,,,,,,0.7,476.59,,,,1160,65000,,1342,,,,,,,,
1770,40.05,0.344,,,6071.64,GirthWeld,,,,,,,,,,,0.7,476.88,,,,1160,65000,,1342,,,,,,,,
1780,40.04,0.344,,,6111.68,GirthWeld,,,,,,,,,,,0.7,477.11,,,,1160,65000,,1342,,,,,,,,
1790,40.01,0.344,,,6151.73,GirthWeld,,,,,,,,,,,0.7,477.13,,,,1160,65000,,1342,,,,,,,,
1800,40.04,0.344,,,6191.74,GirthWeld,,,,,,,,,,,0.7,477.06,,,,1160,65000,,1342,,,,,,,,
1810,40.07,0.344,,,6231.78,GirthWeld,,,,,,,,,,,0.7,477.01,,,,1160,65000,,1342,,,,,,,,
1820,39.92,0.344,,,6271.85,GirthWeld,,,,,,,,,,,0.7,477.07,,,,1160,65000,,1342,,,,,,,,
1830,40.13,0.344,,,6311.77,GirthWeld,,,,,,,,,,,0.7,477.28,,,,1160,65000,,1342,,,,,,,,
1840,40.11,0.344,,,6351.91,GirthWeld,,,,,,,,,,,0.7,477.61,,,,1160,65000,,1342,,,,,,,,
1850,19.36,0.344,,,6392.02,GirthWeld,,,,,,,,,,,0.7,478.06,,,,1160,65000,,1342,,,,,,,,
1860,39.94,0.344,,,6411.38,GirthWeld,,,,,,,,,,,0.7,478.32,,,,1160,65000,,1342,,,,,,,,
