joint_number,joint_length_ft,wall_thickness_in,dist_to_upstream_gw_ft,distance_ft,Height[ft],feature_type,depth_pct,id_reduction_pct,anomaly_length_in,anomaly_width_in,burst_pressure_psi,clock_position,internal_external,comments,inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned,cluster_id,clock_hours
,,0.344,-37.65,1276.9,851.5489,Cluster,11.0,,9.19,5.01,,7:59,YES,,2007,Cluster_1276.9,True,1276.9,1277.2800000000002,7,7.983333333333333
,,0.344,-39.55,1278.81,851.7731,Cluster,10.0,,5.35,9.59,,7:46,YES,,2007,Cluster_1278.8,True,1278.81,1279.19,7,7.766666666666667
,,0.344,-5.12,1284.35,852.4263,Cluster,11.0,,2.45,7.96,,2:38,YES,,2007,Cluster_1284.3,True,1284.35,1284.73,7,2.6333333333333333
,,0.344,-17.29,1296.52,853.8535,Cluster,10.0,,1.68,5.01,,8:41,YES,,2007,Cluster_1296.5,True,1296.52,1296.9,8,8.683333333333334
,,0.344,-17.74,1296.97,853.9065,Cluster,10.0,,2.5,3.56,,2:45,YES,,2007,Cluster_1297.0,True,1296.97,1297.35,8,2.75
,,0.344,-20.56,1299.79,854.2387,Cluster,10.0,,5.15,4.65,,8:33,YES,,2007,Cluster_1299.8,True,1299.79,1300.17,8,8.55
,,0.344,-23.44,1302.67,854.5774,Metal Loss,12.0,,0.55,0.55,,1:57,YES,,2007,Metal Loss_1302.7,True,1302.67,1303.0500000000002,8,1.95
,,0.344,-3.65,1322.91,856.9639,Cluster,10.0,,1.82,2.26,,9:33,YES,,2007,Cluster_1322.9,True,1322.91,1323.2900000000002,9,9.55
,,0.344,-11.21,1330.47,857.8544,Cluster,10.0,,9.49,7.52,,8:40,YES,,2007,Cluster_1330.5,True,1330.47,1330.85,9,8.666666666666666
,,0.344,-21.77,1341.04,859.1039,Cluster,10.0,,27.71,19.52,,12:49,YES,,2007,Cluster_1341.0,True,1341.04,1341.42,10,12.816666666666666
,,0.344,-22.93,1342.19,859.2408,Metal Loss,10.0,,0.59,0.71,,12:24,YES,,2007,Metal Loss_1342.2,True,1342.19,1342.5700000000002,10,12.4
,,0.344,-29.41,1348.67,860.0116,Metal Loss,10.0,,0.55,0.71,,12:26,YES,,2007,Metal Loss_1348.7,True,1348.67,1349.0500000000002,10,12.433333333333334
,,0.344,-30.73,1349.99,860.1694,Cluster,11.0,,1.61,3.9,,1:40,YES,,2007,Cluster_1350.0,True,1349.99,1350.37,10,1.6666666666666665
,,0.344,-39.98,1359.24,861.2799,Cluster,13.0,,7.85,12.23,,8:48,YES,,2007,Cluster_1359.2,True,1359.24,1359.62,10,8.8
,,0.344,-4.19,1363.47,861.7895,Cluster,10.0,,3.68,17.3,,12:59,YES,,2007,Cluster_1363.5,True,1363.47,1363.85,10,12.983333333333333
,,0.344,-6.84,1366.12,862.1094,Cluster,12.0,,13.34,14.31,,1:45,YES,,2007,Cluster_1366.1,True,1366.12,1366.5,10,1.75
,,0.344,-7.39,1366.68,862.1763,Cluster,12.0,,2.83,3.31,,9:25,YES,,2007,Cluster_1366.7,True,1366.68,1367.0600000000002,10,9.416666666666666
,,0.344,-7.79,1367.08,862.2245,Cluster,11.0,,44.24,12.19,,8:15,YES,,2007,Cluster_1367.1,True,1367.08,1367.46,10,8.25
,,0.344,-8.89,1368.18,862.3573,Cluster,11.0,,26.45,12.59,,2:10,YES,,2007,Cluster_1368.2,True,1368.18,1368.5600000000002,10,2.1666666666666665
,,0.344,-11.78,1371.07,862.7063,Cluster,10.0,,14.12,13.51,,8:09,YES,,2007,Cluster_1371.1,True,1371.07,1371.45,10,8.15
,,0.344,-12.24,1371.53,862.7616,Cluster,13.0,,12.13,11.86,,2:05,YES,,2007,Cluster_1371.5,True,1371.53,1371.91,10,2.0833333333333335
,,0.344,-13.15,1372.43,862.871,Cluster,10.0,,15.32,11.54,,2:18,YES,,2007,Cluster_1372.4,True,1372.43,1372.8100000000002,10,2.3
,,0.344,-15.15,1374.44,863.113,Cluster,10.0,,7.01,11.81,,8:16,YES,,2007,Cluster_1374.4,True,1374.44,1374.8200000000002,10,8.266666666666667
,,0.344,-16.78,1376.07,863.3097,Cluster,11.0,,1.7,1.82,,9:46,YES,,2007,Cluster_1376.1,True,1376.07,1376.45,10,9.766666666666667
,,0.344,-20.62,1379.91,863.77,Cluster,10.0,,6.49,11.08,,8:27,YES,,2007,Cluster_1379.9,True,1379.91,1380.2900000000002,10,8.45
,,0.344,-20.79,1380.08,863.7899,Cluster,11.0,,13.16,12.61,,2:04,YES,,2007,Cluster_1380.1,True,1380.08,1380.46,10,2.066666666666667
,,0.344,-21.68,1380.97,863.8966,Cluster,10.0,,5.74,2.72,,8:22,YES,,2007,Cluster_1381.0,True,1380.97,1381.35,10,8.366666666666667
,,0.344,-21.96,1381.24,863.9297,Cluster,10.0,,2.18,3.77,,3:04,YES,,2007,Cluster_1381.2,True,1381.24,1381.62,10,3.066666666666667
,,0.344,-23.32,1382.61,864.0927,Cluster,11.0,,9.08,11.83,,2:04,YES,,2007,Cluster_1382.6,True,1382.61,1382.99,10,2.066666666666667
,,0.344,-24.35,1383.64,864.2158,Cluster,10.0,,4.88,11.98,,8:21,YES,,2007,Cluster_1383.6,True,1383.64,1384.0200000000002,10,8.35
,,0.344,-30.6,1389.89,864.9379,Cluster,13.0,,9.49,12.15,,1:56,YES,,2007,Cluster_1389.9,True,1389.89,1390.2700000000002,10,1.9333333333333333
,,0.344,-35.26,1394.54,865.4626,Cluster,10.0,,7.66,14.01,,1:56,YES,,2007,Cluster_1394.5,True,1394.54,1394.92,10,1.9333333333333333
,,0.344,-35.43,1394.71,865.4814,Cluster,11.0,,13.49,11.29,,8:29,YES,,2007,Cluster_1394.7,True,1394.71,1395.09,10,8.483333333333333
,,0.344,-36.63,1395.92,865.6171,Cluster,11.0,,4.52,9.59,,8:36,YES,,2007,Cluster_1395.9,True,1395.92,1396.3000000000002,10,8.6
,,0.344,-38.81,1398.09,865.8604,Cluster,11.0,,5.52,20.09,,6:48,YES,,2007,Cluster_1398.1,True,1398.09,1398.47,10,6.8
,,0.344,-39.42,1398.71,865.9294,Cluster,10.0,,8.11,17.45,,8:22,YES,,2007,Cluster_1398.7,True,1398.71,1399.09,10,8.366666666666667
,,0.344,-39.43,1398.71,865.9296,Cluster,12.0,,6.7,10.33,,2:13,YES,,2007,Cluster_1398.7,True,1398.71,1399.09,10,2.216666666666667
,,0.344,-39.45,1398.73,865.9318,Cluster,13.0,,7.19,5.91,,5:53,YES,,2007,Cluster_1398.7,True,1398.73,1399.11,10,5.883333333333333
,,0.344,-0.06,1399.35,866.0009,Cluster,11.0,,5.58,13.26,,1:53,YES,,2007,Cluster_1399.3,True,1399.35,1399.73,10,1.8833333333333333
,,0.344,-0.53,1399.82,866.0529,Cluster,10.0,,12.95,14.68,,1:48,YES,,2007,Cluster_1399.8,True,1399.82,1400.2,10,1.8
,,0.344,-4.99,1404.28,866.5504,Cluster,10.0,,1.58,6.47,,2:43,YES,,2007,Cluster_1404.3,True,1404.28,1404.66,10,2.716666666666667
,,0.344,-5.63,1404.92,866.6216,Cluster,11.0,,3.47,2.81,,8:30,YES,,2007,Cluster_1404.9,True,1404.92,1405.3000000000002,10,8.5
,,0.344,-5.68,1404.97,866.6281,Cluster,10.0,,6.19,10.12,,8:38,YES,,2007,Cluster_1405.0,True,1404.97,1405.35,10,8.633333333333333
,,0.344,-6.75,1406.04,866.7475,Cluster,10.0,,5.17,8.04,,9:15,YES,,2007,Cluster_1406.0,True,1406.04,1406.42,10,9.25
,,0.344,-7.67,1406.96,866.8492,Cluster,10.0,,17.59,13.24,,8:23,YES,,2007,Cluster_1407.0,True,1406.96,1407.34,10,8.383333333333333
,,0.344,-9.24,1408.53,867.0232,Cluster,10.0,,9.12,11.21,,8:39,YES,,2007,Cluster_1408.5,True,1408.53,1408.91,10,8.65
,,0.344,-9.86,1409.15,867.0924,Cluster,10.0,,6.43,5.91,,2:10,YES,,2007,Cluster_1409.2,True,1409.15,1409.5300000000002,10,2.1666666666666665
,,0.344,-13.25,1412.54,867.469,Cluster,11.0,,18.37,11.52,,8:51,YES,,2007,Cluster_1412.5,True,1412.54,1412.92,10,8.85
,,0.344,-15.8,1415.09,867.7519,Cluster,10.0,,4.85,6.79,,2:10,YES,,2007,Cluster_1415.1,True,1415.09,1415.47,10,2.1666666666666665
,,0.344,-19.92,1419.21,868.2067,Metal Loss,10.0,,0.67,0.71,,12:22,YES,,2007,Metal Loss_1419.2,True,1419.21,1419.59,10,12.366666666666667
,,0.344,-20.2,1419.48,868.2372,Cluster,12.0,,33.85,14.64,,8:29,YES,,2007,Cluster_1419.5,True,1419.48,1419.86,10,8.483333333333333
,,0.344,-24.08,1423.37,868.6651,Cluster,10.0,,6.65,6.49,,1:53,YES,,2007,Cluster_1423.4,True,1423.37,1423.75,10,1.8833333333333333
,,0.344,-25.11,1424.4,868.7783,Cluster,11.0,,37.4,13.43,,8:42,YES,,2007,Cluster_1424.4,True,1424.4,1424.7800000000002,10,8.7
,,0.344,-26.15,1425.43,868.8925,Cluster,14.0,,12.29,7.46,,2:17,YES,,2007,Cluster_1425.4,True,1425.43,1425.8100000000002,10,2.283333333333333
,,0.344,-29.65,1428.94,869.2758,Cluster,10.0,,6.01,8.48,,1:54,YES,,2007,Cluster_1428.9,True,1428.94,1429.3200000000002,10,1.9
,,0.344,-30.2,1429.49,869.3364,Cluster,12.0,,7.54,8.63,,1:49,YES,,2007,Cluster_1429.5,True,1429.49,1429.87,10,1.8166666666666667
,,0.344,-31.62,1430.91,869.4911,Cluster,10.0,,3.85,6.58,,2:09,YES,,2007,Cluster_1430.9,True,1430.91,1431.2900000000002,10,2.15
,,0.344,-33.05,1432.34,869.6466,Cluster,10.0,,12.38,12.38,,1:44,YES,,2007,Cluster_1432.3,True,1432.34,1432.72,10,1.7333333333333334
,,0.344,-34.03,1433.32,869.7533,Metal Loss-Manufacturing Anomaly,12.0,,0.63,0.71,,11:41,,,2007,Metal Loss-Manufacturing Anomaly_1433.3,True,1433.32,1433.7,10,11.683333333333334
,,0.344,-36.25,1435.54,869.9959,Cluster,10.0,,5.23,9.59,,1:56,YES,,2007,Cluster_1435.5,True,1435.54,1435.92,10,1.9333333333333333
,,0.344,-39.21,1438.5,870.3163,Cluster,10.0,,6.94,7.96,,1:51,YES,,2007,Cluster_1438.5,True,1438.5,1438.88,10,1.85
,,0.344,-39.46,1438.75,870.3431,Cluster,17.0,,6.48,15.12,,8:03,YES,,2007,Cluster_1438.8,True,1438.75,1439.13,10,8.05
,,0.344,-0.01,1439.24,870.3961,Cluster,12.0,,5.89,7.73,,9:11,YES,,2007,Cluster_1439.2,True,1439.24,1439.62,10,9.183333333333334
,,0.344,-0.02,1439.25,870.3977,Cluster,10.0,,4.03,5.74,,2:12,YES,,2007,Cluster_1439.2,True,1439.25,1439.63,10,2.2
,,0.344,-9.19,1448.43,871.3845,Cluster,10.0,,1.15,3.46,,7:38,YES,,2007,Cluster_1448.4,True,1448.43,1448.8100000000002,10,7.633333333333333
,,0.344,-15.41,1454.64,872.043,Cluster,11.0,,3.89,10.58,,9:12,YES,,2007,Cluster_1454.6,True,1454.64,1455.0200000000002,10,9.2
,,0.344,-19.3,1458.54,872.4545,Cluster,10.0,,0.62,1.8,,9:57,YES,,2007,Cluster_1458.5,True,1458.54,1458.92,10,9.95
,,0.344,-22.61,1461.84,872.8023,Cluster,11.0,,8.21,8.67,,9:27,YES,,2007,Cluster_1461.8,True,1461.84,1462.22,10,9.45
,,0.344,-23.36,1462.59,872.881,Cluster,10.0,,11.21,11.42,,8:49,YES,,2007,Cluster_1462.6,True,1462.59,1462.97,10,8.816666666666666
,,0.344,-24.14,1463.37,872.9627,Cluster,10.0,,19.98,11.21,,1:04,YES,,2007,Cluster_1463.4,True,1463.37,1463.75,10,1.0666666666666667
,,0.344,-25.66,1464.89,873.1228,Cluster,10.0,,13.72,11.71,,1:04,YES,,2007,Cluster_1464.9,True,1464.89,1465.2700000000002,10,1.0666666666666667
,,0.344,-26.78,1466.02,873.2407,Cluster,10.0,,21.9,12.67,,9:03,YES,,2007,Cluster_1466.0,True,1466.02,1466.4,10,9.05
,,0.344,-27.2,1466.43,873.2848,Cluster,10.0,,10.44,10.05,,1:09,YES,,2007,Cluster_1466.4,True,1466.43,1466.8100000000002,10,1.15
,,0.344,-34.64,1473.88,874.0644,Cluster,10.0,,5.68,10.33,,1:26,YES,,2007,Cluster_1473.9,True,1473.88,1474.2600000000002,10,1.4333333333333333
,,0.344,-3.61,1477.89,874.4844,Cluster,11.0,,34.78,13.8,,9:03,YES,,2007,Cluster_1477.9,True,1477.89,1478.2700000000002,10,9.05
,,0.344,-6.85,1481.13,874.8229,Metal Loss,10.0,,0.59,0.55,,3:23,YES,,2007,Metal Loss_1481.1,True,1481.13,1481.5100000000002,10,3.3833333333333333
,,0.344,-6.97,1481.25,874.8359,Cluster,10.0,,5.84,12.13,,1:04,YES,,2007,Cluster_1481.2,True,1481.25,1481.63,10,1.0666666666666667
,,0.344,-14.31,1488.59,875.6039,Metal Loss,10.0,,0.51,0.63,,9:19,YES,,2007,Metal Loss_1488.6,True,1488.59,1488.97,10,9.316666666666666
,,0.344,-19.76,1494.04,876.1739,Cluster,11.0,,20.58,12.23,,8:52,YES,,2007,Cluster_1494.0,True,1494.04,1494.42,10,8.866666666666667
,,0.344,-33.6,1507.88,877.6284,Cluster,10.0,,7.0,7.88,,1:14,YES,,2007,Cluster_1507.9,True,1507.88,1508.2600000000002,11,1.2333333333333334
,,0.344,-36.69,1510.97,877.9545,Cluster,11.0,,4.04,6.24,,1:46,YES,,2007,Cluster_1511.0,True,1510.97,1511.35,11,1.7666666666666666
,,0.344,-38.02,1512.3,878.0946,Cluster,10.0,,4.52,6.97,,9:43,YES,,2007,Cluster_1512.3,True,1512.3,1512.68,11,9.716666666666667
,,0.344,-3.38,1517.65,878.6589,Cluster,10.0,,12.73,8.61,,1:33,YES,,2007,Cluster_1517.7,True,1517.65,1518.0300000000002,11,1.55
,,0.344,-4.14,1518.41,878.7387,Cluster,10.0,,10.87,6.7,,1:02,YES,,2007,Cluster_1518.4,True,1518.41,1518.7900000000002,11,1.0333333333333334
,,0.344,-28.16,1542.43,881.2638,Cluster,10.0,,6.01,5.8,,1:47,YES,,2007,Cluster_1542.4,True,1542.43,1542.8100000000002,-1,1.7833333333333332
,,0.344,-39.61,1553.88,882.4519,Cluster,10.0,,4.56,8.27,,10:11,YES,,2007,Cluster_1553.9,True,1553.88,1554.2600000000002,12,10.183333333333334
,,0.344,-5.75,1560.05,883.08,Metal Loss,11.0,,0.75,0.55,,9:56,YES,,2007,Metal Loss_1560.0,True,1560.05,1560.43,12,9.933333333333334
,,0.344,-9.49,1563.79,883.4539,Cluster,10.0,,10.93,6.66,,10:26,YES,,2007,Cluster_1563.8,True,1563.79,1564.17,12,10.433333333333334
,,0.344,-17.53,1571.84,884.2396,Cluster,11.0,,4.52,3.33,,10:40,YES,,2007,Cluster_1571.8,True,1571.84,1572.22,12,10.666666666666666
,,0.344,-21.56,1575.87,884.6258,Cluster,15.0,,7.39,6.91,,10:35,YES,,2007,Cluster_1575.9,True,1575.87,1576.25,12,10.583333333333334
,,0.344,-27.71,1582.01,885.2172,Cluster,10.0,,3.26,4.34,,10:37,YES,,2007,Cluster_1582.0,True,1582.01,1582.39,12,10.616666666666667
,,0.344,-29.84,1584.15,885.4233,Cluster,14.0,,3.89,3.14,,10:35,YES,,2007,Cluster_1584.2,True,1584.15,1584.5300000000002,12,10.583333333333334
,,0.344,-30.3,1584.61,885.4672,Cluster,11.0,,13.44,6.97,,10:37,YES,,2007,Cluster_1584.6,True,1584.61,1584.99,12,10.616666666666667
,,0.344,-33.22,1587.53,885.749,Cluster,10.0,,4.07,6.97,,10:14,YES,,2007,Cluster_1587.5,True,1587.53,1587.91,12,10.233333333333333
,,0.344,-39.49,1593.8,886.361,Cluster,10.0,,5.5,16.65,,9:06,YES,,2007,Cluster_1593.8,True,1593.8,1594.18,12,9.1
,,0.344,-0.7,1595.0,886.478,Cluster,14.0,,5.1,20.55,,8:21,YES,,2007,Cluster_1595.0,True,1595.0,1595.38,12,8.35
,,0.344,-0.81,1595.1,886.4883,Metal Loss,20.0,,1.18,6.34,1.87,6:57,YES,,2007,Metal Loss_1595.1,True,1595.1,1595.48,12,6.95
,,0.344,-15.69,1609.99,887.9465,Metal Loss,10.0,,0.67,0.59,,12:24,YES,,2007,Metal Loss_1610.0,True,1609.99,1610.37,-1,12.4
,,0.344,-34.48,1628.77,889.7887,Cluster,11.0,,0.8,2.12,,10:29,YES,,2007,Cluster_1628.8,True,1628.77,1629.15,13,10.483333333333333
,,0.344,-40.09,1634.38,890.3414,Cluster,10.0,,5.09,11.1,,9:54,YES,,2007,Cluster_1634.4,True,1634.38,1634.7600000000002,13,9.9
,,0.344,-0.01,1634.41,890.3443,Cluster,10.0,,6.9,26.12,,12:16,YES,,2007,Cluster_1634.4,True,1634.41,1634.7900000000002,13,12.266666666666667
,,0.344,-0.91,1635.31,890.4325,Cluster,11.0,,4.88,22.14,,12:19,YES,,2007,Cluster_1635.3,True,1635.31,1635.69,13,12.316666666666666
,,0.344,-39.52,1673.93,894.1085,Cluster,11.0,,6.3,11.71,,9:27,YES,,2007,Cluster_1673.9,True,1673.93,1674.3100000000002,14,9.45
,,0.344,-40.11,1674.51,894.1603,Cluster,10.0,,5.08,12.73,,9:47,YES,,2007,Cluster_1674.5,True,1674.51,1674.89,14,9.783333333333333
,,0.344,-22.33,1696.83,896.1156,Cluster,11.0,,0.92,2.85,,12:20,YES,,2007,Cluster_1696.8,True,1696.83,1697.21,-1,12.333333333333334
,,0.344,-39.58,1714.09,897.5261,Cluster,11.0,,5.06,11.94,,9:52,YES,,2007,Cluster_1714.1,True,1714.09,1714.47,-1,9.866666666666667
,,0.344,-36.06,1790.51,902.3065,Cluster,10.0,,2.77,2.26,,11:07,YES,,2007,Cluster_1790.5,True,1790.51,1790.89,-1,11.116666666666667
,,0.344,-4.02,2104.45,909.5225,Metal Loss,13.0,,0.51,0.59,,11:59,YES,,2007,Metal Loss_2104.4,True,2104.45,2104.83,15,11.983333333333333
,,0.344,-11.71,2112.13,909.841,Cluster,10.0,,2.84,2.81,,11:54,YES,,2007,Cluster_2112.1,True,2112.13,2112.51,15,11.9
,,0.344,-13.09,2113.52,909.8994,Metal Loss,14.0,,0.79,0.71,,6:42,YES,,2007,Metal Loss_2113.5,True,2113.52,2113.9,15,6.7
,,0.344,-13.82,2114.25,909.9303,Metal Loss,10.0,,1.34,0.79,,11:06,YES,,2007,Metal Loss_2114.2,True,2114.25,2114.63,15,11.1
,,0.344,-18.3,2118.73,910.1192,Cluster,13.0,,2.03,3.02,,6:09,YES,,2007,Cluster_2118.7,True,2118.73,2119.11,15,6.15
,,0.344,-20.1,2120.53,910.1957,Metal Loss,10.0,,0.35,0.71,,12:49,YES,,2007,Metal Loss_2120.5,True,2120.53,2120.9100000000003,15,12.816666666666666
,,0.344,-21.44,2121.87,910.2533,Cluster,11.0,,2.93,4.88,,12:44,YES,,2007,Cluster_2121.9,True,2121.87,2122.25,15,12.733333333333333
,,0.344,-22.62,2123.05,910.3039,Metal Loss,12.0,,0.75,0.83,,4:56,YES,,2007,Metal Loss_2123.1,True,2123.05,2123.4300000000003,15,4.933333333333334
,,0.344,-23.67,2124.09,910.3487,Metal Loss,10.0,,0.71,0.71,,5:21,YES,,2007,Metal Loss_2124.1,True,2124.09,2124.4700000000003,15,5.35
,,0.344,-25.92,2126.34,910.4453,Metal Loss,11.0,,0.79,1.14,,6:03,YES,,2007,Metal Loss_2126.3,True,2126.34,2126.7200000000003,15,6.05
,,0.344,-26.56,2126.98,910.4728,Cluster,22.0,,1.81,2.98,1.84,6:06,YES,,2007,Cluster_2127.0,True,2126.98,2127.36,15,6.1
,,0.344,-26.63,2127.06,910.476,Cluster,11.0,,2.38,2.05,,6:58,YES,,2007,Cluster_2127.1,True,2127.06,2127.44,15,6.966666666666667
,,0.344,-36.07,2136.49,910.9471,Metal Loss,15.0,,0.75,0.71,,12:00,YES,,2007,Metal Loss_2136.5,True,2136.49,2136.87,15,12.0
,,0.344,-37.34,2137.77,911.0257,Cluster,12.0,,4.24,4.38,,11:17,YES,,2007,Cluster_2137.8,True,2137.77,2138.15,15,11.283333333333333
,,0.344,-38.96,2139.38,911.1251,Metal Loss,11.0,,0.43,0.71,,11:57,YES,,2007,Metal Loss_2139.4,True,2139.38,2139.76,15,11.95
,,0.344,-39.88,2140.31,911.1823,Metal Loss,12.0,,0.67,0.71,,4:47,YES,,2007,Metal Loss_2140.3,True,2140.31,2140.69,15,4.783333333333333
,,0.344,-5.88,2146.34,911.5635,Cluster,10.0,,1.81,1.4,,11:59,YES,,2007,Cluster_2146.3,True,2146.34,2146.7200000000003,15,11.983333333333333
,,0.344,-7.73,2148.19,911.6828,Metal Loss,19.0,,0.79,0.55,,5:36,YES,,2007,Metal Loss_2148.2,True,2148.19,2148.57,15,5.6
,,0.344,-9.98,2150.44,911.8277,Metal Loss,10.0,,0.71,0.71,,7:16,YES,,2007,Metal Loss_2150.4,True,2150.44,2150.82,15,7.266666666666667
,,0.344,-13.06,2153.51,912.0268,Metal Loss,15.0,,0.91,0.91,,6:39,YES,,2007,Metal Loss_2153.5,True,2153.51,2153.8900000000003,15,6.65
,,0.344,-17.03,2157.49,912.2906,Metal Loss,25.0,,0.71,0.63,1.88,6:58,YES,,2007,Metal Loss_2157.5,True,2157.49,2157.87,15,6.966666666666667
,,0.344,-19.12,2159.58,912.4296,Metal Loss,10.0,,1.26,1.06,,11:44,YES,,2007,Metal Loss_2159.6,True,2159.58,2159.96,15,11.733333333333333
,,0.344,-20.62,2161.08,912.529,Metal Loss,17.0,,0.63,0.55,,6:40,YES,,2007,Metal Loss_2161.1,True,2161.08,2161.46,15,6.666666666666667
,,0.344,-34.16,2174.62,913.456,Metal Loss,12.0,,0.87,0.91,,6:31,YES,,2007,Metal Loss_2174.6,True,2174.62,2175.0,16,6.516666666666667
,,0.344,-36.31,2176.77,913.6075,Metal Loss,14.0,,0.59,0.79,,12:04,YES,,2007,Metal Loss_2176.8,True,2176.77,2177.15,16,12.066666666666666
,,0.344,-38.82,2179.28,913.7847,Metal Loss,10.0,,0.59,0.71,,4:34,YES,,2007,Metal Loss_2179.3,True,2179.28,2179.6600000000003,16,4.566666666666666
,,0.344,-38.99,2179.45,913.7965,Cluster,11.0,,2.76,4.38,,5:04,YES,,2007,Cluster_2179.4,True,2179.45,2179.83,16,5.066666666666666
,,0.344,-1.23,2181.73,913.9577,Metal Loss,12.0,,1.61,0.83,,5:17,YES,,2007,Metal Loss_2181.7,True,2181.73,2182.11,16,5.283333333333333
,,0.344,-3.76,2184.26,914.1366,Metal Loss,10.0,,0.51,0.71,,12:11,YES,,2007,Metal Loss_2184.3,True,2184.26,2184.6400000000003,16,12.183333333333334
,,0.344,-12.11,2192.61,914.7337,Metal Loss,12.0,,0.59,0.71,,7:18,YES,,2007,Metal Loss_2192.6,True,2192.61,2192.99,16,7.3
,,0.344,-13.63,2194.13,914.8433,Metal Loss,11.0,,0.71,0.59,,11:58,YES,,2007,Metal Loss_2194.1,True,2194.13,2194.51,16,11.966666666666667
